BOOK	CH	VS	G_IDX	GREEK	NBLA_IDX	NBLA_TEXT	ALIGNMENT
1corintios	1	1	01	παῦλος	01	pablo	direct
1corintios	1	1	02	κλητὸς	02	llamado	direct
1corintios	1	1	03	ἀπόστολος	03	a	direct
1corintios	1	1	04	χριστοῦ	04,05	ser apóstol	expanded
1corintios	1	1	05	ἰησοῦ	06	de	direct
1corintios	1	1	06	διὰ	07,08,09	jesucristo por la	expanded
1corintios	1	1	07	θελήματος	10	voluntad	direct
1corintios	1	1	08	θεοῦ	11,12	de dios	expanded
1corintios	1	1	09	καὶ	13,14	y sóstenes	expanded
1corintios	1	1	10	σωσθένης	15	nuestro	direct
1corintios	1	1	11	ὁ	16	hermano	direct
1corintios	1	1	12	ἀδελφὸς	-	-	missing
