BOOK	CH	VS	G_IDX	GREEK	NBLA_IDX	NBLA_TEXT	ALIGNMENT
1corintios	15	35	01	ἀλλὰ	01,02	pero alguien	expanded
1corintios	15	35	02	ἐρεῖ	03	dirá	direct
1corintios	15	35	03	τις	-	-	shared
1corintios	15	35	04	πῶς	04	cómo	direct
1corintios	15	35	05	ἐγείρονται	05	resucitan	direct
1corintios	15	35	06	οἱ	06,07	los muertos	expanded
1corintios	15	35	07	νεκροί	-	-	shared
1corintios	15	35	08	ποίῳ	08,09	con qué	expanded
1corintios	15	35	09	δὲ	10,11	clase de	expanded
1corintios	15	35	10	σώματι	12	cuerpo	direct
1corintios	15	35	11	ἔρχονται	13	vienen	direct
