BOOK	CH	VS	G_IDX	GREEK	NBLA_IDX	NBLA_TEXT	ALIGNMENT
filemon	1	2	01	καὶ	01	y	direct
filemon	1	2	02	Ἀπφίᾳ	02,05	a Apia,	expanded
filemon	1	2	03	τῇ	03	la	direct
filemon	1	2	04	⸀ἀδελφῇ	04	hermana	direct
filemon	1	2	05	καὶ	06	y	direct
filemon	1	2	06	Ἀρχίππῳ	07,08	a Arquipo,	expanded
filemon	1	2	07	τῷ	09	nuestro	direct
filemon	1	2	08	συστρατιώτῃ	10,11,12	compañero de lucha,	expanded
filemon	1	2	09	ἡμῶν	09	nuestro	shared
filemon	1	2	10	καὶ	13	y	direct
filemon	1	2	11	τῇ	14,15	a la	expanded
filemon	1	2	12	κατʼ	19	en	expanded
filemon	1	2	13	οἶκόν	20,21	tu casa:	expanded
filemon	1	2	14	σου	20	tu	shared
filemon	1	2	15	ἐκκλησίᾳ·	16,17,18	iglesia que está	expanded
