BOOK	CH	VS	G_IDX	GREEK	NBLA_IDX	NBLA_TEXT	ALIGNMENT
filemon	1	20	01	ναί,	01	Sí,	direct
filemon	1	20	02	ἀδελφέ,	02	hermano,	direct
filemon	1	20	03	ἐγώ	03	permíteme	direct
filemon	1	20	04	σου	04	disfrutar	direct
filemon	1	20	05	ὀναίμην	05	este	direct
filemon	1	20	06	ἐν	06,07,08	beneficio de ti	expanded
filemon	1	20	07	κυρίῳ·	09	en	direct
filemon	1	20	08	ἀνάπαυσόν	10	el	direct
filemon	1	20	09	μου	11	Señor.	direct
filemon	1	20	10	τὰ	12	Recrea	direct
filemon	1	20	11	σπλάγχνα	13	mi	direct
filemon	1	20	12	ἐν	14,15,16	corazón en Cristo.	expanded
filemon	1	20	13	⸀Χριστῷ.	-	-	missing
