BOOK	CH	VS	G_IDX	GREEK	NBLA_IDX	NBLA_TEXT	ALIGNMENT
filemon	1	22	01	ἅμα	02,03,04	al mismo tiempo,	expanded
filemon	1	22	02	δὲ	01	Y	direct
filemon	1	22	03	καὶ	06	también	direct
filemon	1	22	04	ἑτοίμαζέ	05	prepárame	direct
filemon	1	22	05	μοι	05	prepárame	shared
filemon	1	22	06	ξενίαν,	07	alojamiento,	direct
filemon	1	22	07	ἐλπίζω	09	espero	direct
filemon	1	22	08	γὰρ	08	pues	direct
filemon	1	22	09	ὅτι	10	que	direct
filemon	1	22	10	διὰ	11	por	direct
filemon	1	22	11	τῶν	12	las	direct
filemon	1	22	12	προσευχῶν	13	oraciones	direct
filemon	1	22	13	ὑμῶν	14,15	de ustedes	expanded
filemon	1	22	14	χαρισθήσομαι	17,18	seré concedido.	expanded
filemon	1	22	15	ὑμῖν.	16	les	direct
