BOOK	CH	VS	G_IDX	GREEK	NBLA_IDX	NBLA_TEXT	ALIGNMENT
romanos	14	21	01	καλὸν	01,02,03	Es mejor no	expanded
romanos	14	21	02	τὸ	04	comer	direct
romanos	14	21	03	μὴ	05	carne,	direct
romanos	14	21	04	φαγεῖν	06	ni	direct
romanos	14	21	05	κρέα	07	beber	direct
romanos	14	21	06	μηδὲ	08	vino,	direct
romanos	14	21	07	πιεῖν	09	ni	direct
romanos	14	21	08	οἶνον	10	hacer	direct
romanos	14	21	09	μηδὲ	11	nada	direct
romanos	14	21	10	ἐν	12,13,14	en que tu	expanded
romanos	14	21	11	ᾧ	15	hermano	direct
romanos	14	21	12	ὁ	16	tropiece.	direct
romanos	14	21	13	ἀδελφός	-	-	missing
romanos	14	21	14	σου	-	-	missing
romanos	14	21	15	προσκόπτει	-	-	missing
romanos	14	21	16	⸂ἢ	-	-	missing
romanos	14	21	17	σκανδαλίζεται	-	-	missing
romanos	14	21	18	ἢ	-	-	missing
romanos	14	21	19	ἀσθενεῖ⸃·	-	-	missing
