BOOK	CH	VS	G_IDX	GREEK	NBLA_IDX	NBLA_TEXT	ALIGNMENT
romanos	6	9	01	εἰδότες	01	sabiendo	direct
romanos	6	9	02	ὅτι	02	que	direct
romanos	6	9	03	Χριστὸς	03	Cristo,	direct
romanos	6	9	04	ἐγερθεὶς	04	habiendo	direct
romanos	6	9	05	ἐκ	05	resucitado	direct
romanos	6	9	06	νεκρῶν	06	de	direct
romanos	6	9	07	οὐκέτι	07	entre	direct
romanos	6	9	08	ἀποθνῄσκει,	08	los	direct
romanos	6	9	09	θάνατος	09	muertos,	direct
romanos	6	9	10	αὐτοῦ	10	no	direct
romanos	6	9	11	οὐκέτι	11	volverá	direct
romanos	6	9	12	κυριεύει·	12	a	direct
