BOOK	CH	VS	G_IDX	GREEK	NBLA_IDX	NBLA_TEXT	ALIGNMENT
romanos	12	6	01	ἔχοντες	01	Pero	direct
romanos	12	6	02	δὲ	02,03	teniendo diferentes	expanded
romanos	12	6	03	χαρίσματα	04	dones,	direct
romanos	12	6	04	κατὰ	05	según	direct
romanos	12	6	05	τὴν	06	la	direct
romanos	12	6	06	χάριν	07	gracia	direct
romanos	12	6	07	τὴν	08	que	direct
romanos	12	6	08	δοθεῖσαν	09	nos	direct
romanos	12	6	09	ἡμῖν	10	ha	direct
romanos	12	6	10	διάφορα,	11	sido	direct
romanos	12	6	11	εἴτε	12	dada,	direct
romanos	12	6	12	προφητείαν	13	usémoslos:	direct
romanos	12	6	13	κατὰ	14	si	direct
romanos	12	6	14	τὴν	22	la	direct
romanos	12	6	15	ἀναλογίαν	23	fe;	direct
romanos	12	6	16	τῆς	-	-	missing
romanos	12	6	17	πίστεως,	-	-	missing
