BOOK	CH	VS	G_IDX	GREEK	NBLA_IDX	NBLA_TEXT	ALIGNMENT
romanos	3	20	01	διότι	01	Porque	direct
romanos	3	20	02	ἐξ	02	por	direct
romanos	3	20	03	ἔργων	03	las	direct
romanos	3	20	04	νόμου	04	obras	direct
romanos	3	20	05	οὐ	05	de	direct
romanos	3	20	06	δικαιωθήσεται	06	la	direct
romanos	3	20	07	πᾶσα	07	ley	direct
romanos	3	20	08	σὰρξ	08	ningún	direct
romanos	3	20	09	ἐνώπιον	09	ser	direct
romanos	3	20	10	αὐτοῦ,	10	humano	direct
romanos	3	20	11	διὰ	11,12,13	será justificado delante	expanded
romanos	3	20	12	γὰρ	14	de	direct
romanos	3	20	13	νόμου	15	Él;	direct
romanos	3	20	14	ἐπίγνωσις	16	pues	direct
romanos	3	20	15	ἁμαρτίας.	17	por	direct
