calibrated_window_id	book	window_index	start_ref	end_ref	start_stream_index	end_stream_index	predication_count	raw_band	calibrated_band	calibration_reason	band_changed	dominant_field	dominant_tendency	state_counts	label_counts	label_dominance_ratio	persistence_total	transition_total	extension_total	weakening_total	pressure_delta	smoothed_band	smoothing_changed	smoothing_neighborhood
CMW00001	1corintios	1	1:4	1:12	1	12	12	transition_cluster	transition_cluster	unstable_ratio_pressure	False	unstable	ACLARA	"{""recovering"": 2, ""stable"": 1, ""unstable"": 9}"	"{""ACLARA"": 11, ""EXPONE"": 2, ""PROPÓSITO"": 1, ""RAZÓN"": 2}"	0.6875	4	56	3	37	52	transition_cluster	False	"[""CMW00001"", ""CMW00002""]"
CMW00002	1corintios	2	1:12	1:16	13	24	12	transition_cluster	transition_cluster	unstable_ratio_pressure	False	unstable	ACLARA	"{""stable"": 4, ""transitioning"": 2, ""unstable"": 6}"	"{""ACLARA"": 8, ""EXPONE"": 4, ""PROPÓSITO"": 1, ""RAZÓN"": 3}"	0.5	16	44	10	28	28	transition_cluster	False	"[""CMW00001"", ""CMW00002"", ""CMW00003""]"
CMW00003	1corintios	3	1:17	1:22	25	36	12	extended_stable_field	mixed_continuity	default_mixed	True	stable	EXPONE	"{""recovering"": 1, ""stable"": 8, ""transitioning"": 3}"	"{""ACLARA"": 4, ""CONDICIÓN"": 1, ""EXPONE"": 8, ""PROPÓSITO"": 1}"	0.5714	30	14	20	7	-16	mixed_continuity	False	"[""CMW00002"", ""CMW00003"", ""CMW00004""]"
CMW00004	1corintios	4	1:23	1:30	37	48	12	movement_accumulation	mixed_continuity	default_mixed	True	stable	ACLARA	"{""stable"": 6, ""transitioning"": 4, ""unstable"": 2}"	"{""ACLARA"": 6, ""EXPONE"": 6, ""PROPÓSITO"": 3, ""RAZÓN"": 1}"	0.375	26	28	16	16	2	mixed_continuity	False	"[""CMW00003"", ""CMW00004"", ""CMW00005""]"
CMW00005	1corintios	5	1:31	2:8	49	60	12	mixed_continuity	mixed_continuity	default_mixed	False	stable	EXPONE	"{""recovering"": 1, ""stable"": 7, ""transitioning"": 3, ""unstable"": 1}"	"{""ACLARA"": 6, ""CONDICIÓN"": 1, ""EXPONE"": 7, ""PROPÓSITO"": 2}"	0.4375	27	20	18	11	-7	mixed_continuity	False	"[""CMW00004"", ""CMW00005"", ""CMW00006""]"
CMW00006	1corintios	6	2:9	2:13	61	72	12	extended_stable_field	extended_stable_field	stable_ratio_threshold	False	stable	EXPONE	"{""recovering"": 1, ""stable"": 10, ""transitioning"": 1}"	"{""ACLARA"": 3, ""CONDICIÓN"": 1, ""EXPONE"": 10, ""PROPÓSITO"": 1}"	0.6667	32	6	22	3	-26	mixed_continuity	True	"[""CMW00005"", ""CMW00006"", ""CMW00007""]"
CMW00007	1corintios	7	2:14	3:2	73	84	12	extended_stable_field	mixed_continuity	default_mixed	True	stable	EXPONE	"{""recovering"": 1, ""stable"": 8, ""transitioning"": 2, ""unstable"": 1}"	"{""ACLARA"": 5, ""EXPONE"": 8, ""RAZÓN"": 1}"	0.5714	28	16	18	9	-12	extended_stable_field	True	"[""CMW00006"", ""CMW00007"", ""CMW00008""]"
CMW00008	1corintios	8	3:2	3:6	85	96	12	transition_cluster	transition_cluster	unstable_ratio_pressure	False	unstable	ACLARA	"{""stable"": 5, ""transitioning"": 1, ""unstable"": 6}"	"{""ACLARA"": 7, ""EXPONE"": 5}"	0.5833	17	40	11	26	23	mixed_continuity	True	"[""CMW00007"", ""CMW00008"", ""CMW00009""]"
CMW00009	1corintios	9	3:6	3:11	97	108	12	mixed_continuity	mixed_continuity	default_mixed	False	stable	ACLARA	"{""recovering"": 2, ""stable"": 5, ""transitioning"": 3, ""unstable"": 2}"	"{""ACLARA"": 7, ""EXPONE"": 5, ""RESULTADO"": 1}"	0.5385	21	29	13	16	8	transition_cluster	True	"[""CMW00008"", ""CMW00009"", ""CMW00010""]"
CMW00010	1corintios	10	3:11	3:15	109	120	12	extended_stable_field	extended_stable_field	stable_ratio_threshold	False	stable	EXPONE	"{""stable"": 12}"	"{""ACLARA"": 1, ""CONDICIÓN"": 3, ""EXPONE"": 12, ""RAZÓN"": 1}"	0.7059	36	0	27	0	-36	mixed_continuity	True	"[""CMW00009"", ""CMW00010"", ""CMW00011""]"
