connector_registry_id	book	chapter	verse	reference	stream_index	predication_id	connector_occurrence_index	connector_surface_original	connector_surface	connector_lemma	connector_class	dependency_type	direction	source_predication_id	target_predication_id	source_reference	target_reference	explicit_connector	scope_status	label_support_status
CN00001	1corintios	1	5	1:5	2	1corintios-1-5-P01	1	ὅτι	οτι	οτι	explanatory	subordination	forward_or_embedded_local	1corintios-1-5-P01	1corintios-1-6-P01	1:5	1:6	True	local_candidate	not_assigned_here
CN00002	1corintios	1	6	1:6	3	1corintios-1-6-P01	1	καθὼς	καθως	καθως	comparative	subordination	forward_or_embedded_local	1corintios-1-6-P01	1corintios-1-8-P01	1:6	1:8	True	local_candidate	not_assigned_here
CN00003	1corintios	1	10	1:10	7	1corintios-1-10-P02	1	ἵνα	ινα	ινα	purpose	subordination	forward_or_embedded_local	1corintios-1-10-P02	1corintios-1-10-P03	1:10	1:10	True	local_candidate	not_assigned_here
CN00004	1corintios	1	11	1:11	11	1corintios-1-11-P02	1	ὅτι	οτι	οτι	explanatory	subordination	forward_or_embedded_local	1corintios-1-11-P02	1corintios-1-12-P01	1:11	1:12	True	local_candidate	not_assigned_here
CN00005	1corintios	1	12	1:12	13	1corintios-1-12-P02	1	ὅτι	οτι	οτι	explanatory	subordination	forward_or_embedded_local	1corintios-1-12-P02	1corintios-1-12-P03	1:12	1:12	True	local_candidate	not_assigned_here
CN00006	1corintios	1	14	1:14	19	1corintios-1-14-P02	1	ὅτι	οτι	οτι	explanatory	subordination	forward_or_embedded_local	1corintios-1-14-P02	1corintios-1-15-P01	1:14	1:15	True	local_candidate	not_assigned_here
CN00007	1corintios	1	15	1:15	20	1corintios-1-15-P01	1	ἵνα	ινα	ινα	purpose	subordination	forward_or_embedded_local	1corintios-1-15-P01	1corintios-1-15-P02	1:15	1:15	True	local_candidate	not_assigned_here
CN00008	1corintios	1	15	1:15	21	1corintios-1-15-P02	1	ὅτι	οτι	οτι	explanatory	subordination	forward_or_embedded_local	1corintios-1-15-P02	1corintios-1-16-P01	1:15	1:16	True	local_candidate	not_assigned_here
CN00009	1corintios	1	16	1:16	24	1corintios-1-16-P03	1	εἴ	ει	ει	conditional	subordination	forward_or_embedded_local	1corintios-1-16-P03	1corintios-1-17-P01	1:16	1:17	True	local_candidate	not_assigned_here
CN00010	1corintios	1	17	1:17	26	1corintios-1-17-P02	1	ἵνα	ινα	ινα	purpose	subordination	forward_or_embedded_local	1corintios-1-17-P02	1corintios-1-18-P01	1:17	1:18	True	local_candidate	not_assigned_here
CN00011	1corintios	1	25	1:25	38	1corintios-1-25-P01	1	ὅτι	οτι	οτι	explanatory	subordination	forward_or_embedded_local	1corintios-1-25-P01	1corintios-1-26-P01	1:25	1:26	True	local_candidate	not_assigned_here
CN00012	1corintios	1	27	1:27	41	1corintios-1-27-P02	1	ἵνα	ινα	ινα	purpose	subordination	forward_or_embedded_local	1corintios-1-27-P02	1corintios-1-27-P03	1:27	1:27	True	local_candidate	not_assigned_here
CN00013	1corintios	1	27	1:27	43	1corintios-1-27-P04	1	ἵνα	ινα	ινα	purpose	subordination	forward_or_embedded_local	1corintios-1-27-P04	1corintios-1-28-P01	1:27	1:28	True	local_candidate	not_assigned_here
CN00014	1corintios	1	28	1:28	45	1corintios-1-28-P02	1	ἵνα	ινα	ινα	purpose	subordination	forward_or_embedded_local	1corintios-1-28-P02	1corintios-1-29-P01	1:28	1:29	True	local_candidate	not_assigned_here
CN00015	1corintios	1	31	1:31	49	1corintios-1-31-P01	1	ἵνα	ινα	ινα	purpose	subordination	forward_or_embedded_local	1corintios-1-31-P01	1corintios-1-31-P02	1:31	1:31	True	local_candidate	not_assigned_here
CN00016	1corintios	1	31	1:31	49	1corintios-1-31-P01	2	καθὼς	καθως	καθως	comparative	subordination	forward_or_embedded_local	1corintios-1-31-P01	1corintios-1-31-P02	1:31	1:31	True	local_candidate	not_assigned_here
CN00017	1corintios	2	5	2:5	54	1corintios-2-5-P01	1	ἵνα	ινα	ινα	purpose	subordination	forward_or_embedded_local	1corintios-2-5-P01	1corintios-2-6-P01	2:5	2:6	True	local_candidate	not_assigned_here
CN00018	1corintios	2	8	2:8	59	1corintios-2-8-P02	1	εἰ	ει	ει	conditional	subordination	forward_or_embedded_local	1corintios-2-8-P02	1corintios-2-8-P03	2:8	2:8	True	local_candidate	not_assigned_here
CN00019	1corintios	2	9	2:9	61	1corintios-2-9-P01	1	καθὼς	καθως	καθως	comparative	subordination	forward_or_embedded_local	1corintios-2-9-P01	1corintios-2-9-P02	2:9	2:9	True	local_candidate	not_assigned_here
CN00020	1corintios	2	11	2:11	69	1corintios-2-11-P02	1	εἰ	ει	ει	conditional	subordination	forward_or_embedded_local	1corintios-2-11-P02	1corintios-2-12-P01	2:11	2:12	True	local_candidate	not_assigned_here
CN00021	1corintios	2	12	2:12	71	1corintios-2-12-P02	1	ἵνα	ινα	ινα	purpose	subordination	forward_or_embedded_local	1corintios-2-12-P02	1corintios-2-13-P01	2:12	2:13	True	local_candidate	not_assigned_here
CN00022	1corintios	2	14	2:14	76	1corintios-2-14-P04	1	ὅτι	οτι	οτι	explanatory	subordination	forward_or_embedded_local	1corintios-2-14-P04	1corintios-2-15-P01	2:14	2:15	True	local_candidate	not_assigned_here
CN00023	1corintios	3	4	3:4	89	1corintios-3-4-P01	1	ὅταν	οταν	οταν	temporal	subordination	forward_or_embedded_local	1corintios-3-4-P01	1corintios-3-4-P02	3:4	3:4	True	local_candidate	not_assigned_here
CN00024	1corintios	3	5	3:5	95	1corintios-3-5-P04	1	ὡς	ως	ως	comparative	subordination	forward_or_embedded_local	1corintios-3-5-P04	1corintios-3-6-P01	3:5	3:6	True	local_candidate	not_assigned_here
CN00025	1corintios	3	7	3:7	99	1corintios-3-7-P01	1	ὥστε	ωστε	ωστε	inferential	result	backward_local	1corintios-3-6-P03	1corintios-3-7-P01	3:6	3:7	True	local_candidate	not_assigned_here
CN00026	1corintios	3	10	3:10	104	1corintios-3-10-P01	1	ὡς	ως	ως	comparative	subordination	forward_or_embedded_local	1corintios-3-10-P01	1corintios-3-10-P02	3:10	3:10	True	local_candidate	not_assigned_here
CN00027	1corintios	3	12	3:12	110	1corintios-3-12-P01	1	εἰ	ει	ει	conditional	subordination	forward_or_embedded_local	1corintios-3-12-P01	1corintios-3-13-P01	3:12	3:13	True	local_candidate	not_assigned_here
CN00028	1corintios	3	13	3:13	113	1corintios-3-13-P03	1	ὅτι	οτι	οτι	explanatory	subordination	forward_or_embedded_local	1corintios-3-13-P03	1corintios-3-13-P04	3:13	3:13	True	local_candidate	not_assigned_here
CN00029	1corintios	3	14	3:14	116	1corintios-3-14-P01	1	εἴ	ει	ει	conditional	subordination	forward_or_embedded_local	1corintios-3-14-P01	1corintios-3-14-P02	3:14	3:14	True	local_candidate	not_assigned_here
CN00030	1corintios	3	15	3:15	119	1corintios-3-15-P01	1	εἴ	ει	ει	conditional	subordination	forward_or_embedded_local	1corintios-3-15-P01	1corintios-3-15-P02	3:15	3:15	True	local_candidate	not_assigned_here
CN00031	1corintios	3	16	3:16	123	1corintios-3-16-P02	1	ὅτι	οτι	οτι	explanatory	subordination	forward_or_embedded_local	1corintios-3-16-P02	1corintios-3-16-P03	3:16	3:16	True	local_candidate	not_assigned_here
CN00032	1corintios	3	17	3:17	125	1corintios-3-17-P01	1	εἴ	ει	ει	conditional	subordination	forward_or_embedded_local	1corintios-3-17-P01	1corintios-3-17-P02	3:17	3:17	True	local_candidate	not_assigned_here
CN00033	1corintios	3	18	3:18	130	1corintios-3-18-P02	1	εἴ	ει	ει	conditional	subordination	forward_or_embedded_local	1corintios-3-18-P02	1corintios-3-18-P03	3:18	3:18	True	local_candidate	not_assigned_here
CN00034	1corintios	3	18	3:18	132	1corintios-3-18-P04	1	ἵνα	ινα	ινα	purpose	subordination	forward_or_embedded_local	1corintios-3-18-P04	1corintios-3-19-P01	3:18	3:19	True	local_candidate	not_assigned_here
CN00035	1corintios	3	20	3:20	136	1corintios-3-20-P02	1	ὅτι	οτι	οτι	explanatory	subordination	forward_or_embedded_local	1corintios-3-20-P02	1corintios-3-21-P01	3:20	3:21	True	local_candidate	not_assigned_here
CN00036	1corintios	3	21	3:21	137	1corintios-3-21-P01	1	ὥστε	ωστε	ωστε	inferential	result	backward_local	1corintios-3-20-P02	1corintios-3-21-P01	3:20	3:21	True	local_candidate	not_assigned_here
