from_family	to_family	transition_count	transition_probability
CSF001	CSF002	1	0.5
CSF001	CSF008	1	0.5
CSF002	CSF002	1	0.0769
CSF002	CSF003	3	0.2308
CSF002	CSF005	1	0.0769
CSF002	CSF007	1	0.0769
CSF002	CSF008	3	0.2308
CSF002	CSF010	2	0.1538
CSF002	CSF014	1	0.0769
CSF002	CSF018	1	0.0769
CSF003	CSF002	2	0.2
CSF003	CSF003	1	0.1
CSF003	CSF004	1	0.1
CSF003	CSF006	1	0.1
CSF003	CSF007	1	0.1
CSF003	CSF008	2	0.2
CSF003	CSF010	1	0.1
CSF003	CSF017	1	0.1
CSF004	CSF002	1	0.2
CSF004	CSF003	1	0.2
CSF004	CSF004	2	0.4
CSF004	CSF005	1	0.2
CSF005	CSF006	1	0.2
CSF005	CSF013	1	0.2
CSF005	CSF014	1	0.2
CSF005	CSF017	2	0.4
CSF006	CSF002	1	0.25
CSF006	CSF006	1	0.25
CSF006	CSF007	1	0.25
CSF006	CSF015	1	0.25
CSF007	CSF002	1	0.0769
CSF007	CSF004	1	0.0769
CSF007	CSF007	1	0.0769
CSF007	CSF008	4	0.3077
CSF007	CSF012	1	0.0769
CSF007	CSF015	3	0.2308
CSF007	CSF016	2	0.1538
CSF008	CSF002	1	0.0667
CSF008	CSF003	1	0.0667
CSF008	CSF004	1	0.0667
CSF008	CSF007	3	0.2
CSF008	CSF008	2	0.1333
CSF008	CSF009	1	0.0667
CSF008	CSF011	1	0.0667
CSF008	CSF012	1	0.0667
CSF008	CSF015	1	0.0667
CSF008	CSF016	1	0.0667
CSF008	CSF017	2	0.1333
CSF009	CSF003	1	1.0
CSF010	CSF001	1	0.2
CSF010	CSF008	1	0.2
CSF010	CSF010	1	0.2
CSF010	CSF011	1	0.2
CSF010	CSF016	1	0.2
CSF011	CSF007	1	0.25
CSF011	CSF012	2	0.5
CSF011	CSF014	1	0.25
CSF012	CSF002	2	0.5
CSF012	CSF005	2	0.5
CSF013	CSF002	1	1.0
CSF014	CSF004	1	0.25
CSF014	CSF007	1	0.25
CSF014	CSF008	1	0.25
CSF014	CSF015	1	0.25
CSF015	CSF002	1	0.1429
CSF015	CSF003	1	0.1429
CSF015	CSF007	1	0.1429
CSF015	CSF008	1	0.1429
CSF015	CSF014	1	0.1429
CSF015	CSF016	2	0.2857
CSF016	CSF005	1	0.1429
CSF016	CSF007	2	0.2857
CSF016	CSF010	1	0.1429
CSF016	CSF011	1	0.1429
CSF016	CSF015	1	0.1429
CSF016	CSF016	1	0.1429
CSF017	CSF002	1	0.1667
CSF017	CSF003	1	0.1667
CSF017	CSF006	1	0.1667
CSF017	CSF007	1	0.1667
CSF017	CSF011	1	0.1667
CSF017	CSF017	1	0.1667
CSF018	CSF003	1	1.0
