BOOK	CH	VS	G_IDX	GREEK	NBLA_IDX	NBLA_TEXT	ALIGNMENT
1corintios	11	25	01	ὡσαύτως	01,02,03,04	de la misma manera	expanded
1corintios	11	25	02	καὶ	05,06,07	tomó también la	expanded
1corintios	11	25	03	τὸ	05,06,07	tomó también la	shared
1corintios	11	25	04	ποτήριον	08	copa	direct
1corintios	11	25	05	μετὰ	09,10	después de	expanded
1corintios	11	25	06	τὸ	09,10	después de	shared
1corintios	11	25	07	δειπνῆσαι	11,12	haber cenado	expanded
1corintios	11	25	08	λέγων	13	diciendo	direct
1corintios	11	25	09	τοῦτο	14	esta	direct
1corintios	11	25	10	τὸ	15	copa	direct
1corintios	11	25	11	ποτήριον	15	copa	shared
1corintios	11	25	12	ἡ	16,17	es el	expanded
1corintios	11	25	13	καινὴ	18	nuevo	direct
1corintios	11	25	14	διαθήκη	19	pacto	direct
1corintios	11	25	15	ἐστὶν	16	es	shared
1corintios	11	25	16	ἐν	20	en	direct
1corintios	11	25	17	τῷ	21	mi	direct
1corintios	11	25	18	ἐμῷ	21	mi	shared
1corintios	11	25	19	αἵματι	22	sangre	direct
1corintios	11	25	20	τοῦτο	23,24	hagan esto	expanded
1corintios	11	25	21	ποιεῖτε	23	hagan	shared
1corintios	11	25	22	ὁσάκις	25,26	cuantas veces	expanded
1corintios	11	25	23	ἐὰν	25,26	cuantas veces	shared
1corintios	11	25	24	πίνητε	27,28	la beban	expanded
1corintios	11	25	25	εἰς	29	en	direct
1corintios	11	25	26	τὴν	30	memoria	direct
1corintios	11	25	27	ἐμὴν	31,32	de mí	expanded
1corintios	11	25	28	ἀνάμνησιν	29,30	en memoria	shared
