BOOK	CH	VS	G_IDX	GREEK	NBLA_IDX	NBLA_TEXT	ALIGNMENT
1corintios	11	3	01	θέλω	01,02	pero quiero	expanded
1corintios	11	3	02	δὲ	03,04	que sepan	expanded
1corintios	11	3	03	ὑμᾶς	05	que	direct
1corintios	11	3	04	εἰδέναι	06	la	direct
1corintios	11	3	05	ὅτι	07	cabeza	direct
1corintios	11	3	06	παντὸς	08	de	direct
1corintios	11	3	07	ἀνδρὸς	09	todo	direct
1corintios	11	3	08	ἡ	10	hombre	direct
1corintios	11	3	09	κεφαλὴ	11	es	direct
1corintios	11	3	10	ὁ	12	cristo	direct
1corintios	11	3	11	χριστός	13	y	direct
1corintios	11	3	12	ἐστιν	19	es	direct
1corintios	11	3	13	κεφαλὴ	20	el	direct
1corintios	11	3	14	δὲ	21,22	hombre y	expanded
1corintios	11	3	15	γυναικὸς	23	la	direct
1corintios	11	3	16	ὁ	24	cabeza	direct
1corintios	11	3	17	ἀνήρ	25	de	direct
1corintios	11	3	18	κεφαλὴ	26	cristo	direct
1corintios	11	3	19	δὲ	27,28	es dios	expanded
1corintios	11	3	20	τοῦ	-	-	missing
1corintios	11	3	21	χριστοῦ	-	-	missing
1corintios	11	3	22	ὁ	-	-	missing
1corintios	11	3	23	θεός	-	-	missing
