BOOK	CH	VS	G_IDX	GREEK	NBLA_IDX	NBLA_TEXT	ALIGNMENT
1corintios	12	12	01	καθάπερ	01	porque	direct
1corintios	12	12	02	γὰρ	02	así	direct
1corintios	12	12	03	τὸ	03	como	direct
1corintios	12	12	04	σῶμα	04	el	direct
1corintios	12	12	05	ἕν	05	cuerpo	direct
1corintios	12	12	06	ἐστιν	06	es	direct
1corintios	12	12	07	καὶ	07,08	uno y	expanded
1corintios	12	12	08	μέλη	09	tiene	direct
1corintios	12	12	09	πολλὰ	10	muchos	direct
1corintios	12	12	10	ἔχει	-	-	missing
1corintios	12	12	11	πάντα	11	miembros	direct
1corintios	12	12	12	δὲ	12,13	pero todos	expanded
1corintios	12	12	13	τὰ	14	los	direct
1corintios	12	12	14	μέλη	15	miembros	direct
1corintios	12	12	15	τοῦ	16	del	direct
1corintios	12	12	16	σώματος	17	cuerpo	direct
1corintios	12	12	17	πολλὰ	18	aunque	direct
1corintios	12	12	18	ὄντα	19	son	direct
1corintios	12	12	19	ἕν	20	muchos	direct
1corintios	12	12	20	ἐστιν	27	es	direct
1corintios	12	12	21	σῶμα	28	cristo	direct
1corintios	12	12	22	οὕτως	-	-	missing
1corintios	12	12	23	καὶ	-	-	missing
1corintios	12	12	24	ὁ	-	-	missing
1corintios	12	12	25	χριστός	-	-	missing
