BOOK	CH	VS	G_IDX	GREEK	NBLA_IDX	NBLA_TEXT	ALIGNMENT
1corintios	9	18	01	τίς	01	cuál	direct
1corintios	9	18	02	οὖν	02	es	direct
1corintios	9	18	03	μού	03	entonces	direct
1corintios	9	18	04	ἐστιν	04	mi	direct
1corintios	9	18	05	ὁ	05	recompensa	direct
1corintios	9	18	06	μισθός	06	que	direct
1corintios	9	18	07	ἵνα	07,08,09,10	al predicar el evangelio	expanded
1corintios	9	18	08	εὐαγγελιζόμενος	11	pueda	direct
1corintios	9	18	09	ἀδάπανον	12	ofrecerlo	direct
1corintios	9	18	10	θήσω	13	gratuitamente	direct
1corintios	9	18	11	τὸ	14	sin	direct
1corintios	9	18	12	εὐαγγέλιον	15	hacer	direct
1corintios	9	18	13	εἰς	16	pleno	direct
1corintios	9	18	14	τὸ	17	uso	direct
1corintios	9	18	15	μὴ	18	de	direct
1corintios	9	18	16	καταχρήσασθαι	19	mi	direct
1corintios	9	18	17	τῇ	20,21	derecho como	expanded
1corintios	9	18	18	ἐξουσίᾳ	22	predicador	direct
1corintios	9	18	19	μου	23	del	direct
1corintios	9	18	20	ἐν	24	evangelio	expanded
1corintios	9	18	21	τῷ	-	-	missing
1corintios	9	18	22	εὐαγγελίῳ	-	-	missing
