movement_persistence_id	book	run_index	start_ref	end_ref	start_window_index	end_window_index	window_count	persistence_kind	dominant_band	dominant_field	dominant_tendency	persistence_total	transition_total	extension_total	weakening_total	window_ids
MP00001	1corintios	1	1:4	1:16	1	2	2	band_persistence:transition_cluster	transition_cluster	unstable	ACLARA	20	100	13	65	"[""MW00001"", ""MW00002""]"
MP00002	1corintios	2	1:17	1:22	3	3	1	band_persistence:extended_stable_field	extended_stable_field	stable	EXPONE	30	14	20	7	"[""MW00003""]"
MP00003	1corintios	3	1:23	1:30	4	4	1	band_persistence:movement_accumulation	movement_accumulation	stable	ACLARA	26	28	16	16	"[""MW00004""]"
MP00004	1corintios	4	1:31	3:2	5	7	3	field_persistence:stable	extended_stable_field	stable	EXPONE	87	42	58	23	"[""MW00005"", ""MW00006"", ""MW00007""]"
MP00005	1corintios	5	3:2	3:6	8	8	1	band_persistence:transition_cluster	transition_cluster	unstable	ACLARA	17	40	11	26	"[""MW00008""]"
MP00006	1corintios	6	3:6	3:11	9	9	1	band_persistence:mixed_continuity	mixed_continuity	stable	ACLARA	21	29	13	16	"[""MW00009""]"
MP00007	1corintios	7	3:11	4:3	10	12	3	field_persistence:stable	extended_stable_field	stable	EXPONE	97	25	68	12	"[""MW00010"", ""MW00011"", ""MW00012""]"
MP00008	1corintios	8	4:4	4:9	13	14	2	field_persistence:stable	transition_cluster	stable	ACLARA	43	61	28	36	"[""MW00013"", ""MW00014""]"
MP00009	1corintios	9	4:9	4:14	15	15	1	band_persistence:extended_stable_field	extended_stable_field	stable	EXPONE	32	6	21	3	"[""MW00015""]"
MP00010	1corintios	10	4:15	6:7	16	19	4	band_persistence:transition_cluster	transition_cluster	unstable	ACLARA	38	213	29	138	"[""MW00016"", ""MW00017"", ""MW00018"", ""MW00019""]"
MP00011	1corintios	11	6:7	6:11	20	20	1	band_persistence:mixed_continuity	mixed_continuity	stable	EXPONE	27	24	17	14	"[""MW00020""]"
MP00012	1corintios	12	6:11	6:15	21	21	1	band_persistence:transition_cluster	transition_cluster	stable	ACLARA	21	36	13	22	"[""MW00021""]"
MP00013	1corintios	13	6:16	6:19	22	22	1	band_persistence:movement_accumulation	movement_accumulation	transitioning	ACLARA	17	38	11	22	"[""MW00022""]"
MP00014	1corintios	14	6:19	7:5	23	23	1	band_persistence:extended_stable_field	extended_stable_field	stable	EXPONE	34	8	23	4	"[""MW00023""]"
MP00015	1corintios	15	7:5	7:11	24	24	1	band_persistence:movement_accumulation	movement_accumulation	stable	ACLARA	20	36	15	21	"[""MW00024""]"
MP00016	1corintios	16	7:11	7:27	25	28	4	field_persistence:stable	extended_stable_field	stable	EXPONE	126	60	87	32	"[""MW00025"", ""MW00026"", ""MW00027"", ""MW00028""]"
MP00017	1corintios	17	7:27	7:32	29	29	1	band_persistence:mixed_continuity	mixed_continuity	stable	ACLARA	17	28	13	17	"[""MW00029""]"
MP00018	1corintios	18	7:32	9:15	30	37	8	field_persistence:stable	extended_stable_field	stable	EXPONE	224	147	157	83	"[""MW00030"", ""MW00031"", ""MW00032"", ""MW00033"", ""MW00034"", ""MW00035"", ""MW00036"", ""MW00037""]"
MP00019	1corintios	19	9:15	9:23	38	39	2	field_persistence:stable	movement_accumulation	stable	EXPONE	64	26	45	14	"[""MW00038"", ""MW00039""]"
MP00020	1corintios	20	9:23	9:27	40	40	1	band_persistence:transition_cluster	transition_cluster	stable	ACLARA	17	32	11	20	"[""MW00040""]"
MP00021	1corintios	21	9:27	10:6	41	41	1	band_persistence:extended_stable_field	extended_stable_field	stable	EXPONE	29	8	19	4	"[""MW00041""]"
MP00022	1corintios	22	10:6	10:10	42	42	1	band_persistence:transition_cluster	transition_cluster	unstable	ACLARA	12	44	8	29	"[""MW00042""]"
MP00023	1corintios	23	10:10	10:14	43	43	1	band_persistence:mixed_continuity	mixed_continuity	stable	EXPONE	23	25	16	15	"[""MW00043""]"
MP00024	1corintios	24	10:15	10:19	44	44	1	band_persistence:transition_cluster	transition_cluster	unstable	ACLARA	3	62	2	41	"[""MW00044""]"
MP00025	1corintios	25	10:19	10:23	45	45	1	band_persistence:movement_accumulation	movement_accumulation	stable	ACLARA	26	24	16	13	"[""MW00045""]"
MP00026	1corintios	26	10:23	11:16	46	49	4	mixed_persistence	transition_cluster	stable	EXPONE	100	104	71	64	"[""MW00046"", ""MW00047"", ""MW00048"", ""MW00049""]"
MP00027	1corintios	27	11:16	11:22	50	50	1	band_persistence:transition_cluster	transition_cluster	unstable	ACLARA	14	34	10	21	"[""MW00050""]"
MP00028	1corintios	28	11:22	11:34	51	53	3	band_persistence:extended_stable_field	extended_stable_field	stable	EXPONE	90	46	62	25	"[""MW00051"", ""MW00052"", ""MW00053""]"
MP00029	1corintios	29	11:34	12:5	54	54	1	band_persistence:movement_accumulation	movement_accumulation	stable	ACLARA	26	24	16	13	"[""MW00054""]"
MP00030	1corintios	30	12:6	12:15	55	55	1	band_persistence:extended_stable_field	extended_stable_field	stable	EXPONE	31	10	20	5	"[""MW00055""]"
MP00031	1corintios	31	12:15	12:21	56	56	1	band_persistence:movement_accumulation	movement_accumulation	stable	ACLARA	29	22	21	12	"[""MW00056""]"
MP00032	1corintios	32	12:21	14:5	57	62	6	field_persistence:stable	extended_stable_field	stable	EXPONE	174	81	114	43	"[""MW00057"", ""MW00058"", ""MW00059"", ""MW00060"", ""MW00061"", ""MW00062""]"
MP00033	1corintios	33	14:5	14:9	63	63	1	band_persistence:mixed_continuity	mixed_continuity	stable	ACLARA	24	30	21	18	"[""MW00063""]"
MP00034	1corintios	34	14:9	14:14	64	64	1	band_persistence:movement_accumulation	movement_accumulation	transitioning	ACLARA	20	36	15	21	"[""MW00064""]"
MP00035	1corintios	35	14:14	14:28	65	68	4	field_persistence:stable	mixed_continuity	stable	ACLARA	95	93	65	55	"[""MW00065"", ""MW00066"", ""MW00067"", ""MW00068""]"
MP00036	1corintios	36	14:28	14:38	69	70	2	band_persistence:recovery_field	recovery_field	stable	ACLARA	39	36	28	19	"[""MW00069"", ""MW00070""]"
MP00037	1corintios	37	14:38	15:32	71	76	6	field_persistence:stable	mixed_continuity	stable	EXPONE	141	125	101	73	"[""MW00071"", ""MW00072"", ""MW00073"", ""MW00074"", ""MW00075"", ""MW00076""]"
MP00038	1corintios	38	15:32	15:35	77	77	1	band_persistence:transition_cluster	transition_cluster	unstable	ACLARA	13	46	10	29	"[""MW00077""]"
MP00039	1corintios	39	15:35	15:49	78	79	2	band_persistence:extended_stable_field	extended_stable_field	stable	EXPONE	63	24	44	14	"[""MW00078"", ""MW00079""]"
MP00040	1corintios	40	15:50	15:54	80	80	1	band_persistence:mixed_continuity	mixed_continuity	stable	ACLARA	16	32	10	19	"[""MW00080""]"
MP00041	1corintios	41	15:54	16:3	81	81	1	band_persistence:transition_cluster	transition_cluster	unstable	ACLARA	9	55	7	36	"[""MW00081""]"
MP00042	1corintios	42	16:3	16:7	82	82	1	band_persistence:mixed_continuity	mixed_continuity	stable	ACLARA	24	26	18	15	"[""MW00082""]"
MP00043	1corintios	43	16:7	16:22	83	85	3	band_persistence:transition_cluster	transition_cluster	unstable	ACLARA	41	114	29	71	"[""MW00083"", ""MW00084"", ""MW00085""]"
