book	chapter	total_predications	verses_with_predications	predications_per_verse	max_predications_single_verse	finite_1S	finite_1P	finite_2S	finite_2P	finite_3S	finite_3P	subject_morphology	subject_candidate	subject_unresolved	independent_candidate	independence_unresolved	subordination_candidate	subordination_not_detected	subordination_unresolved
1corintios	1	50	26	1.92	4	11	1	0	8	27	3	34	16	0	32	18	18	32	0
1corintios	2	31	15	2.07	5	3	6	0	0	20	2	22	9	0	25	6	6	25	0
1corintios	3	57	21	2.71	5	5	1	0	11	38	2	35	22	0	43	14	14	43	0
1corintios	4	56	19	2.95	5	14	12	4	10	15	1	49	7	0	43	13	13	43	0
1corintios	5	20	12	1.67	4	3	1	0	9	7	0	15	5	0	12	8	8	12	0
1corintios	6	53	20	2.65	4	3	1	0	24	21	4	38	15	0	43	10	10	43	0
1corintios	7	113	39	2.9	7	15	0	13	6	73	6	81	32	0	87	26	26	87	0
1corintios	8	29	12	2.42	5	2	7	0	2	15	3	18	11	0	19	10	10	19	0
1corintios	9	72	27	2.67	5	31	8	1	6	21	5	62	10	0	48	24	24	48	0
1corintios	10	80	32	2.5	4	10	8	0	17	25	20	52	28	0	63	17	17	63	0
1corintios	11	78	32	2.44	6	13	5	0	16	42	2	65	13	0	57	21	21	57	0
1corintios	12	53	26	2.04	4	9	4	0	5	28	7	35	18	0	42	11	11	42	0
1corintios	13	42	12	3.5	6	17	3	0	0	20	2	34	8	0	33	9	9	33	0
1corintios	14	110	40	2.75	8	17	0	3	17	58	15	74	36	0	76	34	34	76	0
1corintios	15	120	48	2.5	5	17	14	3	11	58	17	85	35	0	85	35	35	85	0
1corintios	16	54	20	2.7	6	17	0	1	9	20	7	46	8	0	35	19	19	35	0
