metric	rank	chapter	value
total_predications	1	15	120
total_predications	2	7	113
total_predications	3	14	110
total_predications	4	10	80
total_predications	5	11	78
total_predications	6	9	72
total_predications	7	3	57
total_predications	8	4	56
total_predications	9	16	54
total_predications	10	6	53
total_predications	11	12	53
total_predications	12	1	50
total_predications	13	13	42
total_predications	14	2	31
total_predications	15	8	29
total_predications	16	5	20
predications_per_verse	1	13	3.5
predications_per_verse	2	4	2.95
predications_per_verse	3	7	2.9
predications_per_verse	4	14	2.75
predications_per_verse	5	3	2.71
predications_per_verse	6	16	2.7
predications_per_verse	7	9	2.67
predications_per_verse	8	6	2.65
predications_per_verse	9	10	2.5
predications_per_verse	10	15	2.5
predications_per_verse	11	11	2.44
predications_per_verse	12	8	2.42
predications_per_verse	13	2	2.07
predications_per_verse	14	12	2.04
predications_per_verse	15	1	1.92
predications_per_verse	16	5	1.67
max_predications_single_verse	1	14	8
max_predications_single_verse	2	7	7
max_predications_single_verse	3	11	6
max_predications_single_verse	4	13	6
max_predications_single_verse	5	16	6
max_predications_single_verse	6	2	5
max_predications_single_verse	7	3	5
max_predications_single_verse	8	4	5
max_predications_single_verse	9	8	5
max_predications_single_verse	10	9	5
max_predications_single_verse	11	15	5
max_predications_single_verse	12	1	4
max_predications_single_verse	13	5	4
max_predications_single_verse	14	6	4
max_predications_single_verse	15	10	4
max_predications_single_verse	16	12	4
finite_1S	1	9	31
finite_1S	2	13	17
finite_1S	3	14	17
finite_1S	4	15	17
finite_1S	5	16	17
finite_1S	6	7	15
finite_1S	7	4	14
finite_1S	8	11	13
finite_1S	9	1	11
finite_1S	10	10	10
finite_1S	11	12	9
finite_1S	12	3	5
finite_1S	13	2	3
finite_1S	14	5	3
finite_1S	15	6	3
finite_1S	16	8	2
finite_1P	1	15	14
finite_1P	2	4	12
finite_1P	3	9	8
finite_1P	4	10	8
finite_1P	5	8	7
finite_1P	6	2	6
finite_1P	7	11	5
finite_1P	8	12	4
finite_1P	9	13	3
finite_1P	10	1	1
finite_1P	11	3	1
finite_1P	12	5	1
finite_1P	13	6	1
finite_1P	14	7	0
finite_1P	15	14	0
finite_1P	16	16	0
finite_2S	1	7	13
finite_2S	2	4	4
finite_2S	3	14	3
finite_2S	4	15	3
finite_2S	5	9	1
finite_2S	6	16	1
finite_2S	7	1	0
finite_2S	8	2	0
finite_2S	9	3	0
finite_2S	10	5	0
finite_2S	11	6	0
finite_2S	12	8	0
finite_2S	13	10	0
finite_2S	14	11	0
finite_2S	15	12	0
finite_2S	16	13	0
finite_2P	1	6	24
finite_2P	2	10	17
finite_2P	3	14	17
finite_2P	4	11	16
finite_2P	5	3	11
finite_2P	6	15	11
finite_2P	7	4	10
finite_2P	8	5	9
finite_2P	9	16	9
finite_2P	10	1	8
finite_2P	11	7	6
finite_2P	12	9	6
finite_2P	13	12	5
finite_2P	14	8	2
finite_2P	15	2	0
finite_2P	16	13	0
finite_3S	1	7	73
finite_3S	2	14	58
finite_3S	3	15	58
finite_3S	4	11	42
finite_3S	5	3	38
finite_3S	6	12	28
finite_3S	7	1	27
finite_3S	8	10	25
finite_3S	9	6	21
finite_3S	10	9	21
finite_3S	11	2	20
finite_3S	12	13	20
finite_3S	13	16	20
finite_3S	14	4	15
finite_3S	15	8	15
finite_3S	16	5	7
finite_3P	1	10	20
finite_3P	2	15	17
finite_3P	3	14	15
finite_3P	4	12	7
finite_3P	5	16	7
finite_3P	6	7	6
finite_3P	7	9	5
finite_3P	8	6	4
finite_3P	9	1	3
finite_3P	10	8	3
finite_3P	11	2	2
finite_3P	12	3	2
finite_3P	13	11	2
finite_3P	14	13	2
finite_3P	15	4	1
finite_3P	16	5	0
subject_candidate	1	14	36
subject_candidate	2	15	35
subject_candidate	3	7	32
subject_candidate	4	10	28
subject_candidate	5	3	22
subject_candidate	6	12	18
subject_candidate	7	1	16
subject_candidate	8	6	15
subject_candidate	9	11	13
subject_candidate	10	8	11
subject_candidate	11	9	10
subject_candidate	12	2	9
subject_candidate	13	13	8
subject_candidate	14	16	8
subject_candidate	15	4	7
subject_candidate	16	5	5
independence_unresolved	1	15	35
independence_unresolved	2	14	34
independence_unresolved	3	7	26
independence_unresolved	4	9	24
independence_unresolved	5	11	21
independence_unresolved	6	16	19
independence_unresolved	7	1	18
independence_unresolved	8	10	17
independence_unresolved	9	3	14
independence_unresolved	10	4	13
independence_unresolved	11	12	11
independence_unresolved	12	6	10
independence_unresolved	13	8	10
independence_unresolved	14	13	9
independence_unresolved	15	5	8
independence_unresolved	16	2	6
subordination_candidate	1	15	35
subordination_candidate	2	14	34
subordination_candidate	3	7	26
subordination_candidate	4	9	24
subordination_candidate	5	11	21
subordination_candidate	6	16	19
subordination_candidate	7	1	18
subordination_candidate	8	10	17
subordination_candidate	9	3	14
subordination_candidate	10	4	13
subordination_candidate	11	12	11
subordination_candidate	12	6	10
subordination_candidate	13	8	10
subordination_candidate	14	13	9
subordination_candidate	15	5	8
subordination_candidate	16	2	6
