profile_type	rank	chapter_a	chapter_b	persistence_count	max_threshold	similarity	note
persistent_pair	1	2	8	5	0.4	0.4575	2 ↔ 8 survives through 0.20,0.25,0.30,0.35,0.40
persistent_pair	2	1	12	4	0.35	0.3787	1 ↔ 12 survives through 0.20,0.25,0.30,0.35
persistent_pair	3	8	12	3	0.3	0.3164	8 ↔ 12 survives through 0.20,0.25,0.30
persistent_pair	4	2	12	3	0.3	0.3163	2 ↔ 12 survives through 0.20,0.25,0.30
persistent_pair	5	2	5	2	0.25	0.2916	2 ↔ 5 survives through 0.20,0.25
persistent_pair	6	11	16	2	0.25	0.2913	11 ↔ 16 survives through 0.20,0.25
persistent_pair	7	3	11	2	0.25	0.2901	3 ↔ 11 survives through 0.20,0.25
persistent_pair	8	1	3	2	0.25	0.2866	1 ↔ 3 survives through 0.20,0.25
persistent_pair	9	3	12	2	0.25	0.2849	3 ↔ 12 survives through 0.20,0.25
persistent_pair	10	1	5	2	0.25	0.2754	1 ↔ 5 survives through 0.20,0.25
persistent_pair	11	3	6	2	0.25	0.2751	3 ↔ 6 survives through 0.20,0.25
persistent_pair	12	5	12	2	0.25	0.2745	5 ↔ 12 survives through 0.20,0.25
persistent_pair	13	3	8	2	0.25	0.2627	3 ↔ 8 survives through 0.20,0.25
persistent_pair	14	5	8	2	0.25	0.2622	5 ↔ 8 survives through 0.20,0.25
persistent_pair	15	3	16	2	0.25	0.2613	3 ↔ 16 survives through 0.20,0.25
persistent_pair	16	1	11	2	0.25	0.2593	1 ↔ 11 survives through 0.20,0.25
persistent_pair	17	1	16	2	0.25	0.2554	1 ↔ 16 survives through 0.20,0.25
persistent_pair	18	1	8	2	0.25	0.2514	1 ↔ 8 survives through 0.20,0.25
persistent_pair	19	9	16	2	0.25	0.2509	9 ↔ 16 survives through 0.20,0.25
persistent_pair	20	4	8	1	0.2	0.2487	4 ↔ 8 survives through 0.20
persistent_pair	21	13	16	1	0.2	0.2457	13 ↔ 16 survives through 0.20
persistent_pair	22	1	2	1	0.2	0.2445	1 ↔ 2 survives through 0.20
persistent_pair	23	12	16	1	0.2	0.2325	12 ↔ 16 survives through 0.20
persistent_pair	24	2	3	1	0.2	0.2317	2 ↔ 3 survives through 0.20
persistent_pair	25	4	13	1	0.2	0.2274	4 ↔ 13 survives through 0.20
persistent_pair	26	11	12	1	0.2	0.2271	11 ↔ 12 survives through 0.20
persistent_pair	27	4	11	1	0.2	0.2262	4 ↔ 11 survives through 0.20
persistent_pair	28	4	9	1	0.2	0.2259	4 ↔ 9 survives through 0.20
persistent_pair	29	9	11	1	0.2	0.2242	9 ↔ 11 survives through 0.20
persistent_pair	30	8	16	1	0.2	0.2233	8 ↔ 16 survives through 0.20
persistent_pair	31	1	6	1	0.2	0.2228	1 ↔ 6 survives through 0.20
persistent_pair	32	4	16	1	0.2	0.2228	4 ↔ 16 survives through 0.20
persistent_pair	33	8	13	1	0.2	0.2217	8 ↔ 13 survives through 0.20
persistent_pair	34	6	11	1	0.2	0.221	6 ↔ 11 survives through 0.20
persistent_pair	35	10	12	1	0.2	0.2207	10 ↔ 12 survives through 0.20
persistent_pair	36	6	12	1	0.2	0.2204	6 ↔ 12 survives through 0.20
persistent_pair	37	5	6	1	0.2	0.2183	5 ↔ 6 survives through 0.20
persistent_pair	38	3	13	1	0.2	0.2137	3 ↔ 13 survives through 0.20
persistent_pair	39	8	11	1	0.2	0.2132	8 ↔ 11 survives through 0.20
persistent_pair	40	3	5	1	0.2	0.2128	3 ↔ 5 survives through 0.20
persistent_pair	41	2	4	1	0.2	0.2122	2 ↔ 4 survives through 0.20
persistent_pair	42	3	4	1	0.2	0.2115	3 ↔ 4 survives through 0.20
persistent_pair	43	4	12	1	0.2	0.2096	4 ↔ 12 survives through 0.20
persistent_pair	44	6	8	1	0.2	0.2041	6 ↔ 8 survives through 0.20
persistent_pair	45	6	16	1	0.2	0.2036	6 ↔ 16 survives through 0.20
