structural_family_id	member_count	avg_structural_density	avg_turbulence_density	avg_stable_density	avg_continuity_same_density	avg_continuity_shift_density	avg_weight_per_record	dominant_movement_profile
SF001	2	0.8138	0.093	0.093	0.1623	0.8138	5.3918	structural
SF002	11	0.4849	0.2999	0.2152	0.5151	0.4849	3.5644	structural
SF003	10	0.3308	0.0759	0.5933	0.6692	0.3308	1.9346	stable
SF004	6	0.6047	0.306	0.0893	0.3953	0.6047	4.3872	structural
SF005	3	0.2778	0.5972	0.125	0.7222	0.2778	2.8056	turbulence
SF006	3	0.3611	0.6056	0.0333	0.6389	0.3611	3.4444	turbulence
SF007	11	0.4839	0.167	0.3491	0.5161	0.4839	2.9496	structural
SF008	11	0.2058	0.1525	0.6417	0.7942	0.2058	1.319	stable
SF009	1	0.3333	0.6667	0.0	0.6667	0.3333	4.0	turbulence
SF010	4	0.6124	0.0729	0.3147	0.3876	0.6124	4.0098	structural
SF011	4	0.7473	0.0312	0.2214	0.2527	0.7473	4.4984	structural
SF012	4	0.1295	0.4333	0.4372	0.8705	0.1295	1.5812	turbulence
SF013	2	0.275	0.625	0.1	0.725	0.275	2.55	turbulence
SF014	1	0.0	0.5	0.5	1.0	0.0	1.0	stable
SF015	3	0.663	0.1222	0.2148	0.337	0.663	4.8963	structural
SF016	7	0.2599	0.3578	0.3823	0.7401	0.2599	2.1083	turbulence
SF017	5	0.4789	0.0885	0.4326	0.5211	0.4789	2.6325	structural
SF018	2	0.25	0.0	0.75	0.75	0.25	1.0	stable
SF019	5	0.4163	0.1792	0.4045	0.5837	0.4163	2.3477	structural
SF020	1	0.2	0.0	0.8	0.8	0.2	1.6	stable
SF021	2	0.65	0.1	0.25	0.35	0.65	3.6	structural
SF022	1	0.5	0.25	0.25	0.5	0.5	2.5	structural
SF023	1	0.3333	0.0	0.6667	0.6667	0.3333	1.3333	stable
SF024	1	0.4	0.4	0.2	0.6	0.4	3.2	structural
SF025	2	0.3333	0.3333	0.3333	0.6667	0.3333	2.6667	structural
SF026	1	0.5	0.3333	0.1667	0.5	0.5	4.0	structural
SF027	1	0.6364	0.3636	0.0	0.3636	0.6364	5.0909	structural
SF028	2	0.6236	0.0294	0.347	0.3765	0.6236	3.1883	structural
SF029	1	0.5	0.0	0.5	0.5	0.5	3.5	structural
