threshold	window	total_records	regime_count	single_record_regimes	single_record_pct	small_regimes_le_2	small_regimes_le_2_pct	large_regimes_ge_20	avg_regime_length	median_regime_length	max_regime_length	min_regime_length	calibration_score
20	3	1018	124	80	0.6452	84	0.6774	19	8.21	1	101	1	3.5862
18	3	1018	155	102	0.6581	110	0.7097	19	6.57	1	100	1	3.9354
20	4	1018	175	109	0.6229	129	0.7371	18	5.82	1	99	1	4.0387
16	3	1018	191	124	0.6492	144	0.7539	19	5.33	1	58	1	4.0471
20	5	1018	222	130	0.5856	165	0.7432	15	4.59	1	57	1	4.0932
14	3	1018	222	136	0.6126	168	0.7568	17	4.59	1	55	1	4.2014
16	4	1018	238	142	0.5966	179	0.7521	17	4.28	1	54	1	4.2773
18	4	1018	209	129	0.6172	158	0.756	17	4.87	1	96	1	4.3053
18	5	1018	250	146	0.584	186	0.744	14	4.07	1	57	1	4.3233
12	3	1018	251	148	0.5896	190	0.757	13	4.06	1	55	1	4.3745
14	4	1018	257	149	0.5798	192	0.7471	15	3.96	1	54	1	4.3753
16	5	1018	274	157	0.573	204	0.7445	14	3.72	1	53	1	4.4913
10	3	1018	287	159	0.554	213	0.7422	11	3.55	1	53	1	4.5381
14	5	1018	298	163	0.547	216	0.7248	12	3.42	1	40	1	4.5739
12	4	1018	297	164	0.5522	216	0.7273	10	3.43	1	41	1	4.5862
10	4	1018	325	173	0.5323	230	0.7077	8	3.13	1	40	1	4.7206
12	5	1018	327	177	0.5413	233	0.7125	9	3.11	1	38	1	4.7739
8	3	1018	325	177	0.5446	236	0.7262	8	3.13	1	38	1	4.7945
10	5	1018	348	183	0.5259	241	0.6925	5	2.93	1	33	1	4.8627
8	4	1018	349	185	0.5301	245	0.702	6	2.92	1	38	1	4.9026
6	3	1018	355	187	0.5268	251	0.707	6	2.87	1	31	1	4.9527
8	5	1018	365	188	0.5151	250	0.6849	3	2.79	1	33	1	4.9568
6	4	1018	366	191	0.5219	256	0.6995	5	2.78	1	31	1	5.0147
6	5	1018	377	191	0.5066	256	0.679	1	2.7	1	27	1	5.0195
