BOOK	CH	VS	REFERENCE	SOURCE_LINE	TOKEN_IN_VERSE	GREEK	LEMMA	POS	PARSING	MORPH	CATEGORY	FINITE	MOOD	PERSON	NUMBER	RAW
1corintios	1	2	1corintios 1:2	17	5	⸂ἡγιασμένοις	ἁγιάζω	V-	-XPPDPM-	V--XPPDPM-	nonfinite_participle	no				070102 V- -XPPDPM- ⸂ἡγιασμένοις ἡγιασμένοις ἡγιασμένοις ἁγιάζω
1corintios	1	2	1corintios 1:2	22	10	οὔσῃ	εἰμί	V-	-PAPDSF-	V--PAPDSF-	nonfinite_participle	no				070102 V- -PAPDSF- οὔσῃ οὔσῃ οὔσῃ εἰμί
1corintios	1	2	1corintios 1:2	30	18	ἐπικαλουμένοις	ἐπικαλέω	V-	-PMPDPM-	V--PMPDPM-	nonfinite_participle	no				070102 V- -PMPDPM- ἐπικαλουμένοις ἐπικαλουμένοις ἐπικαλουμένοις ἐπικαλέω
1corintios	1	4	1corintios 1:4	56	1	Εὐχαριστῶ	εὐχαριστέω	V-	1PAI-S--	V-1PAI-S--	finite_counted	yes	indicative	1	S	070104 V- 1PAI-S-- Εὐχαριστῶ Εὐχαριστῶ εὐχαριστῶ εὐχαριστέω
1corintios	1	4	1corintios 1:4	69	14	δοθείσῃ	δίδωμι	V-	-APPDSF-	V--APPDSF-	nonfinite_participle	no				070104 V- -APPDSF- δοθείσῃ δοθείσῃ δοθείσῃ δίδωμι
1corintios	1	5	1corintios 1:5	77	4	ἐπλουτίσθητε	πλουτίζω	V-	2API-P--	V-2API-P--	finite_counted	yes	indicative	2	P	070105 V- 2API-P-- ἐπλουτίσθητε ἐπλουτίσθητε ἐπλουτίσθητε πλουτίζω
1corintios	1	6	1corintios 1:6	91	6	ἐβεβαιώθη	βεβαιόω	V-	3API-S--	V-3API-S--	finite_counted	yes	indicative	3	S	070106 V- 3API-S-- ἐβεβαιώθη ἐβεβαιώθη ἐβεβαιώθη βεβαιόω
1corintios	1	7	1corintios 1:7	97	4	ὑστερεῖσθαι	ὑστερέω	V-	-PPN----	V--PPN----	nonfinite_infinitive	no				070107 V- -PPN---- ὑστερεῖσθαι ὑστερεῖσθαι ὑστερεῖσθαι ὑστερέω
1corintios	1	7	1corintios 1:7	101	8	ἀπεκδεχομένους	ἀπεκδέχομαι	V-	-PMPAPM-	V--PMPAPM-	nonfinite_participle	no				070107 V- -PMPAPM- ἀπεκδεχομένους ἀπεκδεχομένους ἀπεκδεχομένους ἀπεκδέχομαι
1corintios	1	8	1corintios 1:8	111	3	βεβαιώσει	βεβαιόω	V-	3FAI-S--	V-3FAI-S--	finite_counted	yes	indicative	3	S	070108 V- 3FAI-S-- βεβαιώσει βεβαιώσει βεβαιώσει βεβαιόω
