BOOK	CH	VS	G_IDX	GREEK	NBLA_IDX	NBLA_TEXT	ALIGNMENT
1corintios	11	25	01	ὡσαύτως	01	de	direct
1corintios	11	25	02	καὶ	02,03	la misma	expanded
1corintios	11	25	03	τὸ	04	manera	direct
1corintios	11	25	04	ποτήριον	08	copa	direct
1corintios	11	25	05	μετὰ	09	después	direct
1corintios	11	25	06	τὸ	17	el	direct
1corintios	11	25	07	δειπνῆσαι	18	nuevo	direct
1corintios	11	25	08	λέγων	19	pacto	direct
1corintios	11	25	09	τοῦτο	20	en	direct
1corintios	11	25	10	τὸ	21	mi	direct
1corintios	11	25	11	ποτήριον	22	sangre	direct
1corintios	11	25	12	ἡ	27	la	direct
1corintios	11	25	13	καινὴ	28	beban	direct
1corintios	11	25	14	διαθήκη	29	en	direct
1corintios	11	25	15	ἐστὶν	30	memoria	direct
1corintios	11	25	16	ἐν	31,32	de mí	expanded
1corintios	11	25	17	τῷ	-	-	missing
1corintios	11	25	18	ἐμῷ	-	-	missing
1corintios	11	25	19	αἵματι	-	-	missing
1corintios	11	25	20	τοῦτο	-	-	missing
1corintios	11	25	21	ποιεῖτε	-	-	missing
1corintios	11	25	22	ὁσάκις	-	-	missing
1corintios	11	25	23	ἐὰν	-	-	missing
1corintios	11	25	24	πίνητε	-	-	missing
1corintios	11	25	25	εἰς	-	-	missing
1corintios	11	25	26	τὴν	-	-	missing
1corintios	11	25	27	ἐμὴν	-	-	missing
1corintios	11	25	28	ἀνάμνησιν	-	-	missing
