BOOK	CH	VS	G_IDX	GREEK	NBLA_IDX	NBLA_TEXT	ALIGNMENT
1corintios	15	37	01	καὶ	01	y	direct
1corintios	15	37	02	ὃ	02,03	lo que	expanded
1corintios	15	37	03	σπείρεις	04	siembras	direct
1corintios	15	37	04	οὐ	05	no	direct
1corintios	15	37	05	τὸ	06,07	el cuerpo	expanded
1corintios	15	37	06	σῶμα	-	-	shared
1corintios	15	37	07	τὸ	08,09,10,11	que ha de salir	expanded
1corintios	15	37	08	γενησόμενον	-	-	shared
1corintios	15	37	09	σπείρεις	12,13,14	siembras el grano	expanded
1corintios	15	37	10	ἀλλὰ	15	desnudo	direct
1corintios	15	37	11	γυμνὸν	-	-	shared
1corintios	15	37	12	κόκκον	16,17,18	quizás de trigo	expanded
1corintios	15	37	13	εἰ	19	o	direct
1corintios	15	37	14	τύχοι	20	de	direct
1corintios	15	37	15	σίτου	21,22,23	alguna otra especie	expanded
1corintios	15	37	16	ἤ	-	-	shared
1corintios	15	37	17	τινος	-	-	shared
1corintios	15	37	18	τῶν	-	-	shared
1corintios	15	37	19	λοιπῶν	-	-	shared
