BOOK	CH	VS	G_IDX	GREEK	NBLA_IDX	NBLA_TEXT	ALIGNMENT
filemon	1	16	01	οὐκέτι	01	ya	direct
filemon	1	16	02	ὡς	03	como	direct
filemon	1	16	03	δοῦλον	04	esclavo,	direct
filemon	1	16	04	ἀλλὰ	05,06	sino como	expanded
filemon	1	16	05	ὑπὲρ	07	más	direct
filemon	1	16	06	δοῦλον,	08	que	direct
filemon	1	16	07	ἀδελφὸν	09	un	direct
filemon	1	16	08	ἀγαπητόν,	10	esclavo,	direct
filemon	1	16	09	μάλιστα	11	como	direct
filemon	1	16	10	ἐμοί,	12	un	direct
filemon	1	16	11	πόσῳ	13	hermano	direct
filemon	1	16	12	δὲ	14,15	amado, especialmente	expanded
filemon	1	16	13	μᾶλλον	16	para	direct
filemon	1	16	14	σοὶ	17	mí,	direct
filemon	1	16	15	καὶ	18,19	pero cuánto	expanded
filemon	1	16	16	ἐν	20,21,22	más para ti,	expanded
filemon	1	16	17	σαρκὶ	23	tanto	direct
filemon	1	16	18	καὶ	24,25	en la	expanded
filemon	1	16	19	ἐν	26,27,28	carne como en	expanded
filemon	1	16	20	κυρίῳ.	29	el	direct
