BOOK	CH	VS	G_IDX	GREEK	NBLA_IDX	NBLA_TEXT	ALIGNMENT
filemon	1	6	01	ὅπως	01,02	Ruego que	expanded
filemon	1	6	02	ἡ	03	la	direct
filemon	1	6	03	κοινωνία	04	comunión	direct
filemon	1	6	04	τῆς	05	de	direct
filemon	1	6	05	πίστεώς	07	fe	direct
filemon	1	6	06	σου	06	tu	direct
filemon	1	6	07	ἐνεργὴς	11	eficaz	direct
filemon	1	6	08	γένηται	08,09,10	llegue a ser	expanded
filemon	1	6	09	ἐν	12	por	expanded
filemon	1	6	10	ἐπιγνώσει	13,14	el conocimiento	expanded
filemon	1	6	11	παντὸς	15,16	de todo	expanded
filemon	1	6	12	ἀγαθοῦ	17,18	lo bueno	expanded
filemon	1	6	13	⸀τοῦ	19,20	que hay	expanded
filemon	1	6	14	ἐν	21	en	direct
filemon	1	6	15	ἡμῖν	22	ustedes	direct
filemon	1	6	16	εἰς	23	mediante	expanded
filemon	1	6	17	⸀Χριστόν·	24	Cristo.	direct
