BOOK	CH	VS	COL	NBLA_IDX	NBLA_TEXT	GREEK_IDX	GREEK_TEXT	LEMMA	RMAC	STRONGS	ALIGNMENT
filemon	1	1	1	01	Pablo	01	Παῦλος	παῦλος	N-NSM	G3972	direct
filemon	1	1	2	02	prisionero	02	δέσμιος	δέσμιος	A-NSM	G1198	direct
filemon	1	1	3	03-04	de Cristo	03	Χριστοῦ	χριστός	N-GSM	G5547	expanded
filemon	1	1	4	05	Jesús	04	Ἰησοῦ	ἰησοῦς	N-GSM	G2424	direct
filemon	1	1	5	06	y	05	καὶ	καί	CONJ	G2532	direct
filemon	1	1	6	07	Timoteo	06	Τιμόθεος	τιμόθεος	N-NSM	G5095	direct
filemon	1	1	7	08	el	07	ὁ	ὁ	T-NSM	G3588	direct
filemon	1	1	8	09	hermano	08	ἀδελφὸς	ἀδελφός	N-NSM	G80	direct
filemon	1	1	9	10-11	a Filemón	09	Φιλήμονι	φιλήμων	N-DSM	G5371	expanded
filemon	1	1	10	12	nuestro	-	-	-	-	-	implicit
filemon	1	1	11	13	amado	10	ἀγαπητῷ	ἀγαπητός	A-DSM	G27	expanded
filemon	1	1	12	14	hermano	-	-	-	-	-	implicit
filemon	1	1	13	15	y	11	καὶ	καί	CONJ	G2532	direct
filemon	1	1	14	16	colaborador,	12	συνεργῷ	συνεργός	N-DSM	G4904	expanded
