BOOK	CH	VS	G_IDX	GREEK	NBLA_IDX	NBLA_TEXT	ALIGNMENT
filemon	1	3	01	χάρις	01	Gracia	direct
filemon	1	3	02	ὑμῖν	03	ustedes	direct
filemon	1	3	03	καὶ	04,05	y paz	expanded
filemon	1	3	04	εἰρήνη	06	de	direct
filemon	1	3	05	ἀπὸ	07	parte	direct
filemon	1	3	06	θεοῦ	08,09	de Dios	expanded
filemon	1	3	07	πατρὸς	10	nuestro	direct
filemon	1	3	08	ἡμῶν	11	Padre	direct
filemon	1	3	09	καὶ	12,13	y del	expanded
filemon	1	3	10	κυρίου	14,15	Señor Jesucristo.	expanded
filemon	1	3	11	Ἰησοῦ	-	-	missing
filemon	1	3	12	Χριστοῦ.	-	-	missing
