BOOK	CH	VS	G_IDX	GREEK	NBLA_IDX	NBLA_TEXT	ALIGNMENT
filemon	1	3	01	χάρις	01	Gracia	direct
filemon	1	3	02	ὑμῖν	02,03	a ustedes	expanded
filemon	1	3	03	καὶ	04	y	direct
filemon	1	3	04	εἰρήνη	05	paz	direct
filemon	1	3	05	ἀπὸ	06,07,08	de parte de	expanded
filemon	1	3	06	θεοῦ	09	Dios	direct
filemon	1	3	07	πατρὸς	10,11	nuestro Padre	expanded
filemon	1	3	08	ἡμῶν	10	nuestro	shared
filemon	1	3	09	καὶ	12	y	direct
filemon	1	3	10	κυρίου	13,14	del Señor	expanded
filemon	1	3	11	Ἰησοῦ	15	Jesucristo.	expanded
filemon	1	3	12	Χριστοῦ.	15	Jesucristo.	shared
