BOOK	CH	VS	G_IDX	GREEK	NBLA_IDX	NBLA_TEXT	ALIGNMENT
romanos	15	9	01	τὰ	04	los	direct
romanos	15	9	02	δὲ	05,06	gentiles glorifiquen	expanded
romanos	15	9	03	ἔθνη	07	a	direct
romanos	15	9	04	ὑπὲρ	08	Dios	direct
romanos	15	9	05	ἐλέους	09	por	direct
romanos	15	9	06	δοξάσαι	10	Su	direct
romanos	15	9	07	τὸν	11	misericordia,	direct
romanos	15	9	08	θεόν·	12	como	direct
romanos	15	9	09	καθὼς	13	está	direct
romanos	15	9	10	γέγραπται·	14	escrito:	direct
romanos	15	9	11	Διὰ	15	«POR	direct
romanos	15	9	12	τοῦτο	16	TANTO,	direct
romanos	15	9	13	ἐξομολογήσομαί	17	TE	direct
romanos	15	9	14	σοι	18	CONFESARÉ	direct
romanos	15	9	15	ἐν	19,20,21	ENTRE LOS GENTILES,	expanded
romanos	15	9	16	ἔθνεσι,	22	Y	direct
romanos	15	9	17	καὶ	23,24	A TU	expanded
romanos	15	9	18	τῷ	25	NOMBRE	direct
romanos	15	9	19	ὀνόματί	26	CANTARÉ».	direct
romanos	15	9	20	σου	-	-	missing
romanos	15	9	21	ψαλῶ.	-	-	missing
