BOOK	CH	VS	G_IDX	GREEK	NBLA_IDX	NBLA_TEXT	ALIGNMENT
romanos	16	10	01	ἀσπάσασθε	01	Saluden	direct
romanos	16	10	02	Ἀπελλῆν	02	a	direct
romanos	16	10	03	τὸν	03	Apeles,	direct
romanos	16	10	04	δόκιμον	04	el	direct
romanos	16	10	05	ἐν	05,06,07	aprobado en Cristo.	expanded
romanos	16	10	06	Χριστῷ.	08	Saluden	direct
romanos	16	10	07	ἀσπάσασθε	09	a	direct
romanos	16	10	08	τοὺς	10	los	direct
romanos	16	10	09	ἐκ	11	de	direct
romanos	16	10	10	τῶν	12,13	la casa	expanded
romanos	16	10	11	Ἀριστοβούλου.	14	de	direct
