BOOK	CH	VS	G_IDX	GREEK	NBLA_IDX	NBLA_TEXT	ALIGNMENT
romanos	2	2	01	οἴδαμεν	01	Sabemos	direct
romanos	2	2	02	δὲ	02,03	que el	expanded
romanos	2	2	03	ὅτι	11	que	direct
romanos	2	2	04	τὸ	12	practican	direct
romanos	2	2	05	κρίμα	13	tales	direct
romanos	2	2	06	τοῦ	14	cosas.	direct
romanos	2	2	07	θεοῦ	-	-	missing
romanos	2	2	08	ἐστιν	-	-	missing
romanos	2	2	09	κατὰ	-	-	missing
romanos	2	2	10	ἀλήθειαν	-	-	missing
romanos	2	2	11	ἐπὶ	-	-	missing
romanos	2	2	12	τοὺς	-	-	missing
romanos	2	2	13	τὰ	-	-	missing
romanos	2	2	14	τοιαῦτα	-	-	missing
romanos	2	2	15	πράσσοντας.	-	-	missing
