BOOK	CH	VS	G_IDX	GREEK	NBLA_IDX	NBLA_TEXT	ALIGNMENT
romanos	3	7	01	εἰ	01	Pero	direct
romanos	3	7	02	⸀δὲ	02	si	direct
romanos	3	7	03	ἡ	06	la	direct
romanos	3	7	04	ἀλήθεια	07	verdad	direct
romanos	3	7	05	τοῦ	08	de	direct
romanos	3	7	06	θεοῦ	09,10	Dios abundó	expanded
romanos	3	7	07	ἐν	11,12,13	para Su gloria,	expanded
romanos	3	7	08	τῷ	14	¿por	direct
romanos	3	7	09	ἐμῷ	15	qué	direct
romanos	3	7	10	ψεύσματι	16	también	direct
romanos	3	7	11	ἐπερίσσευσεν	17	soy	direct
romanos	3	7	12	εἰς	18	yo	direct
romanos	3	7	13	τὴν	19	aún	direct
romanos	3	7	14	δόξαν	20	juzgado	direct
romanos	3	7	15	αὐτοῦ,	21	como	direct
romanos	3	7	16	τί	22	pecador?	direct
romanos	3	7	17	ἔτι	-	-	missing
romanos	3	7	18	κἀγὼ	-	-	missing
romanos	3	7	19	ὡς	-	-	missing
romanos	3	7	20	ἁμαρτωλὸς	-	-	missing
romanos	3	7	21	κρίνομαι,	-	-	missing
