summary_type	name	count
connector_surface	εαν	45
connector_surface	ει	57
connector_surface	εἰ	45
connector_surface	ινα	56
connector_surface	καθως	18
connector_surface	καθώς	4
connector_surface	οταν	12
connector_surface	οτι	55
connector_surface	ως	21
connector_surface	ωστε	12
connector_surface	ἐάν	1
connector_surface	ἵνα	56
connector_surface	ὅταν	12
connector_surface	ὅτι	55
connector_surface	ὡς	21
connector_surface	ὥστε	12
connector_class	comparative	64
connector_class	conditional	148
connector_class	explanatory	110
connector_class	inferential	24
connector_class	purpose	112
connector_class	temporal	24
dependency_type	result	24
dependency_type	subordination	458
direction	backward_local	24
direction	forward_or_embedded_local	458
