stream_index	reference	continuity_audit_source	recovery_profile	recovery_source	following_continuity_sequence
2	1:5	person_and_number_change	continued_instability	shift_majority	"[""shift"", ""same"", ""shift""]"
3	1:6	person_and_number_change	continued_instability	shift_majority	"[""same"", ""shift"", ""shift""]"
5	1:9	person_and_number_change	continued_instability	shift_majority	"[""shift"", ""shift"", ""shift""]"
6	1:10	person_and_number_change	continued_instability	shift_majority	"[""shift"", ""shift"", ""shift""]"
7	1:10	person_and_number_change	continued_instability	shift_majority	"[""shift"", ""shift"", ""shift""]"
8	1:10	person_and_number_change	continued_instability	shift_majority	"[""shift"", ""shift"", ""shift""]"
9	1:10	person_and_number_change	continued_instability	shift_majority	"[""shift"", ""shift"", ""shift""]"
10	1:11	person_and_number_change	continued_instability	shift_majority	"[""shift"", ""shift"", ""shift""]"
12	1:12	person_and_number_change	continued_instability	shift_majority	"[""shift"", ""shift"", ""shift""]"
13	1:12	person_change	continued_instability	shift_majority	"[""shift"", ""shift"", ""same""]"
14	1:12	person_change	continued_instability	shift_majority	"[""shift"", ""same"", ""shift""]"
15	1:13	person_change	continued_instability	shift_majority	"[""same"", ""shift"", ""shift""]"
17	1:13	person_and_number_change	continued_instability	shift_majority	"[""shift"", ""same"", ""shift""]"
18	1:14	person_and_number_change	continued_instability	shift_majority	"[""same"", ""shift"", ""shift""]"
20	1:15	person_change	continued_instability	shift_majority	"[""shift"", ""shift"", ""same""]"
21	1:15	person_and_number_change	stabilized	same_majority	"[""shift"", ""same"", ""same""]"
22	1:16	person_and_number_change	stabilized	same_majority	"[""same"", ""same"", ""shift""]"
25	1:17	person_change	stabilized	same_majority	"[""same"", ""same"", ""same""]"
30	1:19	person_change	stabilized	same_majority	"[""same"", ""shift"", ""same""]"
32	1:20	person_change	stabilized	same_majority	"[""same"", ""same"", ""shift""]"
37	1:23	person_change	continued_instability	shift_majority	"[""shift"", ""shift"", ""shift""]"
38	1:25	person_and_number_change	continued_instability	shift_majority	"[""shift"", ""shift"", ""same""]"
39	1:26	person_and_number_change	stabilized	same_majority	"[""shift"", ""same"", ""same""]"
40	1:27	person_and_number_change	stabilized	same_majority	"[""same"", ""same"", ""same""]"
47	1:30	person_and_number_change	stabilized	same_majority	"[""shift"", ""same"", ""same""]"
48	1:30	person_and_number_change	stabilized	same_majority	"[""same"", ""same"", ""shift""]"
51	2:1	person_change	stabilized	same_majority	"[""same"", ""same"", ""shift""]"
54	2:5	person_change	continued_instability	shift_majority	"[""shift"", ""same"", ""shift""]"
55	2:6	person_and_number_change	stabilized	same_majority	"[""same"", ""shift"", ""same""]"
57	2:7	person_and_number_change	stabilized	same_majority	"[""same"", ""shift"", ""same""]"
70	2:12	person_and_number_change	stabilized	same_majority	"[""same"", ""same"", ""shift""]"
73	2:14	person_and_number_change	stabilized	same_majority	"[""same"", ""same"", ""same""]"
81	2:16	person_and_number_change	continued_instability	shift_majority	"[""shift"", ""same"", ""shift""]"
84	3:2	person_and_number_change	stabilized	same_majority	"[""same"", ""same"", ""same""]"
89	3:4	person_and_number_change	continued_instability	shift_majority	"[""shift"", ""shift"", ""shift""]"
90	3:4	person_change	continued_instability	shift_majority	"[""shift"", ""shift"", ""same""]"
91	3:4	person_and_number_change	continued_instability	shift_majority	"[""shift"", ""same"", ""shift""]"
92	3:5	person_and_number_change	continued_instability	shift_majority	"[""same"", ""shift"", ""shift""]"
94	3:5	person_and_number_change	continued_instability	shift_majority	"[""shift"", ""shift"", ""shift""]"
95	3:5	person_and_number_change	continued_instability	shift_majority	"[""shift"", ""shift"", ""same""]"
