BOOK	CH	VS	G_IDX	GREEK	NBLA_IDX	NBLA_TEXT	ALIGNMENT
1corintios	11	15	01	γυνὴ	04,05	la mujer	expanded
1corintios	11	15	02	δὲ	06,07	tiene el	expanded
1corintios	11	15	03	ἐὰν	08	cabello	direct
1corintios	11	15	04	κομᾷ	09	largo	direct
1corintios	11	15	05	δόξα	10	le	direct
1corintios	11	15	06	αὐτῇ	11	es	direct
1corintios	11	15	07	ἐστιν	20	es	direct
1corintios	11	15	08	ὅτι	21	dado	direct
1corintios	11	15	09	ἡ	22	por	direct
1corintios	11	15	10	κόμη	23	velo	direct
1corintios	11	15	11	ἀντὶ	-	-	missing
1corintios	11	15	12	περιβολαίου	-	-	missing
1corintios	11	15	13	δέδοται	-	-	missing
