BOOK	CH	VS	G_IDX	GREEK	NBLA_IDX	NBLA_TEXT	ALIGNMENT
1cor	6	19	01	ἢ	01	o	direct
1cor	6	19	02	οὐκ	02	no	direct
1cor	6	19	03	οἴδατε	03	saben	direct
1cor	6	19	04	ὅτι	04	que	direct
1cor	6	19	05	τὸ	05	su	expanded
1cor	6	19	06	σῶμα	06	cuerpo	direct
1cor	6	19	07	ὑμῶν	05	su	shared
1cor	6	19	08	ναὸς	07-08	es templo	expanded
1cor	6	19	09	τοῦ	09	del	direct
1cor	6	19	10	ἐν	12-14	que está en	expanded
1cor	6	19	11	ὑμῖν	15	ustedes	direct
1cor	6	19	12	ἁγίου	11	santo	direct
1cor	6	19	13	πνεύματός	10	espíritu	direct
1cor	6	19	14	ἐστιν	07	es	shared
1cor	6	19	15	οὗ	16-17	el cual	expanded
1cor	6	19	16	ἔχετε	18	tienen	direct
1cor	6	19	17	ἀπὸ	19	de	direct
1cor	6	19	18	θεοῦ;	20	dios	direct
1cor	6	19	19	καὶ	21-22	y que	expanded
1cor	6	19	20	οὐκ	24	no	direct
1cor	6	19	21	ἐστὲ	25-26	se pertenecen	expanded
1cor	6	19	22	ἑαυτῶν	23,27-29	ustedes a sí mismos	expanded
