BOOK	CH	VS	G_IDX	GREEK	NBLA_IDX	NBLA_TEXT	ALIGNMENT
1corintios	12	21	01	οὐ	01	y	direct
1corintios	12	21	02	δύναται	02	el	direct
1corintios	12	21	03	δὲ	03,04	ojo no	expanded
1corintios	12	21	04	ὁ	05	puede	direct
1corintios	12	21	05	ὀφθαλμὸς	06	decirle	direct
1corintios	12	21	06	εἰπεῖν	07	a	direct
1corintios	12	21	07	τῇ	08,09	la mano	expanded
1corintios	12	21	08	χειρί	10	no	direct
1corintios	12	21	09	χρείαν	11	te	direct
1corintios	12	21	10	σου	12	necesito	direct
1corintios	12	21	11	οὐκ	20	no	direct
1corintios	12	21	12	ἔχω	21	los	direct
1corintios	12	21	13	ἢ	22	necesito	direct
1corintios	12	21	14	πάλιν	-	-	missing
1corintios	12	21	15	ἡ	-	-	missing
1corintios	12	21	16	κεφαλὴ	-	-	missing
1corintios	12	21	17	τοῖς	-	-	missing
1corintios	12	21	18	ποσίν	-	-	missing
1corintios	12	21	19	χρείαν	-	-	missing
1corintios	12	21	20	ὑμῶν	-	-	missing
1corintios	12	21	21	οὐκ	-	-	missing
1corintios	12	21	22	ἔχω	-	-	missing
