BOOK	CH	VS	G_IDX	GREEK	NBLA_IDX	NBLA_TEXT	ALIGNMENT
1cor	6	2	01	ἢ	01	o	direct
1cor	6	2	02	οὐκ	02	no	direct
1cor	6	2	03	οἴδατε	03	saben	direct
1cor	6	2	04	ὅτι	04	que	direct
1cor	6	2	05	οἱ	05	los	direct
1cor	6	2	06	ἅγιοι	06	santos	direct
1cor	6	2	07	τὸν	10	al	expanded
1cor	6	2	08	κόσμον	11	mundo	direct
1cor	6	2	09	κρινοῦσιν	07-09	han de juzgar	expanded
1cor	6	2	10	καὶ	12	y	direct
1cor	6	2	11	εἰ	13	si	direct
1cor	6	2	12	ἐν	18	por	expanded
1cor	6	2	13	ὑμῖν	19	ustedes	direct
1cor	6	2	14	κρίνεται	16-17	es juzgado	expanded
1cor	6	2	15	ὁ	14	el	direct
1cor	6	2	16	κόσμος	15	mundo	direct
1cor	6	2	17	ἀνάξιοί	20-22	no son competentes	expanded
1cor	6	2	18	ἐστε	21	son	shared
1cor	6	2	19	κριτηρίων	23-26	para juzgar los casos	expanded
1cor	6	2	20	ἐλαχίστων	27-28	más sencillos	expanded
