pattern_key	pattern_length	start_stream_index	end_stream_index	start_reference	end_reference	start_predication_id	end_predication_id	pattern_candidate_id	occurrence_index
L001 > L001	2	28	29	1:18	1:19	1corintios-1-18-P02	1corintios-1-19-P01	P001	1
L001 > L001	2	52	53	2:2	2:3	1corintios-2-2-P01	1corintios-2-3-P01	P001	2
L001 > L001	2	63	64	2:9	2:9	1corintios-2-9-P03	1corintios-2-9-P04	P001	3
L001 > L001	2	64	65	2:9	2:9	1corintios-2-9-P04	1corintios-2-9-P05	P001	4
L001 > L001	2	65	66	2:9	2:10	1corintios-2-9-P05	1corintios-2-10-P01	P001	5
L001 > L001	2	66	67	2:10	2:10	1corintios-2-10-P01	1corintios-2-10-P02	P001	6
L001 > L001	2	67	68	2:10	2:11	1corintios-2-10-P02	1corintios-2-11-P01	P001	7
L001 > L001	2	74	75	2:14	2:14	1corintios-2-14-P02	1corintios-2-14-P03	P001	8
L001 > L001	2	78	79	2:15	2:16	1corintios-2-15-P02	1corintios-2-16-P01	P001	9
L001 > L001	2	79	80	2:16	2:16	1corintios-2-16-P01	1corintios-2-16-P02	P001	10
L001 > L001	2	85	86	3:2	3:3	1corintios-3-2-P03	1corintios-3-3-P01	P001	11
L001 > L001	2	86	87	3:3	3:3	1corintios-3-3-P01	1corintios-3-3-P02	P001	12
L001 > L001	2	87	88	3:3	3:3	1corintios-3-3-P02	1corintios-3-3-P03	P001	13
L001 > L001	2	106	107	3:10	3:10	1corintios-3-10-P03	1corintios-3-10-P04	P001	14
L001 > L001	2	107	108	3:10	3:11	1corintios-3-10-P04	1corintios-3-11-P01	P001	15
L001 > L001	2	108	109	3:11	3:11	1corintios-3-11-P01	1corintios-3-11-P02	P001	16
L001 > L001	2	134	135	3:19	3:20	1corintios-3-19-P02	1corintios-3-20-P01	P001	17
L001 > L001	2	139	140	4:1	4:2	1corintios-4-1-P01	1corintios-4-2-P01	P001	18
L001 > L001	2	145	146	4:4	4:4	1corintios-4-4-P01	1corintios-4-4-P02	P001	19
L001 > L001	2	150	151	4:5	4:5	1corintios-4-5-P03	1corintios-4-5-P04	P001	20
L001 > L001	2	151	152	4:5	4:5	1corintios-4-5-P04	1corintios-4-5-P05	P001	21
L001 > L001	2	163	164	4:8	4:8	1corintios-4-8-P02	1corintios-4-8-P03	P001	22
L001 > L001	2	164	165	4:8	4:8	1corintios-4-8-P03	1corintios-4-8-P04	P001	23
L001 > L001	2	171	172	4:11	4:11	1corintios-4-11-P02	1corintios-4-11-P03	P001	24
L001 > L001	2	172	173	4:11	4:11	1corintios-4-11-P03	1corintios-4-11-P04	P001	25
L001 > L001	2	173	174	4:11	4:11	1corintios-4-11-P04	1corintios-4-11-P05	P001	26
L001 > L001	2	174	175	4:11	4:12	1corintios-4-11-P05	1corintios-4-12-P01	P001	27
L001 > L001	2	175	176	4:12	4:12	1corintios-4-12-P01	1corintios-4-12-P02	P001	28
L001 > L001	2	176	177	4:12	4:12	1corintios-4-12-P02	1corintios-4-12-P03	P001	29
L001 > L001	2	177	178	4:12	4:13	1corintios-4-12-P03	1corintios-4-13-P01	P001	30
L001 > L001	2	226	227	6:5	6:6	1corintios-6-5-P03	1corintios-6-6-P01	P001	31
L001 > L001	2	227	228	6:6	6:7	1corintios-6-6-P01	1corintios-6-7-P01	P001	32
L001 > L001	2	231	232	6:7	6:8	1corintios-6-7-P04	1corintios-6-8-P01	P001	33
L001 > L001	2	232	233	6:8	6:8	1corintios-6-8-P01	1corintios-6-8-P02	P001	34
L001 > L001	2	233	234	6:8	6:9	1corintios-6-8-P02	1corintios-6-9-P01	P001	35
L001 > L001	2	239	240	6:11	6:11	1corintios-6-11-P02	1corintios-6-11-P03	P001	36
L001 > L001	2	240	241	6:11	6:11	1corintios-6-11-P03	1corintios-6-11-P04	P001	37
L001 > L001	2	243	244	6:12	6:12	1corintios-6-12-P02	1corintios-6-12-P03	P001	38
L001 > L001	2	247	248	6:14	6:14	1corintios-6-14-P01	1corintios-6-14-P02	P001	39
L001 > L001	2	265	266	6:19	6:20	1corintios-6-19-P04	1corintios-6-20-P01	P001	40
L001 > L001	2	266	267	6:20	6:20	1corintios-6-20-P01	1corintios-6-20-P02	P001	41
L001 > L001	2	267	268	6:20	7:1	1corintios-6-20-P02	1corintios-7-1-P01	P001	42
L001 > L001	2	270	271	7:2	7:3	1corintios-7-2-P02	1corintios-7-3-P01	P001	43
L001 > L001	2	271	272	7:3	7:4	1corintios-7-3-P01	1corintios-7-4-P01	P001	44
L001 > L001	2	272	273	7:4	7:4	1corintios-7-4-P01	1corintios-7-4-P02	P001	45
L001 > L001	2	296	297	7:13	7:14	1corintios-7-13-P03	1corintios-7-14-P01	P001	46
L001 > L001	2	297	298	7:14	7:14	1corintios-7-14-P01	1corintios-7-14-P02	P001	47
L001 > L001	2	303	304	7:15	7:15	1corintios-7-15-P03	1corintios-7-15-P04	P001	48
L001 > L001	2	314	315	7:18	7:18	1corintios-7-18-P02	1corintios-7-18-P03	P001	49
L001 > L001	2	315	316	7:18	7:18	1corintios-7-18-P03	1corintios-7-18-P04	P001	50
L001 > L001	2	316	317	7:18	7:19	1corintios-7-18-P04	1corintios-7-19-P01	P001	51
L001 > L001	2	317	318	7:19	7:19	1corintios-7-19-P01	1corintios-7-19-P02	P001	52
L001 > L001	2	318	319	7:19	7:20	1corintios-7-19-P02	1corintios-7-20-P01	P001	53
L001 > L001	2	319	320	7:20	7:20	1corintios-7-20-P01	1corintios-7-20-P02	P001	54
L001 > L001	2	332	333	7:25	7:26	1corintios-7-25-P02	1corintios-7-26-P01	P001	55
L001 > L001	2	335	336	7:27	7:27	1corintios-7-27-P02	1corintios-7-27-P03	P001	56
L001 > L001	2	336	337	7:27	7:27	1corintios-7-27-P03	1corintios-7-27-P04	P001	57
