movement_group_id	group_index	book	start_stream_index	end_stream_index	start_reference	end_reference	start_predication_id	end_predication_id	record_count	dominant_movement_status	movement_status_counts	movement_reason_counts	group_signature	first_finite_verb	last_finite_verb
MG0001	1	1corintios	1	1	1:4	1:4	1corintios-1-4-P01	1corintios-1-4-P01	1	strong	"{""strong"": 1}"	"{""stream_start"": 1}"	stream_start	εὐχαριστῶ	εὐχαριστῶ
MG0002	2	1corintios	2	2	1:5	1:5	1corintios-1-5-P01	1corintios-1-5-P01	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""number_change"": 1, ""person_change"": 1, ""subordination_transition"": 1}"	independence_transition+number_change+person_change+subordination_transition	ἐπλουτίσθητε	ἐπλουτίσθητε
MG0003	3	1corintios	3	3	1:6	1:6	1corintios-1-6-P01	1corintios-1-6-P01	1	none	"{""none"": 1}"	{}	none	ἐβεβαιώθη	ἐβεβαιώθη
MG0004	4	1corintios	4	4	1:8	1:8	1corintios-1-8-P01	1corintios-1-8-P01	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""number_change"": 1, ""person_change"": 1, ""subordination_transition"": 1}"	independence_transition+number_change+person_change+subordination_transition	βεβαιώσει	βεβαιώσει
MG0005	5	1corintios	5	6	1:9	1:10	1corintios-1-9-P01	1corintios-1-10-P01	2	candidate	"{""candidate"": 2}"	"{""number_change"": 2, ""person_change"": 2}"	number_change+person_change	ἐκλήθητε	παρακαλῶ
MG0006	6	1corintios	7	7	1:10	1:10	1corintios-1-10-P02	1corintios-1-10-P02	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""number_change"": 1, ""person_change"": 1, ""subordination_transition"": 1}"	independence_transition+number_change+person_change+subordination_transition	λέγητε	λέγητε
MG0007	7	1corintios	8	8	1:10	1:10	1corintios-1-10-P03	1corintios-1-10-P03	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""number_change"": 1, ""person_change"": 1, ""subordination_transition"": 1}"	independence_transition+number_change+person_change+subordination_transition	ᾖ	ᾖ
MG0008	8	1corintios	9	10	1:10	1:11	1corintios-1-10-P04	1corintios-1-11-P01	2	candidate	"{""candidate"": 2}"	"{""number_change"": 2, ""person_change"": 2}"	number_change+person_change	ἦτε	ἐδηλώθη
MG0009	9	1corintios	11	14	1:11	1:12	1corintios-1-11-P02	1corintios-1-12-P03	4	candidate	"{""candidate"": 4}"	"{""independence_transition"": 4, ""subordination_transition"": 4}"	independence_transition+subordination_transition	εἰσιν	εἰμι
MG0010	10	1corintios	15	15	1:13	1:13	1corintios-1-13-P01	1corintios-1-13-P01	1	candidate	"{""candidate"": 1}"	"{""person_change"": 1}"	person_change	μεμέρισται	μεμέρισται
MG0011	11	1corintios	16	16	1:13	1:13	1corintios-1-13-P02	1corintios-1-13-P02	1	none	"{""none"": 1}"	{}	none	ἐσταυρώθη	ἐσταυρώθη
MG0012	12	1corintios	17	18	1:13	1:14	1corintios-1-13-P03	1corintios-1-14-P01	2	candidate	"{""candidate"": 2}"	"{""number_change"": 2, ""person_change"": 2}"	number_change+person_change	ἐβαπτίσθητε	εὐχαριστῶ
MG0013	13	1corintios	19	19	1:14	1:14	1corintios-1-14-P02	1corintios-1-14-P02	1	candidate	"{""candidate"": 1}"	"{""independence_transition"": 1, ""subordination_transition"": 1}"	independence_transition+subordination_transition	ἐβάπτισα	ἐβάπτισα
MG0014	14	1corintios	20	20	1:15	1:15	1corintios-1-15-P01	1corintios-1-15-P01	1	none	"{""none"": 1}"	{}	none	εἴπῃ	εἴπῃ
MG0015	15	1corintios	21	21	1:15	1:15	1corintios-1-15-P02	1corintios-1-15-P02	1	candidate	"{""candidate"": 1}"	"{""number_change"": 1, ""person_change"": 1}"	number_change+person_change	ἐβαπτίσθητε	ἐβαπτίσθητε
MG0016	16	1corintios	22	22	1:16	1:16	1corintios-1-16-P01	1corintios-1-16-P01	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""number_change"": 1, ""person_change"": 1, ""subordination_transition"": 1}"	independence_transition+number_change+person_change+subordination_transition	ἐβάπτισα	ἐβάπτισα
MG0017	17	1corintios	23	23	1:16	1:16	1corintios-1-16-P02	1corintios-1-16-P02	1	none	"{""none"": 1}"	{}	none	οἶδα	οἶδα
MG0018	18	1corintios	24	24	1:16	1:16	1corintios-1-16-P03	1corintios-1-16-P03	1	candidate	"{""candidate"": 1}"	"{""independence_transition"": 1, ""subordination_transition"": 1}"	independence_transition+subordination_transition	ἐβάπτισα	ἐβάπτισα
MG0019	19	1corintios	25	25	1:17	1:17	1corintios-1-17-P01	1corintios-1-17-P01	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""person_change"": 1, ""subordination_transition"": 1}"	independence_transition+person_change+subordination_transition	ἀπέστειλέν	ἀπέστειλέν
MG0020	20	1corintios	26	27	1:17	1:18	1corintios-1-17-P02	1corintios-1-18-P01	2	candidate	"{""candidate"": 2}"	"{""independence_transition"": 2, ""subordination_transition"": 2}"	independence_transition+subordination_transition	κενωθῇ	ἐστίν
MG0021	21	1corintios	28	29	1:18	1:19	1corintios-1-18-P02	1corintios-1-19-P01	2	none	"{""none"": 2}"	{}	none	ἐστιν	γέγραπται
MG0022	22	1corintios	30	30	1:19	1:19	1corintios-1-19-P02	1corintios-1-19-P02	1	candidate	"{""candidate"": 1}"	"{""person_change"": 1}"	person_change	ἀπολῶ	ἀπολῶ
MG0023	23	1corintios	31	32	1:19	1:20	1corintios-1-19-P03	1corintios-1-20-P01	2	none	"{""none"": 2}"	{}	none	ἀθετήσω	ἐμώρανεν
MG0024	24	1corintios	33	33	1:21	1:21	1corintios-1-21-P01	1corintios-1-21-P01	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""person_change"": 1, ""subordination_transition"": 1}"	independence_transition+person_change+subordination_transition	ἔγνω	ἔγνω
MG0025	25	1corintios	34	34	1:21	1:21	1corintios-1-21-P02	1corintios-1-21-P02	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""person_change"": 1, ""subordination_transition"": 1}"	independence_transition+person_change+subordination_transition	εὐδόκησεν	εὐδόκησεν
MG0026	26	1corintios	35	35	1:22	1:22	1corintios-1-22-P01	1corintios-1-22-P01	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""person_change"": 1, ""subordination_transition"": 1}"	independence_transition+person_change+subordination_transition	αἰτοῦσιν	αἰτοῦσιν
MG0027	27	1corintios	36	36	1:22	1:22	1corintios-1-22-P02	1corintios-1-22-P02	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""person_change"": 1, ""subordination_transition"": 1}"	independence_transition+person_change+subordination_transition	ζητοῦσιν	ζητοῦσιν
MG0028	28	1corintios	37	37	1:23	1:23	1corintios-1-23-P01	1corintios-1-23-P01	1	candidate	"{""candidate"": 1}"	"{""number_change"": 1}"	number_change	κηρύσσομεν	κηρύσσομεν
MG0029	29	1corintios	38	38	1:25	1:25	1corintios-1-25-P01	1corintios-1-25-P01	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""number_change"": 1, ""person_change"": 1, ""subordination_transition"": 1}"	independence_transition+number_change+person_change+subordination_transition	ἐστίν	ἐστίν
