from_chapter	to_chapter	field	from_value	to_value	delta
1	2	total_predications	50	31	-19.0
1	2	predications_per_verse	1.92	2.07	0.15
1	2	max_predications_single_verse	4	5	1.0
1	2	finite_1S	11	3	-8.0
1	2	finite_1P	1	6	5.0
1	2	finite_2S	0	0	0.0
1	2	finite_2P	8	0	-8.0
1	2	finite_3S	27	20	-7.0
1	2	finite_3P	3	2	-1.0
1	2	subject_candidate	16	9	-7.0
1	2	independence_unresolved	18	6	-12.0
1	2	subordination_candidate	18	6	-12.0
2	3	total_predications	31	57	26.0
2	3	predications_per_verse	2.07	2.71	0.64
2	3	max_predications_single_verse	5	5	0.0
2	3	finite_1S	3	5	2.0
2	3	finite_1P	6	1	-5.0
2	3	finite_2S	0	0	0.0
2	3	finite_2P	0	11	11.0
2	3	finite_3S	20	38	18.0
2	3	finite_3P	2	2	0.0
2	3	subject_candidate	9	22	13.0
2	3	independence_unresolved	6	14	8.0
2	3	subordination_candidate	6	14	8.0
3	4	total_predications	57	56	-1.0
3	4	predications_per_verse	2.71	2.95	0.24
3	4	max_predications_single_verse	5	5	0.0
3	4	finite_1S	5	14	9.0
3	4	finite_1P	1	12	11.0
3	4	finite_2S	0	4	4.0
3	4	finite_2P	11	10	-1.0
3	4	finite_3S	38	15	-23.0
3	4	finite_3P	2	1	-1.0
3	4	subject_candidate	22	7	-15.0
3	4	independence_unresolved	14	13	-1.0
3	4	subordination_candidate	14	13	-1.0
4	5	total_predications	56	20	-36.0
4	5	predications_per_verse	2.95	1.67	-1.28
4	5	max_predications_single_verse	5	4	-1.0
4	5	finite_1S	14	3	-11.0
4	5	finite_1P	12	1	-11.0
4	5	finite_2S	4	0	-4.0
4	5	finite_2P	10	9	-1.0
4	5	finite_3S	15	7	-8.0
4	5	finite_3P	1	0	-1.0
4	5	subject_candidate	7	5	-2.0
4	5	independence_unresolved	13	8	-5.0
4	5	subordination_candidate	13	8	-5.0
5	6	total_predications	20	53	33.0
5	6	predications_per_verse	1.67	2.65	0.98
5	6	max_predications_single_verse	4	4	0.0
5	6	finite_1S	3	3	0.0
5	6	finite_1P	1	1	0.0
5	6	finite_2S	0	0	0.0
5	6	finite_2P	9	24	15.0
5	6	finite_3S	7	21	14.0
5	6	finite_3P	0	4	4.0
5	6	subject_candidate	5	15	10.0
5	6	independence_unresolved	8	10	2.0
5	6	subordination_candidate	8	10	2.0
6	7	total_predications	53	113	60.0
6	7	predications_per_verse	2.65	2.9	0.25
6	7	max_predications_single_verse	4	7	3.0
6	7	finite_1S	3	15	12.0
6	7	finite_1P	1	0	-1.0
6	7	finite_2S	0	13	13.0
6	7	finite_2P	24	6	-18.0
6	7	finite_3S	21	73	52.0
6	7	finite_3P	4	6	2.0
6	7	subject_candidate	15	32	17.0
6	7	independence_unresolved	10	26	16.0
6	7	subordination_candidate	10	26	16.0
7	8	total_predications	113	29	-84.0
7	8	predications_per_verse	2.9	2.42	-0.48
7	8	max_predications_single_verse	7	5	-2.0
7	8	finite_1S	15	2	-13.0
7	8	finite_1P	0	7	7.0
7	8	finite_2S	13	0	-13.0
7	8	finite_2P	6	2	-4.0
7	8	finite_3S	73	15	-58.0
7	8	finite_3P	6	3	-3.0
7	8	subject_candidate	32	11	-21.0
7	8	independence_unresolved	26	10	-16.0
7	8	subordination_candidate	26	10	-16.0
8	9	total_predications	29	72	43.0
8	9	predications_per_verse	2.42	2.67	0.25
8	9	max_predications_single_verse	5	5	0.0
8	9	finite_1S	2	31	29.0
8	9	finite_1P	7	8	1.0
8	9	finite_2S	0	1	1.0
8	9	finite_2P	2	6	4.0
8	9	finite_3S	15	21	6.0
8	9	finite_3P	3	5	2.0
8	9	subject_candidate	11	10	-1.0
8	9	independence_unresolved	10	24	14.0
8	9	subordination_candidate	10	24	14.0
9	10	total_predications	72	80	8.0
9	10	predications_per_verse	2.67	2.5	-0.17
9	10	max_predications_single_verse	5	4	-1.0
9	10	finite_1S	31	10	-21.0
9	10	finite_1P	8	8	0.0
9	10	finite_2S	1	0	-1.0
9	10	finite_2P	6	17	11.0
9	10	finite_3S	21	25	4.0
9	10	finite_3P	5	20	15.0
9	10	subject_candidate	10	28	18.0
9	10	independence_unresolved	24	17	-7.0
9	10	subordination_candidate	24	17	-7.0
10	11	total_predications	80	78	-2.0
10	11	predications_per_verse	2.5	2.44	-0.06
10	11	max_predications_single_verse	4	6	2.0
10	11	finite_1S	10	13	3.0
10	11	finite_1P	8	5	-3.0
10	11	finite_2S	0	0	0.0
10	11	finite_2P	17	16	-1.0
10	11	finite_3S	25	42	17.0
10	11	finite_3P	20	2	-18.0
10	11	subject_candidate	28	13	-15.0
10	11	independence_unresolved	17	21	4.0
10	11	subordination_candidate	17	21	4.0
11	12	total_predications	78	53	-25.0
11	12	predications_per_verse	2.44	2.04	-0.4
11	12	max_predications_single_verse	6	4	-2.0
11	12	finite_1S	13	9	-4.0
11	12	finite_1P	5	4	-1.0
11	12	finite_2S	0	0	0.0
11	12	finite_2P	16	5	-11.0
11	12	finite_3S	42	28	-14.0
11	12	finite_3P	2	7	5.0
11	12	subject_candidate	13	18	5.0
11	12	independence_unresolved	21	11	-10.0
11	12	subordination_candidate	21	11	-10.0
12	13	total_predications	53	42	-11.0
12	13	predications_per_verse	2.04	3.5	1.46
12	13	max_predications_single_verse	4	6	2.0
12	13	finite_1S	9	17	8.0
12	13	finite_1P	4	3	-1.0
12	13	finite_2S	0	0	0.0
12	13	finite_2P	5	0	-5.0
12	13	finite_3S	28	20	-8.0
12	13	finite_3P	7	2	-5.0
12	13	subject_candidate	18	8	-10.0
12	13	independence_unresolved	11	9	-2.0
12	13	subordination_candidate	11	9	-2.0
13	14	total_predications	42	110	68.0
13	14	predications_per_verse	3.5	2.75	-0.75
13	14	max_predications_single_verse	6	8	2.0
13	14	finite_1S	17	17	0.0
13	14	finite_1P	3	0	-3.0
13	14	finite_2S	0	3	3.0
13	14	finite_2P	0	17	17.0
13	14	finite_3S	20	58	38.0
13	14	finite_3P	2	15	13.0
13	14	subject_candidate	8	36	28.0
13	14	independence_unresolved	9	34	25.0
13	14	subordination_candidate	9	34	25.0
14	15	total_predications	110	120	10.0
14	15	predications_per_verse	2.75	2.5	-0.25
14	15	max_predications_single_verse	8	5	-3.0
14	15	finite_1S	17	17	0.0
14	15	finite_1P	0	14	14.0
14	15	finite_2S	3	3	0.0
14	15	finite_2P	17	11	-6.0
14	15	finite_3S	58	58	0.0
14	15	finite_3P	15	17	2.0
14	15	subject_candidate	36	35	-1.0
14	15	independence_unresolved	34	35	1.0
14	15	subordination_candidate	34	35	1.0
15	16	total_predications	120	54	-66.0
15	16	predications_per_verse	2.5	2.7	0.2
15	16	max_predications_single_verse	5	6	1.0
15	16	finite_1S	17	17	0.0
15	16	finite_1P	14	0	-14.0
15	16	finite_2S	3	1	-2.0
15	16	finite_2P	11	9	-2.0
15	16	finite_3S	58	20	-38.0
15	16	finite_3P	17	7	-10.0
15	16	subject_candidate	35	8	-27.0
15	16	independence_unresolved	35	19	-16.0
15	16	subordination_candidate	35	19	-16.0
