chapter_a	chapter_b	distance	similarity
1	2	3.0894	0.2445
1	3	2.4896	0.2866
1	4	4.1164	0.1954
1	5	2.6306	0.2754
1	6	3.4874	0.2228
1	7	6.33	0.1364
1	8	2.9785	0.2514
1	9	3.9382	0.2025
1	10	4.047	0.1981
1	11	2.8571	0.2593
1	12	1.6408	0.3787
1	13	4.6855	0.1759
1	14	6.1492	0.1399
1	15	5.8008	0.147
1	16	2.9156	0.2554
2	3	3.3161	0.2317
2	4	3.7127	0.2122
2	5	2.4299	0.2916
2	6	4.3536	0.1868
2	7	7.3368	0.1199
2	8	1.1856	0.4575
2	9	5.1372	0.1629
2	10	5.1274	0.1632
2	11	4.17	0.1934
2	12	2.1613	0.3163
2	13	4.0079	0.1997
2	14	7.7924	0.1137
2	15	7.2292	0.1215
2	16	3.9774	0.2009
3	4	3.7285	0.2115
3	5	3.6997	0.2128
3	6	2.6352	0.2751
3	7	5.5923	0.1517
3	8	2.8062	0.2627
3	9	4.5797	0.1792
3	10	3.9529	0.2019
3	11	2.4475	0.2901
3	12	2.5097	0.2849
3	13	3.6797	0.2137
3	14	5.5098	0.1536
3	15	5.8601	0.1458
3	16	2.8271	0.2613
4	5	4.5732	0.1794
4	6	4.205	0.1921
4	7	6.4199	0.1348
4	8	3.0202	0.2487
4	9	3.4265	0.2259
4	10	4.6243	0.1778
4	11	3.4202	0.2262
4	12	3.7705	0.2096
4	13	3.398	0.2274
4	14	6.9462	0.1258
4	15	5.9648	0.1436
4	16	3.4893	0.2228
5	6	3.5814	0.2183
5	7	8.0582	0.1104
5	8	2.8132	0.2622
5	9	5.6476	0.1504
5	10	5.3757	0.1568
5	11	4.3982	0.1852
5	12	2.6432	0.2745
5	13	5.2559	0.1598
5	14	8.1966	0.1087
5	15	7.9572	0.1116
5	16	4.2245	0.1914
6	7	7.2528	0.1212
6	8	3.8986	0.2041
6	9	5.5955	0.1516
6	10	3.9238	0.2031
6	11	3.5253	0.221
6	12	3.5367	0.2204
6	13	5.051	0.1653
6	14	6.7768	0.1286
6	15	6.9794	0.1253
6	16	3.9108	0.2036
7	8	6.9889	0.1252
7	9	6.2312	0.1383
7	10	6.8126	0.128
7	11	5.4585	0.1548
7	12	6.5746	0.132
7	13	6.5697	0.1321
7	14	4.3046	0.1885
7	15	5.6184	0.1511
7	16	5.566	0.1523
8	9	4.6579	0.1767
8	10	4.5215	0.1811
8	11	3.6898	0.2132
8	12	2.1603	0.3164
8	13	3.5115	0.2217
8	14	7.2402	0.1214
8	15	6.6075	0.1314
8	16	3.4774	0.2233
9	10	4.8095	0.1721
9	11	3.4604	0.2242
9	12	4.2619	0.19
9	13	4.0933	0.1963
9	14	5.8336	0.1463
9	15	4.9571	0.1679
9	16	2.9856	0.2509
10	11	4.103	0.196
10	12	3.5306	0.2207
10	13	5.7454	0.1483
10	14	5.5392	0.1529
10	15	4.2754	0.1896
10	16	4.295	0.1889
11	12	3.4027	0.2271
11	13	4.2944	0.1889
11	14	4.6553	0.1768
11	15	4.9401	0.1683
11	16	2.4331	0.2913
12	13	4.2912	0.189
12	14	6.6161	0.1313
12	15	5.8648	0.1457
12	16	3.3017	0.2325
13	14	6.9682	0.1255
13	15	7.2836	0.1207
13	16	3.0704	0.2457
14	15	4.3769	0.186
14	16	5.0235	0.166
15	16	5.8059	0.1469
