threshold	cluster_id	cluster_size	chapters	edge_count	avg_similarity	max_similarity	min_similarity
0.2	1	13	1,2,3,4,5,6,8,9,10,11,12,13,16	49	0.2477	0.4575	0.2009
0.2	2	1	15	0	0	0	0
0.2	3	1	14	0	0	0	0
0.2	4	1	7	0	0	0	0
0.25	1	10	1,2,3,5,6,8,9,11,12,16	19	0.2917	0.4575	0.2509
0.25	2	1	15	0	0	0	0
0.25	3	1	14	0	0	0	0
0.25	4	1	13	0	0	0	0
0.25	5	1	10	0	0	0	0
0.25	6	1	7	0	0	0	0
0.25	7	1	4	0	0	0	0
0.3	1	4	1,2,8,12	4	0.3672	0.4575	0.3163
0.3	2	1	16	0	0	0	0
0.3	3	1	15	0	0	0	0
0.3	4	1	14	0	0	0	0
0.3	5	1	13	0	0	0	0
0.3	6	1	11	0	0	0	0
0.3	7	1	10	0	0	0	0
0.3	8	1	9	0	0	0	0
0.3	9	1	7	0	0	0	0
0.3	10	1	6	0	0	0	0
0.3	11	1	5	0	0	0	0
0.3	12	1	4	0	0	0	0
0.3	13	1	3	0	0	0	0
0.35	1	2	2,8	1	0.4575	0.4575	0.4575
0.35	2	2	1,12	1	0.3787	0.3787	0.3787
0.35	3	1	16	0	0	0	0
0.35	4	1	15	0	0	0	0
0.35	5	1	14	0	0	0	0
0.35	6	1	13	0	0	0	0
0.35	7	1	11	0	0	0	0
0.35	8	1	10	0	0	0	0
0.35	9	1	9	0	0	0	0
0.35	10	1	7	0	0	0	0
0.35	11	1	6	0	0	0	0
0.35	12	1	5	0	0	0	0
0.35	13	1	4	0	0	0	0
0.35	14	1	3	0	0	0	0
0.4	1	2	2,8	1	0.4575	0.4575	0.4575
0.4	2	1	16	0	0	0	0
0.4	3	1	15	0	0	0	0
0.4	4	1	14	0	0	0	0
0.4	5	1	13	0	0	0	0
0.4	6	1	12	0	0	0	0
0.4	7	1	11	0	0	0	0
0.4	8	1	10	0	0	0	0
0.4	9	1	9	0	0	0	0
0.4	10	1	7	0	0	0	0
0.4	11	1	6	0	0	0	0
0.4	12	1	5	0	0	0	0
0.4	13	1	4	0	0	0	0
0.4	14	1	3	0	0	0	0
0.4	15	1	1	0	0	0	0
