stream_index	book	chapter	verse	predication_id	finite_verb	finite_compact	subject_person	subject_number	subject_status	subject_source	subject_refinement_status	subject_refinement_source	subject_inherited_from	independence_status	subordination_status
1	1corintios	1	4	1corintios-1-4-P01	εὐχαριστῶ	V-PAI-1S	1	S	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		candidate	not_detected
2	1corintios	1	5	1corintios-1-5-P01	ἐπλουτίσθητε	V-API-2P	2	P	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		unresolved	candidate
3	1corintios	1	6	1corintios-1-6-P01	ἐβεβαιώθη	V-API-3S	2	P	candidate	nearest_agreeing_nominative_no_visible_boundary	inherited	inheritance_allowed	1corintios-1-5-P01	unresolved	candidate
4	1corintios	1	8	1corintios-1-8-P01	βεβαιώσει	V-FAI-3S	3	S	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		candidate	not_detected
5	1corintios	1	9	1corintios-1-9-P01	ἐκλήθητε	V-API-2P	2	P	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		candidate	not_detected
6	1corintios	1	10	1corintios-1-10-P01	παρακαλῶ	V-PAI-1S	1	S	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		candidate	not_detected
7	1corintios	1	10	1corintios-1-10-P02	λέγητε	V-PAS-2P	2	P	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		unresolved	candidate
8	1corintios	1	10	1corintios-1-10-P03	ᾖ	V-PAS-3S	3	S	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		candidate	not_detected
9	1corintios	1	10	1corintios-1-10-P04	ἦτε	V-PAS-2P	2	P	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		candidate	not_detected
10	1corintios	1	11	1corintios-1-11-P01	ἐδηλώθη	V-API-3S	3	S	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		candidate	not_detected
11	1corintios	1	11	1corintios-1-11-P02	εἰσιν	V-PAI-3P			candidate	nearest_agreeing_nominative_no_visible_boundary	unresolved	no_valid_inheritance		unresolved	candidate
12	1corintios	1	12	1corintios-1-12-P01	λέγω	V-PAI-1S	1	S	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		candidate	not_detected
13	1corintios	1	12	1corintios-1-12-P02	λέγει	V-PAI-3S			candidate	nearest_agreeing_nominative_no_visible_boundary	unresolved	no_valid_inheritance		unresolved	candidate
