greek_span	nbla_span	count	first_seen	last_seen	alignment_types
καὶ	y	64	1cor 1:1	1corintios 9:4	direct
οὐκ	no	44	1cor 1:16	1corintios 9:24	direct
ἐν	en	42	1cor 1:10	1corintios 11:25	direct
τοῦ	de	36	1cor 1:10	1corintios 7:31	direct
δὲ	pero	29	1cor 1:18	1corintios 7:39	direct
ἢ	o	29	1cor 1:13	1corintios 14:7	direct
μὴ	no	28	1cor 1:10	1corintios 9:5	direct
ὁ	el	28	1cor 1:21	1corintios 9:14	direct
τοῦ	del	27	1cor 1:27	1corintios 9:14	direct
γὰρ	porque	25	1cor 1:18	1corintios 7:31	direct
θεοῦ	dios	24	1cor 1:2	1corintios 11:16	direct,expanded
οὐ	no	21	1cor 1:17	1corintios 14:34	direct
ἐστιν	es	19	1cor 1:18	1corintios 9:3	direct
ὅτι	que	19	1cor 1:11	1corintios 9:24	direct
θεοῦ	de dios	18	1cor 1:1	1corintios 7:40	expanded
τὸ	el	18	1cor 1:13	1corintios 15:1	direct
ἡ	la	14	1cor 2:5	1corintios 7:34	direct
εἰ	si	13	1cor 2:8	1corintios 9:12	direct
ἐν	con	13	1cor 1:17	1cor 5:8	direct,expanded
ἀλλὰ	sino	12	1cor 1:17	1corintios 7:19	direct
ἐὰν	si	12	1cor 4:19	1corintios 7:40	direct
θεὸς	dios	11	1cor 1:20	1cor 6:14	direct
κυρίου	señor	11	1cor 1:10	1corintios 7:32	direct
τὸ	la	11	1cor 1:25	1corintios 7:31	direct
ἀδελφοί	hermanos	11	1cor 1:10	1corintios 7:29	direct
ἐγὼ	yo	11	1cor 1:12	1corintios 11:23	direct
ἵνα	para que	11	1cor 1:15	1corintios 14:13	expanded
ὑμῖν	ustedes	11	1cor 1:10	1cor 6:5	direct
δὲ	y	10	1cor 1:23	1corintios 7:40	direct,expanded
εἴτε	o	10	1cor 3:22	1corintios 14:7	direct
κόσμου	mundo	10	1cor 1:20	1corintios 7:33	direct
οἴδατε	saben	10	1cor 3:16	1corintios 9:24	direct
ἡμῶν	nuestro	10	1cor 1:10	1cor 6:11	direct
ὁ	el que	10	1cor 1:31	1corintios 7:38	expanded
γὰρ	pues	9	1cor 1:17	1corintios 14:9	direct
οὔτε	ni	9	1cor 3:7	1cor 6:9	direct
σῶμα	cuerpo	9	1cor 6:13	1corintios 12:24	direct
τῶν	de los	9	1cor 1:19	1corintios 14:33	expanded
εἴ	si	8	1cor 1:16	1corintios 14:37	direct
καὶ	también	8	1cor 1:16	1corintios 12:12	direct,expanded
μὴ	acaso	8	1cor 1:13	1corintios 12:30	direct
τις	alguien	8	1cor 3:12	1corintios 8:3	direct
χριστῷ	cristo	8	1cor 1:2	1cor 4:17	direct
ἀλλʼ	sino	8	1cor 2:13	1cor 5:8	direct
ἐν	entre	8	1cor 1:10	1cor 6:5	direct,expanded
γάρ	porque	7	1cor 1:11	1corintios 14:33	direct
δὲ	sin embargo	7	1cor 1:24	1corintios 7:28	expanded
μέλη	miembros	7	1cor 6:15	1corintios 12:25	direct
οὐχὶ	no	7	1cor 1:20	1corintios 9:1	direct
οὕτως	así	7	1cor 3:15	1corintios 9:14	direct
πνεῦμα	espíritu	7	1cor 2:10	1cor 5:5	direct
σώματος	cuerpo	7	1cor 7:4	1corintios 12:23	direct
τοῖς	los	7	1cor 1:2	1corintios 9:3	direct
τὰ	los	7	1cor 6:13	1corintios 14:25	direct
χριστοῦ	de cristo	7	1cor 1:12	1corintios 12:27	expanded
ἰησοῦ	jesucristo	7	1cor 1:10	1cor 6:11	expanded,merged-forward
ὑμεῖς	ustedes	7	1cor 1:30	1cor 5:2	direct
ὑμῖν	les	7	1cor 1:4	1corintios 14:6	direct
ὡς	como	7	1cor 3:15	1corintios 7:30	direct
θεός	dios	6	1cor 1:27	1corintios 12:6	direct
καὶ	y que	6	1cor 1:10	1corintios 8:4	expanded
κύριος	señor	6	1cor 3:5	1corintios 11:23	direct
οἱ	los	6	1cor 6:16	1corintios 9:5	direct
σοφίαν	sabiduría	6	1cor 1:19	1cor 2:7	direct
τί	qué	6	1cor 3:5	1corintios 14:6	direct
τούτου	este	6	1cor 1:20	1cor 5:10	direct
τὴν	la	6	1cor 1:19	1corintios 11:7	direct
τὸν	al	6	1cor 2:8	1corintios 10:9	direct,expanded
ἡ	el	6	1cor 3:13	1corintios 13:8	direct
ὅτι	porque	6	1cor 1:25	1corintios 12:15	direct
ὑμᾶς	les	6	1cor 1:7	1corintios 14:6	direct
ὑμῶν	ustedes	6	1cor 1:11	1cor 5:2	direct
ὑμῶν	de ustedes	6	1cor 1:12	1cor 6:1	expanded
γυνὴ	la mujer	5	1cor 7:13	1corintios 7:39	expanded
εἰμὶ	soy	5	1corintios 12:15	1corintios 9:1	direct
καὶ	y si	5	1corintios 12:16	1corintios 7:36	expanded
πρὸς	a	5	1cor 2:1	1corintios 14:6	direct
τὴν	su	5	1cor 7:2	1corintios 7:36	direct
τῷ	el	5	1cor 5:4	1corintios 14:15	direct
ἐν	de	5	1cor 3:18	1corintios 14:6	direct,expanded
ἐστίν	es	5	1cor 1:18	1corintios 7:22	direct
ἕκαστος	cada uno	5	1cor 1:12	1corintios 7:20	expanded
ἡμεῖς	nosotros	5	1cor 1:23	1cor 4:8	direct
ἰησοῦ	jesús	5	1cor 1:2	1cor 5:4	direct
ὃ	que	5	1cor 3:14	1corintios 15:1	direct
ὑμᾶς	ustedes	5	1cor 2:1	1corintios 14:6	direct
ὡς	como a	5	1cor 3:1	1cor 4:9	expanded
αἰῶνος	siglo	4	1cor 1:20	1cor 2:8	direct
γέγραπται	está escrito	4	1cor 1:19	1cor 4:6	expanded
γλώσσῃ	en lenguas	4	1corintios 14:13	1corintios 14:4	expanded
δὲ	sino que	4	1cor 1:10	1corintios 14:2	expanded
εἰ	excepto	4	1cor 1:14	1corintios 12:3	direct,merged-forward
