greek_span	nbla_span	count	first_seen	last_seen	alignment_types
θεοῦ	dios	23	1cor 1:2	1cor 7:7	direct
ἢ	o	18	1cor 1:13	1cor 7:16	direct
θεοῦ	de dios	16	1cor 1:1	1corintios 7:40	expanded
ἐστιν	es	15	1cor 1:18	1corintios 9:3	direct
ὅτι	que	15	1cor 1:11	1corintios 9:24	direct
εἰ	si	11	1cor 2:8	1corintios 9:12	direct
θεὸς	dios	11	1cor 1:20	1cor 6:14	direct
ὑμῖν	ustedes	11	1cor 1:10	1cor 6:5	direct
κόσμου	mundo	10	1cor 1:20	1corintios 7:33	direct
οἴδατε	saben	10	1cor 3:16	1corintios 9:24	direct
ἐγὼ	yo	10	1cor 1:12	1cor 7:10	direct
ἡμῶν	nuestro	10	1cor 1:10	1cor 6:11	direct
ἵνα	para que	10	1cor 1:15	1cor 5:7	expanded
κυρίου	señor	9	1cor 1:10	1corintios 7:32	direct
οὔτε	ni	9	1cor 3:7	1cor 6:9	direct
ἀλλὰ	sino	9	1cor 1:17	1corintios 7:19	direct
τῶν	de los	8	1cor 1:19	1cor 4:5	expanded
χριστῷ	cristo	8	1cor 1:2	1cor 4:17	direct
ἀλλʼ	sino	8	1cor 2:13	1cor 5:8	direct
εἴτε	o	7	1cor 3:22	1cor 3:22	direct
οὐχὶ	no	7	1cor 1:20	1corintios 9:1	direct
πνεῦμα	espíritu	7	1cor 2:10	1cor 5:5	direct
ἐὰν	si	7	1cor 4:19	1corintios 7:40	direct
ἰησοῦ	jesucristo	7	1cor 1:10	1cor 6:11	expanded,merged-forward
ὑμεῖς	ustedes	7	1cor 1:30	1cor 5:2	direct
εἴ	si	6	1cor 1:16	1cor 8:2	direct
οἱ	los	6	1cor 6:16	1corintios 9:5	direct
σοφίαν	sabiduría	6	1cor 1:19	1cor 2:7	direct
τούτου	este	6	1cor 1:20	1cor 5:10	direct
ἀδελφοί	hermanos	6	1cor 1:10	1corintios 7:29	direct
ὑμῶν	de ustedes	6	1cor 1:12	1cor 6:1	expanded
ὑμῶν	ustedes	6	1cor 1:11	1cor 5:2	direct
ὡς	como	6	1cor 3:15	1corintios 7:30	direct
θεός	dios	5	1cor 1:27	1cor 3:7	direct
κύριος	señor	5	1cor 3:5	1cor 7:12	direct
τις	alguien	5	1cor 3:12	1corintios 8:3	direct
τοῖς	los	5	1cor 1:2	1corintios 9:3	direct
χριστοῦ	de cristo	5	1cor 1:12	1cor 6:15	expanded
ἐστίν	es	5	1cor 1:18	1corintios 7:22	direct
ἕκαστος	cada uno	5	1cor 1:12	1corintios 7:20	expanded
ἡμεῖς	nosotros	5	1cor 1:23	1cor 4:8	direct
ἰησοῦ	jesús	5	1cor 1:2	1cor 5:4	direct
ὡς	como a	5	1cor 3:1	1cor 4:9	expanded
αἰῶνος	siglo	4	1cor 1:20	1cor 2:8	direct
γέγραπται	está escrito	4	1cor 1:19	1cor 4:6	expanded
κυρίῳ	señor	4	1cor 6:13	1corintios 7:35	direct
μηδὲ	ni	4	1cor 5:8	1corintios 10:9	direct
οὕτως	así	4	1cor 3:15	1corintios 9:14	direct
παῦλος	pablo	4	1cor 1:1	1cor 3:5	direct
πρὸς	a	4	1cor 2:1	1cor 4:21	direct
τί	qué	4	1cor 3:5	1cor 4:7	direct
τοὺς	a los que	4	1cor 1:21	1cor 6:4	expanded
ἀδελφὸς	hermano	4	1cor 5:11	1cor 7:15	direct
ἀλλὰ	pero	4	1cor 3:6	1cor 6:11	direct
ἀλλὰ	sino que	4	1cor 1:27	1corintios 9:27	expanded
ἀνὴρ	marido	4	1cor 7:14	1corintios 7:39	direct
ἄνδρα	marido	4	1cor 7:13	1cor 7:2	direct
ἐστε	son	4	1cor 3:17	1cor 3:4	direct
ἔργον	obra	4	1cor 3:13	1cor 3:15	direct
ἤδη	ya	4	1cor 4:8	1cor 6:7	direct
ἵνα	para	4	1cor 1:27	1cor 7:5	direct
ὅτι	porque	4	1cor 1:25	1cor 4:9	direct
ὑμᾶς	les	4	1cor 1:7	1cor 4:17	direct
ὑμᾶς	los	4	1cor 1:8	1cor 7:5	direct
ὑμᾶς	ustedes	4	1cor 2:1	1cor 4:6	direct
ὑμῖν	les	4	1cor 1:4	1cor 5:9	direct
γυναῖκα	mujer	3	1cor 7:16	1corintios 7:27	direct
δέ	y	3	1cor 3:4	1corintios 7:36	direct
διὰ	por	3	1cor 1:1	1cor 4:17	direct
εἰ	excepto	3	1cor 1:14	1cor 7:5	direct,merged-forward
κατὰ	conforme a	3	1cor 1:26	1cor 3:8	expanded
κυρίου	del señor	3	1cor 1:3	1corintios 7:22	expanded
λέγω	digo	3	1cor 7:12	1cor 7:8	direct
λαλοῦμεν	hablamos	3	1cor 2:13	1cor 2:7	direct
μέλη	miembros	3	1cor 6:15	1cor 6:15	direct
μοι	me	3	1cor 3:10	1cor 6:12	direct
μου	míos	3	1cor 1:11	1cor 4:16	direct
μωρία	necedad	3	1cor 1:18	1cor 3:19	direct
οὐχ	no	3	1cor 7:12	1corintios 7:36	direct
πάντες	todos	3	1cor 1:10	1corintios 9:24	direct
παύλου	de pablo	3	1cor 1:12	1cor 3:4	expanded
πολλοὶ	muchos	3	1cor 1:26	1cor 1:26	direct
ποῦ	dónde está	3	1cor 1:20	1cor 1:20	expanded
σώματι	cuerpo	3	1cor 5:3	1cor 6:20	direct
σῶμα	cuerpo	3	1cor 6:13	1cor 6:19	direct
τίς	quién	3	1cor 2:11	1cor 4:7	direct
τις	alguno	3	1cor 3:17	1corintios 7:18	direct
τοῖς	a los	3	1cor 5:10	1cor 7:8	expanded
τοῖς	para los	3	1cor 1:18	1cor 6:13	expanded
τὰ	las cosas	3	1cor 2:14	1cor 4:5	expanded
τὰ	lo	3	1cor 1:27	1cor 1:28	direct
τὰ	lo que	3	1cor 1:28	1cor 2:12	expanded
