decision	reason	greek_span	nbla_span	count	first_seen	last_seen	alignment_types
promote	accepted	ἐν	en	42	1cor 1:10	1corintios 11:25	direct
promote	accepted	τοῦ	de	36	1cor 1:10	1corintios 7:31	direct
promote	accepted	ἢ	o	29	1cor 1:13	1corintios 14:7	direct
promote	accepted	τοῦ	del	27	1cor 1:27	1corintios 9:14	direct
promote	accepted	οὐ	no	21	1cor 1:17	1corintios 14:34	direct
promote	accepted	ὅτι	que	19	1cor 1:11	1corintios 9:24	direct
promote	accepted	τὸ	el	18	1cor 1:13	1corintios 15:1	direct
promote	accepted	ἡ	la	14	1cor 2:5	1corintios 7:34	direct
promote	accepted	ἐὰν	si	12	1cor 4:19	1corintios 7:40	direct
promote	accepted	θεὸς	dios	11	1cor 1:20	1cor 6:14	direct
promote	accepted	κυρίου	señor	11	1cor 1:10	1corintios 7:32	direct
promote	accepted	τὸ	la	11	1cor 1:25	1corintios 7:31	direct
promote	accepted	ἀδελφοί	hermanos	11	1cor 1:10	1corintios 7:29	direct
promote	accepted	ἵνα	para que	11	1cor 1:15	1corintios 14:13	expanded
promote	accepted	ὑμῖν	ustedes	11	1cor 1:10	1cor 6:5	direct
promote	accepted	εἴτε	o	10	1cor 3:22	1corintios 14:7	direct
promote	accepted	κόσμου	mundo	10	1cor 1:20	1corintios 7:33	direct
promote	accepted	οἴδατε	saben	10	1cor 3:16	1corintios 9:24	direct
promote	accepted	ἡμῶν	nuestro	10	1cor 1:10	1cor 6:11	direct
promote	accepted	οὔτε	ni	9	1cor 3:7	1cor 6:9	direct
promote	accepted	σῶμα	cuerpo	9	1cor 6:13	1corintios 12:24	direct
promote	accepted	τῶν	de los	9	1cor 1:19	1corintios 14:33	expanded
promote	accepted	μὴ	acaso	8	1cor 1:13	1corintios 12:30	direct
promote	accepted	τις	alguien	8	1cor 3:12	1corintios 8:3	direct
promote	accepted	χριστῷ	cristo	8	1cor 1:2	1cor 4:17	direct
promote	accepted	ἀλλʼ	sino	8	1cor 2:13	1cor 5:8	direct
promote	accepted	μέλη	miembros	7	1cor 6:15	1corintios 12:25	direct
promote	accepted	οὐχὶ	no	7	1cor 1:20	1corintios 9:1	direct
promote	accepted	οὕτως	así	7	1cor 3:15	1corintios 9:14	direct
promote	accepted	πνεῦμα	espíritu	7	1cor 2:10	1cor 5:5	direct
promote	accepted	σώματος	cuerpo	7	1cor 7:4	1corintios 12:23	direct
promote	accepted	τοῖς	los	7	1cor 1:2	1corintios 9:3	direct
promote	accepted	τὰ	los	7	1cor 6:13	1corintios 14:25	direct
promote	accepted	ὑμεῖς	ustedes	7	1cor 1:30	1cor 5:2	direct
promote	accepted	ὑμῖν	les	7	1cor 1:4	1corintios 14:6	direct
promote	accepted	ὡς	como	7	1cor 3:15	1corintios 7:30	direct
promote	accepted	κύριος	señor	6	1cor 3:5	1corintios 11:23	direct
promote	accepted	οἱ	los	6	1cor 6:16	1corintios 9:5	direct
promote	accepted	σοφίαν	sabiduría	6	1cor 1:19	1cor 2:7	direct
promote	accepted	τί	qué	6	1cor 3:5	1corintios 14:6	direct
promote	accepted	τούτου	este	6	1cor 1:20	1cor 5:10	direct
promote	accepted	τὴν	la	6	1cor 1:19	1corintios 11:7	direct
promote	accepted	ἡ	el	6	1cor 3:13	1corintios 13:8	direct
promote	accepted	ὅτι	porque	6	1cor 1:25	1corintios 12:15	direct
promote	accepted	ὑμᾶς	les	6	1cor 1:7	1corintios 14:6	direct
promote	accepted	ὑμῶν	ustedes	6	1cor 1:11	1cor 5:2	direct
promote	accepted	ὑμῶν	de ustedes	6	1cor 1:12	1cor 6:1	expanded
promote	accepted	εἰμὶ	soy	5	1corintios 12:15	1corintios 9:1	direct
promote	accepted	πρὸς	a	5	1cor 2:1	1corintios 14:6	direct
promote	accepted	τὴν	su	5	1cor 7:2	1corintios 7:36	direct
promote	accepted	τῷ	el	5	1cor 5:4	1corintios 14:15	direct
promote	accepted	ἕκαστος	cada uno	5	1cor 1:12	1corintios 7:20	expanded
promote	accepted	ἡμεῖς	nosotros	5	1cor 1:23	1cor 4:8	direct
promote	accepted	ἰησοῦ	jesús	5	1cor 1:2	1cor 5:4	direct
