book	continuity_counts	continuity_initial_density	continuity_same_density	continuity_shift_density	continuity_unresolved_density	dominant_continuity_status	dominant_movement_class	dominant_movement_status	dominant_subject_profile	end_reference	end_stream_index	max_structural_weight	merged_regime_id	movement_class_counts	movement_status_counts	record_count	signature_code	source_regime_id	stable_density	start_reference	start_stream_index	structural_density	structural_signature_id	subject_profile_counts	total_structural_weight	turbulence_density	weight_per_record	structural_family_id	family_distance
1corintios	"{""initial"": 1, ""same"": 3, ""shift"": 17}"	0.0476	0.1429	0.8095	0.0	shift	structural	strong	3S	1:15	21	8	SMR0001	"{""stable"": 2, ""structural"": 17, ""turbulence"": 2}"	"{""candidate"": 4, ""none"": 1, ""strong"": 16}"	21	structural=very_high|turbulence=low|stable=low|continuity_same=low|continuity_shift=very_high|continuity_unresolved=none|weight=very_high	SR0001	0.0952	1:4	1	0.8095	SMR0001	"{""1S"": 6, ""2P"": 6, ""3P"": 1, ""3S"": 8}"	110	0.0952	5.2381	SF001	0.0
1corintios	"{""same"": 2, ""shift"": 1}"	0.0	0.6667	0.3333	0.0	same	structural	strong	1S	1:16	24	8	SMR0002	"{""stable"": 1, ""structural"": 1, ""turbulence"": 1}"	"{""candidate"": 1, ""none"": 1, ""strong"": 1}"	3	structural=medium|turbulence=medium|stable=medium|continuity_same=high|continuity_shift=medium|continuity_unresolved=none|weight=very_high	SR0019	0.3333	1:16	22	0.3333	SMR0002	"{""1S"": 3}"	10	0.3333	3.3333	SF002	0.0
1corintios	"{""same"": 5, ""shift"": 2}"	0.0	0.7143	0.2857	0.0	same	stable	candidate	3S	1:19	31	6	SMR0003	"{""stable"": 3, ""structural"": 2, ""turbulence"": 2}"	"{""candidate"": 3, ""none"": 3, ""strong"": 1}"	7	structural=medium|turbulence=medium|stable=medium|continuity_same=high|continuity_shift=medium|continuity_unresolved=none|weight=high	SR0020	0.4286	1:17	25	0.2857	SMR0003	"{""1S"": 2, ""3S"": 5}"	14	0.2857	2.0	SF003	0.0
1corintios	"{""same"": 3, ""shift"": 5}"	0.0	0.375	0.625	0.0	shift	structural	candidate	3S	1:26	39	8	SMR0004	"{""structural"": 5, ""turbulence"": 3}"	"{""candidate"": 5, ""strong"": 3}"	8	structural=high|turbulence=medium|stable=none|continuity_same=medium|continuity_shift=high|continuity_unresolved=none|weight=very_high	SR0022	0.0	1:20	32	0.625	SMR0004	"{""1P"": 1, ""2P"": 1, ""3P"": 2, ""3S"": 4}"	36	0.375	4.5	SF004	0.0
1corintios	"{""same"": 6, ""shift"": 2}"	0.0	0.75	0.25	0.0	same	turbulence	candidate	3S	1:30	47	8	SMR0005	"{""stable"": 1, ""structural"": 2, ""turbulence"": 5}"	"{""candidate"": 5, ""none"": 1, ""strong"": 2}"	8	structural=medium|turbulence=high|stable=low|continuity_same=very_high|continuity_shift=medium|continuity_unresolved=none|weight=very_high	SR0027	0.125	1:27	40	0.25	SMR0005	"{""2P"": 1, ""3S"": 7}"	24	0.625	3.0	SF005	0.0
1corintios	"{""same"": 2, ""shift"": 1}"	0.0	0.6667	0.3333	0.0	same	turbulence	candidate	3S	1:31	50	6	SMR0006	"{""structural"": 1, ""turbulence"": 2}"	"{""candidate"": 2, ""strong"": 1}"	3	structural=medium|turbulence=high|stable=none|continuity_same=high|continuity_shift=medium|continuity_unresolved=none|weight=very_high	SR0029	0.0	1:30	48	0.3333	SMR0006	"{""3S"": 3}"	10	0.6667	3.3333	SF006	0.0
1corintios	"{""same"": 5, ""shift"": 5}"	0.0	0.5	0.5	0.0	shift	structural	none	1S	2:8	60	8	SMR0007	"{""stable"": 4, ""structural"": 5, ""turbulence"": 1}"	"{""candidate"": 2, ""none"": 4, ""strong"": 4}"	10	structural=high|turbulence=low|stable=medium|continuity_same=high|continuity_shift=high|continuity_unresolved=none|weight=very_high	SR0030	0.4	2:1	51	0.5	SMR0007	"{""1P"": 2, ""1S"": 3, ""3P"": 2, ""3S"": 3}"	32	0.1	3.2	SF007	0.0
1corintios	"{""same"": 8, ""shift"": 1}"	0.0	0.8889	0.1111	0.0	same	stable	none	3S	2:11	69	6	SMR0008	"{""stable"": 6, ""structural"": 1, ""turbulence"": 2}"	"{""candidate"": 2, ""none"": 6, ""strong"": 1}"	9	structural=low|turbulence=low|stable=high|continuity_same=very_high|continuity_shift=low|continuity_unresolved=none|weight=medium	SR0035	0.6667	2:9	61	0.1111	SMR0008	"{""3S"": 9}"	10	0.2222	1.1111	SF008	0.0
1corintios	"{""same"": 2, ""shift"": 1}"	0.0	0.6667	0.3333	0.0	same	turbulence	candidate	1P	2:13	72	8	SMR0009	"{""structural"": 1, ""turbulence"": 2}"	"{""candidate"": 2, ""strong"": 1}"	3	structural=medium|turbulence=high|stable=none|continuity_same=high|continuity_shift=medium|continuity_unresolved=none|weight=very_high	SR0036	0.0	2:12	70	0.3333	SMR0009	"{""1P"": 3}"	12	0.6667	4.0	SF009	0.0
1corintios	"{""same"": 8, ""shift"": 3}"	0.0	0.7273	0.2727	0.0	same	stable	none	3S	3:2	83	6	SMR0010	"{""stable"": 6, ""structural"": 3, ""turbulence"": 2}"	"{""candidate"": 3, ""none"": 6, ""strong"": 2}"	11	structural=medium|turbulence=low|stable=high|continuity_same=high|continuity_shift=medium|continuity_unresolved=none|weight=medium	SR0037	0.5455	2:14	73	0.2727	SMR0010	"{""1P"": 1, ""1S"": 2, ""3S"": 8}"	20	0.1818	1.8182	SF003	0.240871
