book	end_reference	end_stream_index	first_finite_verb	first_predication_id	group_index	last_finite_verb	last_predication_id	movement_class_counts	movement_status_counts	record_count	start_reference	start_stream_index	structural_regime_id	total_structural_weight	merged_regimes	merged_regime_id
1corintios	1:10	9	εὐχαριστῶ	1corintios-1-4-P01	1	ἦτε	1corintios-1-10-P04	"{""stable"": 1}"	"{""strong"": 1}"	8	1:4	1	SR0001	30	['SR0002', 'SR0004', 'SR0005', 'SR0006', 'SR0007', 'SR0008']	SMR0001
1corintios	1:13	17	ἐδηλώθη	1corintios-1-11-P01	9	ἐβαπτίσθητε	1corintios-1-13-P03	"{""structural"": 1, ""turbulence"": 4}"	"{""candidate"": 5}"	8	1:11	10	SR0009	18	['SR0010', 'SR0011']	SMR0002
1corintios	1:15	21	εὐχαριστῶ	1corintios-1-14-P01	12	ἐβαπτίσθητε	1corintios-1-15-P02	"{""stable"": 1, ""structural"": 1, ""turbulence"": 1}"	"{""candidate"": 2, ""none"": 1}"	4	1:14	18	SR0012	10	['SR0013']	SMR0003
1corintios	1:16	24	ἐβάπτισα	1corintios-1-16-P01	14	ἐβάπτισα	1corintios-1-16-P03	"{""stable"": 1, ""structural"": 1, ""turbulence"": 1}"	"{""candidate"": 1, ""none"": 1, ""strong"": 1}"	3	1:16	22	SR0014	8		SMR0004
1corintios	1:19	29	ἀπέστειλέν	1corintios-1-17-P01	15	γέγραπται	1corintios-1-19-P01	"{""stable"": 2, ""structural"": 1, ""turbulence"": 2}"	"{""candidate"": 2, ""none"": 2, ""strong"": 1}"	5	1:17	25	SR0015	8		SMR0005
1corintios	1:26	39	ἀπολῶ	1corintios-1-19-P02	16	βλέπετε	1corintios-1-26-P01	"{""stable"": 2, ""structural"": 1}"	"{""candidate"": 1, ""none"": 2}"	10	1:19	30	SR0016	32	['SR0017', 'SR0018', 'SR0019', 'SR0020', 'SR0021', 'SR0022', 'SR0023']	SMR0006
1corintios	1:31	50	ἐξελέξατο	1corintios-1-27-P01	24	καυχάσθω	1corintios-1-31-P02	"{""stable"": 1, ""structural"": 1, ""turbulence"": 5}"	"{""candidate"": 6, ""none"": 1}"	11	1:27	40	SR0024	32	['SR0025', 'SR0026', 'SR0027']	SMR0007
1corintios	2:9	63	ἦλθον	1corintios-2-1-P01	28	ἤκουσεν	1corintios-2-9-P03	"{""stable"": 3, ""structural"": 1, ""turbulence"": 2}"	"{""candidate"": 3, ""none"": 3}"	13	2:1	51	SR0028	26	['SR0029', 'SR0030', 'SR0031', 'SR0032']	SMR0008
1corintios	3:2	83	ἀνέβη	1corintios-2-9-P04	33	ἐπότισα	1corintios-3-2-P01	"{""stable"": 9, ""structural"": 2, ""turbulence"": 6}"	"{""candidate"": 8, ""none"": 9}"	20	2:9	64	SR0033	24	['SR0034', 'SR0035']	SMR0009
1corintios	3:5	93	ἐδύνασθε	1corintios-3-2-P02	36	ἐστιν	1corintios-3-5-P02	"{""stable"": 4, ""structural"": 1}"	"{""candidate"": 1, ""none"": 4}"	10	3:2	84	SR0036	22	['SR0037', 'SR0038', 'SR0039', 'SR0040']	SMR0010
1corintios	3:10	104	ἐπιστεύσατε	1corintios-3-5-P03	41	ἔθηκα	1corintios-3-10-P01	"{""stable"": 2, ""structural"": 1, ""turbulence"": 4}"	"{""candidate"": 5, ""none"": 2}"	11	3:5	94	SR0041	26	['SR0042', 'SR0043', 'SR0044', 'SR0045']	SMR0011
1corintios	3:15	121	ἐποικοδομεῖ	1corintios-3-10-P02	46	σωθήσεται	1corintios-3-15-P03	"{""stable"": 8, ""structural"": 1, ""turbulence"": 8}"	"{""candidate"": 8, ""none"": 8, ""strong"": 1}"	17	3:10	105	SR0046	20		SMR0012
1corintios	3:17	127	οἴδατε	1corintios-3-16-P01	47	ἐστιν	1corintios-3-17-P03	"{""structural"": 1, ""turbulence"": 3}"	"{""candidate"": 4}"	6	3:16	122	SR0047	16	['SR0048']	SMR0013
1corintios	3:21	138	ἐστε	1corintios-3-17-P04	49	ἐστιν	1corintios-3-21-P02	"{""stable"": 1, ""structural"": 1, ""turbulence"": 2}"	"{""candidate"": 3, ""none"": 1}"	11	3:17	128	SR0049	32	['SR0050', 'SR0051', 'SR0052', 'SR0053', 'SR0054']	SMR0014
1corintios	4:5	148	λογιζέσθω	1corintios-4-1-P01	55	κρίνετε	1corintios-4-5-P01	"{""stable"": 5, ""structural"": 1, ""turbulence"": 3}"	"{""candidate"": 3, ""none"": 5, ""strong"": 1}"	10	4:1	139	SR0055	16	['SR0056']	SMR0015
1corintios	4:7	157	ἔλθῃ	1corintios-4-5-P02	57	διακρίνει	1corintios-4-7-P01	"{""stable"": 3, ""structural"": 1}"	"{""none"": 3, ""strong"": 1}"	9	4:5	149	SR0057	32	['SR0058', 'SR0059', 'SR0060', 'SR0061', 'SR0062']	SMR0016
1corintios	4:7	161	ἔχεις	1corintios-4-7-P02	63	καυχᾶσαι	1corintios-4-7-P05	"{""stable"": 1, ""structural"": 1, ""turbulence"": 2}"	"{""candidate"": 3, ""none"": 1}"	4	4:7	158	SR0063	6		SMR0017
1corintios	4:9	168	ἐστέ	1corintios-4-8-P01	64	ἀπέδειξεν	1corintios-4-9-P02	"{""stable"": 3, ""structural"": 1}"	"{""candidate"": 1, ""none"": 3}"	7	4:8	162	SR0064	10	['SR0065', 'SR0066']	SMR0018
1corintios	4:16	184	ἐγενήθημεν	1corintios-4-9-P03	67	γίνεσθε	1corintios-4-16-P02	"{""stable"": 8, ""structural"": 1, ""turbulence"": 2}"	"{""candidate"": 2, ""none"": 8, ""strong"": 1}"	16	4:9	169	SR0067	28	['SR0068', 'SR0069', 'SR0070', 'SR0071']	SMR0019
1corintios	5:6	202	ἔπεμψα	1corintios-4-17-P01	72	ζυμοῖ	1corintios-5-6-P02	"{""stable"": 2, ""structural"": 1, ""turbulence"": 1}"	"{""candidate"": 2, ""none"": 2}"	18	4:17	185	SR0072	68	['SR0073', 'SR0074', 'SR0075', 'SR0076', 'SR0077', 'SR0078', 'SR0079', 'SR0080', 'SR0081', 'SR0082', 'SR0083', 'SR0084', 'SR0085']	SMR0020
1corintios	5:11	210	ἐκκαθάρατε	1corintios-5-7-P01	86	ἔγραψα	1corintios-5-11-P01	"{""stable"": 1, ""structural"": 1, ""turbulence"": 2}"	"{""candidate"": 2, ""none"": 1, ""strong"": 1}"	8	5:7	203	SR0086	30	['SR0087', 'SR0088', 'SR0089', 'SR0090']	SMR0021
1corintios	6:1	215	ᾖ	1corintios-5-11-P02	91	τολμᾷ	1corintios-6-1-P01	"{""stable"": 2, ""structural"": 1, ""turbulence"": 1}"	"{""candidate"": 1, ""none"": 2, ""strong"": 1}"	5	5:11	211	SR0091	12	['SR0092']	SMR0022
1corintios	6:5	224	οἴδατε	1corintios-6-2-P01	93	λέγω	1corintios-6-5-P01	"{""stable"": 1, ""structural"": 1, ""turbulence"": 1}"	"{""candidate"": 2, ""none"": 1}"	9	6:2	216	SR0093	24	['SR0094', 'SR0095', 'SR0096', 'SR0097']	SMR0023
1corintios	6:7	228	ἔνι	1corintios-6-5-P02	98	ἐστιν	1corintios-6-7-P01	"{""stable"": 3, ""structural"": 1}"	"{""candidate"": 1, ""none"": 3}"	4	6:5	225	SR0098	2		SMR0024
1corintios	6:12	245	ἔχετε	1corintios-6-7-P02	99	ἐξουσιασθήσομαι	1corintios-6-12-P04	"{""stable"": 12, ""structural"": 1, ""turbulence"": 3}"	"{""candidate"": 3, ""none"": 12, ""strong"": 1}"	17	6:7	229	SR0099	16	['SR0100']	SMR0025
1corintios	6:14	248	καταργήσει	1corintios-6-13-P01	101	ἐξεγερεῖ	1corintios-6-14-P02	"{""stable"": 2, ""structural"": 1}"	"{""candidate"": 1, ""none"": 2}"	3	6:13	246	SR0101	2		SMR0026
1corintios	6:15	252	οἴδατε	1corintios-6-15-P01	102	γένοιτο	1corintios-6-15-P04	"{""structural"": 1, ""turbulence"": 2}"	"{""candidate"": 3}"	4	6:15	249	SR0102	10	['SR0103']	SMR0027
1corintios	6:17	257	οἴδατε	1corintios-6-16-P01	104	ἐστιν	1corintios-6-17-P01	"{""structural"": 1, ""turbulence"": 2}"	"{""candidate"": 3}"	5	6:16	253	SR0104	10	['SR0105']	SMR0028
1corintios	6:18	261	φεύγετε	1corintios-6-18-P01	106	ἁμαρτάνει	1corintios-6-18-P04	"{""structural"": 1, ""turbulence"": 2}"	"{""candidate"": 3}"	4	6:18	258	SR0106	12	['SR0107']	SMR0029
1corintios	6:20	267	οἴδατε	1corintios-6-19-P01	108	δοξάσατε	1corintios-6-20-P02	"{""stable"": 3, ""structural"": 1, ""turbulence"": 2}"	"{""candidate"": 3, ""none"": 3}"	6	6:19	262	SR0108	8		SMR0030
1corintios	7:8	281	ἐγράψατε	1corintios-7-1-P01	109	λέγω	1corintios-7-8-P01	"{""stable"": 7, ""turbulence"": 2}"	"{""candidate"": 2, ""none"": 7}"	14	7:1	268	SR0109	22	['SR0110', 'SR0111', 'SR0112', 'SR0113']	SMR0031
1corintios	7:10	286	μείνωσιν	1corintios-7-8-P02	114	παραγγέλλω	1corintios-7-10-P01	"{""stable"": 1, ""structural"": 1, ""turbulence"": 1}"	"{""candidate"": 1, ""none"": 1, ""strong"": 1}"	5	7:8	282	SR0114	12	['SR0115', 'SR0116']	SMR0032
1corintios	7:11	289	χωρισθῇ	1corintios-7-11-P01	117	καταλλαγήτω—	1corintios-7-11-P03	"{""stable"": 1, ""structural"": 1, ""turbulence"": 1}"	"{""candidate"": 1, ""none"": 1, ""strong"": 1}"	3	7:11	287	SR0117	6		SMR0033
1corintios	7:21	322	λέγω	1corintios-7-12-P01	118	μελέτω	1corintios-7-21-P02	"{""stable"": 14, ""structural"": 5, ""turbulence"": 12}"	"{""candidate"": 17, ""none"": 14}"	33	7:12	290	SR0118	38	['SR0119', 'SR0120']	SMR0034
1corintios	7:22	326	δύνασαι	1corintios-7-21-P03	121	ἐστιν	1corintios-7-22-P02	"{""stable"": 2, ""structural"": 1, ""turbulence"": 1}"	"{""candidate"": 1, ""none"": 2, ""strong"": 1}"	4	7:21	323	SR0121	6		SMR0035
1corintios	7:24	330	ἠγοράσθητε	1corintios-7-23-P01	122	μενέτω	1corintios-7-24-P02	"{""stable"": 2, ""structural"": 1}"	"{""candidate"": 1, ""none"": 2}"	4	7:23	327	SR0122	6	['SR0123']	SMR0036
1corintios	7:26	333	ἔχω	1corintios-7-25-P01	124	νομίζω	1corintios-7-26-P01	"{""stable"": 2, ""structural"": 1}"	"{""candidate"": 1, ""none"": 2}"	3	7:25	331	SR0124	2		SMR0037
1corintios	7:28	342	δέδεσαι	1corintios-7-27-P01	125	ἕξουσιν	1corintios-7-28-P05	"{""stable"": 3, ""structural"": 1, ""turbulence"": 2}"	"{""candidate"": 3, ""none"": 3}"	9	7:27	334	SR0125	18	['SR0126', 'SR0127', 'SR0128']	SMR0038
1corintios	7:32	349	φείδομαι	1corintios-7-28-P06	129	μεριμνᾷ	1corintios-7-32-P02	"{""stable"": 3, ""structural"": 1, ""turbulence"": 1}"	"{""candidate"": 2, ""none"": 3}"	7	7:28	343	SR0129	10	['SR0130']	SMR0039
1corintios	7:40	380	ἀρέσῃ	1corintios-7-32-P03	131	δοκῶ	1corintios-7-40-P03	"{""stable"": 16, ""structural"": 5, ""turbulence"": 9}"	"{""candidate"": 14, ""none"": 16}"	31	7:32	350	SR0131	32	['SR0132']	SMR0040
1corintios	8:2	385	οἴδαμεν	1corintios-8-1-P01	133	δοκεῖ	1corintios-8-2-P01	"{""stable"": 1, ""structural"": 1, ""turbulence"": 3}"	"{""candidate"": 4, ""none"": 1}"	5	8:1	381	SR0133	8		SMR0041
1corintios	8:4	390	ἔγνω	1corintios-8-2-P02	134	οἴδαμεν	1corintios-8-4-P01	"{""stable"": 1, ""structural"": 1, ""turbulence"": 2}"	"{""candidate"": 2, ""none"": 1, ""strong"": 1}"	5	8:2	386	SR0134	14	['SR0135']	SMR0042
1corintios	8:8	395	εἰσὶν	1corintios-8-5-P01	136	παραστήσει	1corintios-8-8-P01	"{""stable"": 1, ""structural"": 1, ""turbulence"": 2}"	"{""candidate"": 3, ""none"": 1}"	5	8:5	391	SR0136	8	['SR0137']	SMR0043
1corintios	8:8	399	φάγωμεν	1corintios-8-8-P02	138	ὑστερούμεθα	1corintios-8-8-P05	"{""structural"": 1, ""turbulence"": 3}"	"{""candidate"": 3, ""strong"": 1}"	4	8:8	396	SR0138	12		SMR0044
1corintios	8:11	405	βλέπετε	1corintios-8-9-P01	139	ἀπέθανεν	1corintios-8-11-P02	"{""stable"": 1, ""structural"": 1, ""turbulence"": 2}"	"{""candidate"": 3, ""none"": 1}"	6	8:9	400	SR0139	10	['SR0140']	SMR0045
1corintios	8:13	409	ἁμαρτάνετε	1corintios-8-12-P01	141	σκανδαλίσω	1corintios-8-13-P03	"{""structural"": 1, ""turbulence"": 3}"	"{""candidate"": 4}"	4	8:12	406	SR0141	10		SMR0046
1corintios	9:3	417	εἰμὶ	1corintios-9-1-P01	142	ἐστιν	1corintios-9-3-P01	"{""stable"": 2, ""turbulence"": 1}"	"{""candidate"": 1, ""none"": 2}"	8	9:1	410	SR0142	18	['SR0143', 'SR0144', 'SR0145']	SMR0047
1corintios	9:7	422	ἔχομεν	1corintios-9-4-P01	146	φυτεύει	1corintios-9-7-P02	"{""stable"": 4, ""structural"": 1}"	"{""candidate"": 1, ""none"": 4}"	5	9:4	418	SR0146	2		SMR0048
1corintios	9:9	429	ἐσθίει	1corintios-9-7-P03	147	κημώσεις	1corintios-9-9-P02	"{""stable"": 2, ""structural"": 1}"	"{""candidate"": 1, ""none"": 2}"	7	9:7	423	SR0147	10	['SR0148', 'SR0149', 'SR0150']	SMR0049
1corintios	9:10	433	μέλει	1corintios-9-9-P03	151	ὀφείλει	1corintios-9-10-P03	"{""stable"": 2, ""structural"": 1, ""turbulence"": 1}"	"{""candidate"": 2, ""none"": 2}"	4	9:9	430	SR0151	4		SMR0050
