structural_regime_id	group_index	book	start_stream_index	end_stream_index	start_reference	end_reference	record_count	total_structural_weight	movement_class_counts	movement_status_counts	first_predication_id	last_predication_id	first_finite_verb	last_finite_verb
SR0001	1	1corintios	1	1	1:4	1:4	1	0	"{""stable"": 1}"	"{""strong"": 1}"	1corintios-1-4-P01	1corintios-1-4-P01	εὐχαριστῶ	εὐχαριστῶ
SR0002	2	1corintios	2	3	1:5	1:6	2	6	"{""stable"": 1, ""structural"": 1}"	"{""none"": 1, ""strong"": 1}"	1corintios-1-5-P01	1corintios-1-6-P01	ἐπλουτίσθητε	ἐβεβαιώθη
SR0003	3	1corintios	4	4	1:8	1:8	1	6	"{""structural"": 1}"	"{""strong"": 1}"	1corintios-1-8-P01	1corintios-1-8-P01	βεβαιώσει	βεβαιώσει
SR0004	4	1corintios	5	5	1:9	1:9	1	4	"{""structural"": 1}"	"{""candidate"": 1}"	1corintios-1-9-P01	1corintios-1-9-P01	ἐκλήθητε	ἐκλήθητε
SR0005	5	1corintios	6	6	1:10	1:10	1	4	"{""structural"": 1}"	"{""candidate"": 1}"	1corintios-1-10-P01	1corintios-1-10-P01	παρακαλῶ	παρακαλῶ
SR0006	6	1corintios	7	7	1:10	1:10	1	6	"{""structural"": 1}"	"{""strong"": 1}"	1corintios-1-10-P02	1corintios-1-10-P02	λέγητε	λέγητε
SR0007	7	1corintios	8	8	1:10	1:10	1	6	"{""structural"": 1}"	"{""strong"": 1}"	1corintios-1-10-P03	1corintios-1-10-P03	ᾖ	ᾖ
SR0008	8	1corintios	9	9	1:10	1:10	1	4	"{""structural"": 1}"	"{""candidate"": 1}"	1corintios-1-10-P04	1corintios-1-10-P04	ἦτε	ἦτε
SR0009	9	1corintios	10	14	1:11	1:12	5	12	"{""structural"": 1, ""turbulence"": 4}"	"{""candidate"": 5}"	1corintios-1-11-P01	1corintios-1-12-P03	ἐδηλώθη	εἰμι
SR0010	10	1corintios	15	16	1:13	1:13	2	2	"{""stable"": 1, ""structural"": 1}"	"{""candidate"": 1, ""none"": 1}"	1corintios-1-13-P01	1corintios-1-13-P02	μεμέρισται	ἐσταυρώθη
SR0011	11	1corintios	17	17	1:13	1:13	1	4	"{""structural"": 1}"	"{""candidate"": 1}"	1corintios-1-13-P03	1corintios-1-13-P03	ἐβαπτίσθητε	ἐβαπτίσθητε
SR0012	12	1corintios	18	20	1:14	1:15	3	6	"{""stable"": 1, ""structural"": 1, ""turbulence"": 1}"	"{""candidate"": 2, ""none"": 1}"	1corintios-1-14-P01	1corintios-1-15-P01	εὐχαριστῶ	εἴπῃ
SR0013	13	1corintios	21	21	1:15	1:15	1	4	"{""structural"": 1}"	"{""candidate"": 1}"	1corintios-1-15-P02	1corintios-1-15-P02	ἐβαπτίσθητε	ἐβαπτίσθητε
SR0014	14	1corintios	22	24	1:16	1:16	3	8	"{""stable"": 1, ""structural"": 1, ""turbulence"": 1}"	"{""candidate"": 1, ""none"": 1, ""strong"": 1}"	1corintios-1-16-P01	1corintios-1-16-P03	ἐβάπτισα	ἐβάπτισα
SR0015	15	1corintios	25	29	1:17	1:19	5	8	"{""stable"": 2, ""structural"": 1, ""turbulence"": 2}"	"{""candidate"": 2, ""none"": 2, ""strong"": 1}"	1corintios-1-17-P01	1corintios-1-19-P01	ἀπέστειλέν	γέγραπται
SR0016	16	1corintios	30	32	1:19	1:20	3	2	"{""stable"": 2, ""structural"": 1}"	"{""candidate"": 1, ""none"": 2}"	1corintios-1-19-P02	1corintios-1-20-P01	ἀπολῶ	ἐμώρανεν
SR0017	17	1corintios	33	33	1:21	1:21	1	4	"{""structural"": 1}"	"{""strong"": 1}"	1corintios-1-21-P01	1corintios-1-21-P01	ἔγνω	ἔγνω
SR0018	18	1corintios	34	34	1:21	1:21	1	4	"{""structural"": 1}"	"{""strong"": 1}"	1corintios-1-21-P02	1corintios-1-21-P02	εὐδόκησεν	εὐδόκησεν
SR0019	19	1corintios	35	35	1:22	1:22	1	4	"{""structural"": 1}"	"{""strong"": 1}"	1corintios-1-22-P01	1corintios-1-22-P01	αἰτοῦσιν	αἰτοῦσιν
SR0020	20	1corintios	36	36	1:22	1:22	1	4	"{""structural"": 1}"	"{""strong"": 1}"	1corintios-1-22-P02	1corintios-1-22-P02	ζητοῦσιν	ζητοῦσιν
SR0021	21	1corintios	37	37	1:23	1:23	1	2	"{""structural"": 1}"	"{""candidate"": 1}"	1corintios-1-23-P01	1corintios-1-23-P01	κηρύσσομεν	κηρύσσομεν
SR0022	22	1corintios	38	38	1:25	1:25	1	6	"{""structural"": 1}"	"{""strong"": 1}"	1corintios-1-25-P01	1corintios-1-25-P01	ἐστίν	ἐστίν
SR0023	23	1corintios	39	39	1:26	1:26	1	6	"{""structural"": 1}"	"{""strong"": 1}"	1corintios-1-26-P01	1corintios-1-26-P01	βλέπετε	βλέπετε
SR0024	24	1corintios	40	46	1:27	1:29	7	14	"{""stable"": 1, ""structural"": 1, ""turbulence"": 5}"	"{""candidate"": 6, ""none"": 1}"	1corintios-1-27-P01	1corintios-1-29-P01	ἐξελέξατο	καυχήσηται
SR0025	25	1corintios	47	48	1:30	1:30	2	6	"{""stable"": 1, ""structural"": 1}"	"{""none"": 1, ""strong"": 1}"	1corintios-1-30-P01	1corintios-1-30-P02	ἐστε	ἐγενήθη
SR0026	26	1corintios	49	49	1:31	1:31	1	6	"{""structural"": 1}"	"{""strong"": 1}"	1corintios-1-31-P01	1corintios-1-31-P01	γέγραπται	γέγραπται
SR0027	27	1corintios	50	50	1:31	1:31	1	6	"{""structural"": 1}"	"{""strong"": 1}"	1corintios-1-31-P02	1corintios-1-31-P02	καυχάσθω	καυχάσθω
SR0028	28	1corintios	51	56	2:1	2:7	6	8	"{""stable"": 3, ""structural"": 1, ""turbulence"": 2}"	"{""candidate"": 3, ""none"": 3}"	1corintios-2-1-P01	1corintios-2-7-P01	ἦλθον	λαλοῦμεν
SR0029	29	1corintios	57	58	2:7	2:8	2	4	"{""stable"": 1, ""structural"": 1}"	"{""candidate"": 1, ""none"": 1}"	1corintios-2-7-P02	1corintios-2-8-P01	προώρισεν	ἔγνωκεν
SR0030	30	1corintios	59	60	2:8	2:8	2	6	"{""structural"": 1, ""turbulence"": 1}"	"{""candidate"": 1, ""strong"": 1}"	1corintios-2-8-P02	1corintios-2-8-P03	ἔγνωσαν	ἐσταύρωσαν
SR0031	31	1corintios	61	61	2:9	2:9	1	4	"{""structural"": 1}"	"{""strong"": 1}"	1corintios-2-9-P01	1corintios-2-9-P01	γέγραπται	γέγραπται
SR0032	32	1corintios	62	63	2:9	2:9	2	4	"{""stable"": 1, ""structural"": 1}"	"{""none"": 1, ""strong"": 1}"	1corintios-2-9-P02	1corintios-2-9-P03	εἶδεν	ἤκουσεν
SR0033	33	1corintios	64	80	2:9	2:16	17	18	"{""stable"": 9, ""structural"": 2, ""turbulence"": 6}"	"{""candidate"": 8, ""none"": 9}"	1corintios-2-9-P04	1corintios-2-16-P02	ἀνέβη	συμβιβάσει
SR0034	34	1corintios	81	81	2:16	2:16	1	4	"{""structural"": 1}"	"{""candidate"": 1}"	1corintios-2-16-P03	1corintios-2-16-P03	ἔχομεν	ἔχομεν
SR0035	35	1corintios	82	83	3:1	3:2	2	2	"{""stable"": 1, ""structural"": 1}"	"{""candidate"": 1, ""none"": 1}"	1corintios-3-1-P01	1corintios-3-2-P01	ἠδυνήθην	ἐπότισα
SR0036	36	1corintios	84	88	3:2	3:3	5	4	"{""stable"": 4, ""structural"": 1}"	"{""candidate"": 1, ""none"": 4}"	1corintios-3-2-P02	1corintios-3-3-P03	ἐδύνασθε	περιπατεῖτε
SR0037	37	1corintios	89	89	3:4	3:4	1	6	"{""structural"": 1}"	"{""strong"": 1}"	1corintios-3-4-P01	1corintios-3-4-P01	λέγῃ	λέγῃ
SR0038	38	1corintios	90	90	3:4	3:4	1	4	"{""structural"": 1}"	"{""strong"": 1}"	1corintios-3-4-P02	1corintios-3-4-P02	εἰμι	εἰμι
SR0039	39	1corintios	91	91	3:4	3:4	1	4	"{""structural"": 1}"	"{""candidate"": 1}"	1corintios-3-4-P03	1corintios-3-4-P03	ἐστε	ἐστε
