structural_signature_id	source_regime_id	merged_regime_id	book	start_stream_index	end_stream_index	start_reference	end_reference	record_count	total_structural_weight	max_structural_weight	weight_per_record	structural_density	turbulence_density	stable_density	continuity_same_density	continuity_shift_density	continuity_unresolved_density	continuity_initial_density	dominant_movement_class	dominant_movement_status	dominant_continuity_status	dominant_subject_profile	movement_class_counts	movement_status_counts	continuity_counts	subject_profile_counts	signature_code
SMR0001	SR0001	SMR0001	1corintios	1	9	1:4	1:10	9	36	6	4.0	0.7778	0.0	0.2222	0.0	0.0	1.0	0.0	structural	strong	unresolved	2P	"{""stable"": 2, ""structural"": 7}"	"{""candidate"": 3, ""none"": 1, ""strong"": 5}"	"{""unresolved"": 9}"	"{""1S"": 2, ""2P"": 5, ""3S"": 2}"	structural=very_high|turbulence=none|stable=low|continuity_same=none|continuity_shift=none|continuity_unresolved=very_high|weight=very_high
SMR0002	SR0009	SMR0002	1corintios	10	17	1:11	1:13	8	18	4	2.25	0.375	0.5	0.125	0.0	0.0	1.0	0.0	turbulence	candidate	unresolved	3S	"{""stable"": 1, ""structural"": 3, ""turbulence"": 4}"	"{""candidate"": 7, ""none"": 1}"	"{""unresolved"": 8}"	"{""--"": 2, ""1S"": 2, ""2P"": 1, ""3S"": 3}"	structural=medium|turbulence=high|stable=low|continuity_same=none|continuity_shift=none|continuity_unresolved=very_high|weight=high
SMR0003	SR0012	SMR0003	1corintios	18	21	1:14	1:15	4	10	4	2.5	0.5	0.25	0.25	0.0	0.0	1.0	0.0	structural	candidate	unresolved	1S	"{""stable"": 1, ""structural"": 2, ""turbulence"": 1}"	"{""candidate"": 3, ""none"": 1}"	"{""unresolved"": 4}"	"{""1S"": 3, ""2P"": 1}"	structural=high|turbulence=medium|stable=medium|continuity_same=none|continuity_shift=none|continuity_unresolved=very_high|weight=high
SMR0004	SR0014	SMR0004	1corintios	22	24	1:16	1:16	3	8	6	2.6667	0.3333	0.3333	0.3333	0.0	0.0	1.0	0.0	structural	strong	unresolved	1S	"{""stable"": 1, ""structural"": 1, ""turbulence"": 1}"	"{""candidate"": 1, ""none"": 1, ""strong"": 1}"	"{""unresolved"": 3}"	"{""1S"": 3}"	structural=medium|turbulence=medium|stable=medium|continuity_same=none|continuity_shift=none|continuity_unresolved=very_high|weight=high
SMR0005	SR0015	SMR0005	1corintios	25	29	1:17	1:19	5	8	4	1.6	0.2	0.4	0.4	0.0	0.0	1.0	0.0	turbulence	candidate	unresolved	3S	"{""stable"": 2, ""structural"": 1, ""turbulence"": 2}"	"{""candidate"": 2, ""none"": 2, ""strong"": 1}"	"{""unresolved"": 5}"	"{""3S"": 5}"	structural=low|turbulence=medium|stable=medium|continuity_same=none|continuity_shift=none|continuity_unresolved=very_high|weight=medium
SMR0006	SR0016	SMR0006	1corintios	30	39	1:19	1:26	10	32	6	3.2	0.8	0.0	0.2	0.0	0.0	1.0	0.0	structural	strong	unresolved	1S	"{""stable"": 2, ""structural"": 8}"	"{""candidate"": 2, ""none"": 2, ""strong"": 6}"	"{""unresolved"": 10}"	"{""1P"": 1, ""1S"": 5, ""2P"": 1, ""3S"": 3}"	structural=very_high|turbulence=none|stable=low|continuity_same=none|continuity_shift=none|continuity_unresolved=very_high|weight=very_high
SMR0007	SR0024	SMR0007	1corintios	40	50	1:27	1:31	11	32	6	2.9091	0.3636	0.4545	0.1818	0.0	0.0	1.0	0.0	turbulence	candidate	unresolved	3S	"{""stable"": 2, ""structural"": 4, ""turbulence"": 5}"	"{""candidate"": 6, ""none"": 2, ""strong"": 3}"	"{""unresolved"": 11}"	"{""2P"": 3, ""3S"": 8}"	structural=medium|turbulence=medium|stable=low|continuity_same=none|continuity_shift=none|continuity_unresolved=very_high|weight=high
SMR0008	SR0028	SMR0008	1corintios	51	63	2:1	2:9	13	26	4	2.0	0.3846	0.2308	0.3846	0.0	0.0	1.0	0.0	structural	candidate	unresolved	3P	"{""stable"": 5, ""structural"": 5, ""turbulence"": 3}"	"{""candidate"": 5, ""none"": 5, ""strong"": 3}"	"{""unresolved"": 13}"	"{""--"": 1, ""1P"": 2, ""1S"": 3, ""3P"": 4, ""3S"": 3}"	structural=medium|turbulence=low|stable=medium|continuity_same=none|continuity_shift=none|continuity_unresolved=very_high|weight=high
SMR0009	SR0033	SMR0009	1corintios	64	83	2:9	3:2	20	24	4	1.2	0.2	0.3	0.5	0.0	0.0	1.0	0.0	stable	candidate	unresolved	3S	"{""stable"": 10, ""structural"": 4, ""turbulence"": 6}"	"{""candidate"": 10, ""none"": 10}"	"{""unresolved"": 20}"	"{""--"": 1, ""1P"": 5, ""1S"": 2, ""3S"": 12}"	structural=low|turbulence=medium|stable=high|continuity_same=none|continuity_shift=none|continuity_unresolved=very_high|weight=medium
SMR0010	SR0036	SMR0010	1corintios	84	93	3:2	3:5	10	22	6	2.2	0.5	0.0	0.5	0.0	0.0	1.0	0.0	structural	none	unresolved	2P	"{""stable"": 5, ""structural"": 5}"	"{""candidate"": 3, ""none"": 5, ""strong"": 2}"	"{""unresolved"": 10}"	"{""1S"": 1, ""2P"": 6, ""3S"": 3}"	structural=high|turbulence=none|stable=high|continuity_same=none|continuity_shift=none|continuity_unresolved=very_high|weight=high
