BOOK	CH	VS	CLAUSE_ID	FINITE_G_IDX	FINITE_GREEK	FINITE_LEMMA	FINITE_RMAC	SPAN_START	SPAN_END	SPAN_GIDX	SPAN_TEXT	SPAN_STATUS	BOUNDARY_NOTES
1corintios	1	10	C1	01	παρακαλῶ	παρακαλέω	V-PAI-1S	01	15	01,02,03,04,05,06,07,08,09,10,11,12,13,14,15	==παρακαλῶ== δὲ ὑμᾶς ἀδελφοί διὰ τοῦ ὀνόματος τοῦ κυρίου ἡμῶν ἰησοῦ χριστοῦ ἵνα τὸ αὐτὸ	suggested-span	neutral finite-anchor region
1corintios	1	10	C2	16	λέγητε	λέγω	V-PAS-2P	16	19	16,17,18,19	==λέγητε== πάντες καὶ μὴ	suggested-span	neutral finite-anchor region
1corintios	1	10	C3	20	ᾖ	εἰμί	V-PAS-3S	20	23	20,21,22,23	==ᾖ== ἐν ὑμῖν σχίσματα	suggested-span	neutral finite-anchor region
1corintios	1	10	C4	24	ἦτε	εἰμί	V-PAS-2P	24	35	24,25,26,27,28,29,30,31,32,33,34,35	==ἦτε== δὲ κατηρτισμένοι ἐν τῷ αὐτῷ νοῒ καὶ ἐν τῇ αὐτῇ γνώμῃ	suggested-span	neutral finite-anchor region
1corintios	1	11	C1	01	ἐδηλώθη	δηλόω	V-API-3S	01	14	01,02,03,04,05,06,07,08,09,10,11,12,13,14	==ἐδηλώθη== γάρ μοι περὶ ὑμῶν ἀδελφοί μου ὑπὸ τῶν Χλόης ὅτι ἔριδες ἐν ὑμῖν	suggested-span	neutral finite-anchor region
1corintios	1	11	C2	15	εἰσιν	εἰμί	V-PAI-3P	15	15	15	==εἰσιν==	suggested-span	neutral finite-anchor region
1corintios	1	12	C1	01	λέγω	λέγω	V-PAI-1S	01	06	01,02,03,04,05,06	==λέγω== δὲ τοῦτο ὅτι ἕκαστος ὑμῶν	suggested-span	neutral finite-anchor region
1corintios	1	12	C2	07	λέγει	λέγω	V-PAI-3S	07	09	07,08,09	==λέγει== ἐγὼ μέν	suggested-span	neutral finite-anchor region
1corintios	1	12	C3	10	εἰμι	εἰμί	V-PAI-1S	10	20	10,11,12,13,14,15,16,17,18,19,20	==εἰμι== παύλου ἐγὼ δὲ ἀπολλῶ ἐγὼ δὲ κηφᾶ ἐγὼ δὲ χριστοῦ	suggested-span	neutral finite-anchor region
1corintios	1	13	C1	01	μεμέρισται	μερίζω	V-XPI-3S	01	05	01,02,03,04,05	==μεμέρισται== ὁ χριστός μὴ παῦλος	suggested-span	neutral finite-anchor region
1corintios	1	13	C2	06	ἐσταυρώθη	σταυρόω	V-API-3S	06	13	06,07,08,09,10,11,12,13	==ἐσταυρώθη== ὑπὲρ ὑμῶν ἢ εἰς τὸ ὄνομα παύλου	suggested-span	neutral finite-anchor region
