BOOK	CH	VS	CONNECTOR_ID	CONNECTOR_GREEK	CONNECTOR_KIND	CONNECTOR_RELATION	CURRENT_TARGET_CLAUSE	CURRENT_TARGET_SPAN	CANDIDATE_SOURCE_REF	CANDIDATE_SOURCE_CLAUSE	CANDIDATE_SOURCE_SPAN	CANDIDATE_DISTANCE	CANDIDATE_CONFIDENCE	STATUS	NOTES
1corintios	1	5	cn1	ὅτι	subordinating	content/cause	C1	ὅτι ἐν παντὶ ==ἐπλουτίσθητε== ἐν αὐτῷ ἐν παντὶ λόγῳ καὶ πάσῃ γνώσει	1corintios 1:4	C1	==εὐχαριστῶ== τῷ θεῷ μου πάντοτε περὶ ὑμῶν ἐπὶ τῇ χάριτι τοῦ θεοῦ τῇ δοθείσῃ ὑμῖν ἐν χριστῷ ἰησοῦ	previous-verse-final-clause	low	suggested-cross-verse-candidate	context-sensitive function; keep as suggested; target finite clause found; source not available in verse; target clause found but source clause unresolved; possible cross-verse source; requires review
1corintios	1	6	cn1	καθὼς	subordinating	comparison/manner	C1	καθὼς τὸ μαρτύριον τοῦ χριστοῦ ==ἐβεβαιώθη== ἐν ὑμῖν	1corintios 1:5	C1	ὅτι ἐν παντὶ ==ἐπλουτίσθητε== ἐν αὐτῷ ἐν παντὶ λόγῳ καὶ πάσῃ γνώσει	previous-verse-final-clause	low	suggested-cross-verse-candidate	context-sensitive function; keep as suggested; target finite clause found; source not available in verse; target clause found but source clause unresolved; possible cross-verse source; requires review
1corintios	1	8	cn1	καὶ	coordinating	coordination	C1	ὃς καὶ ==βεβαιώσει== ὑμᾶς ἕως τέλους ἀνεγκλήτους ἐν τῇ ἡμέρᾳ τοῦ κυρίου ἡμῶν ἰησοῦ χριστοῦ	1corintios 1:6	C1	καθὼς τὸ μαρτύριον τοῦ χριστοῦ ==ἐβεβαιώθη== ἐν ὑμῖν	previous-verse-final-clause	low	suggested-cross-verse-candidate	function follows connector inventory; connector before first finite clause or source outside verse; target clause found but source clause unresolved; coordinating connector may continue previous verse; keep low confidence
1corintios	1	15	cn1	ἵνα	subordinating	purpose/result	C1	ἵνα μή τις ==εἴπῃ== ὅτι εἰς τὸ ἐμὸν ὄνομα	1corintios 1:14	C2	==ἐβάπτισα== εἰ μὴ κρίσπον καὶ γάϊον	previous-verse-final-clause	low	suggested-cross-verse-candidate	context-sensitive function; keep as suggested; target finite clause found; source not available in verse; target clause found but source clause unresolved; possible cross-verse source; requires review
1corintios	1	17	cn2	γὰρ	coordinating	cause/ground	C1	οὐ γὰρ ==ἀπέστειλέν== με χριστὸς βαπτίζειν ἀλλὰ εὐαγγελίζεσθαι οὐκ ἐν σοφίᾳ λόγου	1corintios 1:16	C3	==ἐβάπτισα==	previous-verse-final-clause	medium	suggested-cross-verse-candidate	function follows connector inventory; connector before first finite clause or source outside verse; target clause found but source clause unresolved; strong backward-looking relation; previous verse final clause available
1corintios	1	18	cn1	γὰρ	coordinating	cause/ground	C1	ὁ λόγος γὰρ ὁ τοῦ σταυροῦ τοῖς μὲν ἀπολλυμένοις μωρία ==ἐστίν== τοῖς δὲ σῳζομένοις ἡμῖν δύναμις θεοῦ	1corintios 1:17	C2	ἵνα μὴ ==κενωθῇ== ὁ σταυρὸς τοῦ χριστοῦ	previous-verse-final-clause	medium	suggested-cross-verse-candidate	function follows connector inventory; connector before first finite clause or source outside verse; target clause found but source clause unresolved; strong backward-looking relation; previous verse final clause available
1corintios	1	21	cn1	ἐπειδὴ	subordinating	cause/ground	C1	ἐπειδὴ γὰρ ἐν τῇ σοφίᾳ τοῦ θεοῦ οὐκ ==ἔγνω== ὁ κόσμος διὰ τῆς σοφίας τὸν θεόν	1corintios 1:20	C1	ποῦ σοφός ποῦ γραμματεύς ποῦ συζητητὴς τοῦ αἰῶνος τούτου οὐχὶ ==ἐμώρανεν== ὁ θεὸς τὴν σοφίαν τοῦ κόσμου	previous-verse-final-clause	medium	suggested-cross-verse-candidate	function follows connector inventory; target finite clause found; source not available in verse; target clause found but source clause unresolved; strong backward-looking relation; previous verse final clause available
1corintios	1	21	cn2	γὰρ	coordinating	cause/ground	C1	ἐπειδὴ γὰρ ἐν τῇ σοφίᾳ τοῦ θεοῦ οὐκ ==ἔγνω== ὁ κόσμος διὰ τῆς σοφίας τὸν θεόν	1corintios 1:20	C1	ποῦ σοφός ποῦ γραμματεύς ποῦ συζητητὴς τοῦ αἰῶνος τούτου οὐχὶ ==ἐμώρανεν== ὁ θεὸς τὴν σοφίαν τοῦ κόσμου	previous-verse-final-clause	medium	suggested-cross-verse-candidate	function follows connector inventory; connector before first finite clause or source outside verse; target clause found but source clause unresolved; strong backward-looking relation; previous verse final clause available
1corintios	1	22	cn1	ἐπειδὴ	subordinating	cause/ground	C1	ἐπειδὴ καὶ ἰουδαῖοι σημεῖα ==αἰτοῦσιν== καὶ ἕλληνες σοφίαν	1corintios 1:21	C2	==εὐδόκησεν== ὁ θεὸς διὰ τῆς μωρίας τοῦ κηρύγματος σῶσαι τοὺς πιστεύοντας	previous-verse-final-clause	medium	suggested-cross-verse-candidate	function follows connector inventory; target finite clause found; source not available in verse; target clause found but source clause unresolved; strong backward-looking relation; previous verse final clause available
1corintios	1	22	cn2	καὶ	coordinating	coordination	C1	ἐπειδὴ καὶ ἰουδαῖοι σημεῖα ==αἰτοῦσιν== καὶ ἕλληνες σοφίαν	1corintios 1:21	C2	==εὐδόκησεν== ὁ θεὸς διὰ τῆς μωρίας τοῦ κηρύγματος σῶσαι τοὺς πιστεύοντας	previous-verse-final-clause	low	suggested-cross-verse-candidate	function follows connector inventory; connector before first finite clause or source outside verse; target clause found but source clause unresolved; coordinating connector may continue previous verse; keep low confidence
1corintios	1	23	cn1	δὲ	coordinating	coordination	C1	ἡμεῖς δὲ ==κηρύσσομεν== χριστὸν ἐσταυρωμένον ἰουδαίοις μὲν σκάνδαλον ἔθνεσιν δὲ μωρίαν	1corintios 1:22	C2	==ζητοῦσιν==	previous-verse-final-clause	low	suggested-cross-verse-candidate	function follows connector inventory; connector before first finite clause or source outside verse; target clause found but source clause unresolved; coordinating connector may continue previous verse; keep low confidence
1corintios	1	25	cn1	ὅτι	subordinating	content/cause	C1	ὅτι τὸ μωρὸν τοῦ θεοῦ σοφώτερον τῶν ἀνθρώπων ==ἐστίν== καὶ τὸ ἀσθενὲς τοῦ θεοῦ ἰσχυρότερον τῶν ἀνθρώπων	1corintios 1:23	C1	ἡμεῖς δὲ ==κηρύσσομεν== χριστὸν ἐσταυρωμένον ἰουδαίοις μὲν σκάνδαλον ἔθνεσιν δὲ μωρίαν	previous-verse-final-clause	low	suggested-cross-verse-candidate	context-sensitive function; keep as suggested; target finite clause found; source not available in verse; target clause found but source clause unresolved; possible cross-verse source; requires review
1corintios	1	27	cn1	ἀλλὰ	coordinating	contrast	C1	ἀλλὰ τὰ μωρὰ τοῦ κόσμου ==ἐξελέξατο== ὁ θεός	1corintios 1:26	C1	==βλέπετε== γὰρ τὴν κλῆσιν ὑμῶν ἀδελφοί ὅτι οὐ πολλοὶ σοφοὶ κατὰ σάρκα οὐ πολλοὶ δυνατοί οὐ πολλοὶ εὐγενεῖς	previous-verse-final-clause	medium	suggested-cross-verse-candidate	function follows connector inventory; connector before first finite clause or source outside verse; target clause found but source clause unresolved; strong backward-looking relation; previous verse final clause available
1corintios	1	28	cn1	καὶ	coordinating	coordination	C1	καὶ τὰ ἀγενῆ τοῦ κόσμου καὶ τὰ ἐξουθενημένα ==ἐξελέξατο== ὁ θεός τὰ μὴ ὄντα ἵνα τὰ ὄντα	1corintios 1:27	C4	ἵνα ==καταισχύνῃ== τὰ ἰσχυρά	previous-verse-final-clause	low	suggested-cross-verse-candidate	function follows connector inventory; connector before first finite clause or source outside verse; target clause found but source clause unresolved; coordinating connector may continue previous verse; keep low confidence
1corintios	1	28	cn2	καὶ	coordinating	coordination	C1	καὶ τὰ ἀγενῆ τοῦ κόσμου καὶ τὰ ἐξουθενημένα ==ἐξελέξατο== ὁ θεός τὰ μὴ ὄντα ἵνα τὰ ὄντα	1corintios 1:27	C4	ἵνα ==καταισχύνῃ== τὰ ἰσχυρά	previous-verse-final-clause	low	suggested-cross-verse-candidate	function follows connector inventory; connector before first finite clause or source outside verse; target clause found but source clause unresolved; coordinating connector may continue previous verse; keep low confidence
1corintios	1	29	cn1	ὅπως	subordinating	purpose	C1	ὅπως μὴ ==καυχήσηται== πᾶσα σὰρξ ἐνώπιον τοῦ θεοῦ	1corintios 1:28	C2	==καταργήσῃ==	previous-verse-final-clause	low	suggested-cross-verse-candidate	function follows connector inventory; target finite clause found; source not available in verse; target clause found but source clause unresolved; possible cross-verse source; requires review
1corintios	1	30	cn1	δὲ	coordinating	coordination	C1	ἐξ αὐτοῦ δὲ ὑμεῖς ==ἐστε== ἐν χριστῷ ἰησοῦ ὃς	1corintios 1:29	C1	ὅπως μὴ ==καυχήσηται== πᾶσα σὰρξ ἐνώπιον τοῦ θεοῦ	previous-verse-final-clause	low	suggested-cross-verse-candidate	function follows connector inventory; connector before first finite clause or source outside verse; target clause found but source clause unresolved; coordinating connector may continue previous verse; keep low confidence
1corintios	1	31	cn1	ἵνα	subordinating	purpose/result	C1	ἵνα καθὼς ==γέγραπται== ὁ καυχώμενος ἐν κυρίῳ	1corintios 1:30	C2	==ἐγενήθη== σοφία ἡμῖν ἀπὸ θεοῦ δικαιοσύνη τε καὶ ἁγιασμὸς καὶ ἀπολύτρωσις	previous-verse-final-clause	low	suggested-cross-verse-candidate	context-sensitive function; keep as suggested; target finite clause found; source not available in verse; target clause found but source clause unresolved; possible cross-verse source; requires review
1corintios	1	31	cn2	καθὼς	subordinating	comparison/manner	C1	ἵνα καθὼς ==γέγραπται== ὁ καυχώμενος ἐν κυρίῳ	1corintios 1:30	C2	==ἐγενήθη== σοφία ἡμῖν ἀπὸ θεοῦ δικαιοσύνη τε καὶ ἁγιασμὸς καὶ ἀπολύτρωσις	previous-verse-final-clause	low	suggested-cross-verse-candidate	context-sensitive function; keep as suggested; target finite clause found; source not available in verse; target clause found but source clause unresolved; possible cross-verse source; requires review
1corintios	2	2	cn2	γὰρ	coordinating	cause/ground	C1	οὐ γὰρ ==ἔκρινά== τι εἰδέναι ἐν ὑμῖν εἰ μὴ ἰησοῦν χριστὸν καὶ τοῦτον ἐσταυρωμένον	1corintios 2:1	C1	κἀγὼ ἐλθὼν πρὸς ὑμᾶς ἀδελφοί ==ἦλθον== οὐ καθʼ ὑπεροχὴν λόγου ἢ σοφίας καταγγέλλων ὑμῖν τὸ μαρτύριον τοῦ θεοῦ	previous-verse-final-clause	medium	suggested-cross-verse-candidate	function follows connector inventory; connector before first finite clause or source outside verse; target clause found but source clause unresolved; strong backward-looking relation; previous verse final clause available
1corintios	2	3	cn1	καὶ	coordinating	coordination	C1	κἀγὼ ἐν ἀσθενείᾳ καὶ ἐν φόβῳ καὶ ἐν τρόμῳ πολλῷ ==ἐγενόμην== πρὸς ὑμᾶς	1corintios 2:2	C1	οὐ γὰρ ==ἔκρινά== τι εἰδέναι ἐν ὑμῖν εἰ μὴ ἰησοῦν χριστὸν καὶ τοῦτον ἐσταυρωμένον	previous-verse-final-clause	low	suggested-cross-verse-candidate	function follows connector inventory; connector before first finite clause or source outside verse; target clause found but source clause unresolved; coordinating connector may continue previous verse; keep low confidence
1corintios	2	3	cn2	καὶ	coordinating	coordination	C1	κἀγὼ ἐν ἀσθενείᾳ καὶ ἐν φόβῳ καὶ ἐν τρόμῳ πολλῷ ==ἐγενόμην== πρὸς ὑμᾶς	1corintios 2:2	C1	οὐ γὰρ ==ἔκρινά== τι εἰδέναι ἐν ὑμῖν εἰ μὴ ἰησοῦν χριστὸν καὶ τοῦτον ἐσταυρωμένον	previous-verse-final-clause	low	suggested-cross-verse-candidate	function follows connector inventory; connector before first finite clause or source outside verse; target clause found but source clause unresolved; coordinating connector may continue previous verse; keep low confidence
1corintios	2	5	cn1	ἵνα	subordinating	purpose/result	C1	ἵνα ἡ πίστις ὑμῶν μὴ ==ᾖ== ἐν σοφίᾳ ἀνθρώπων ἀλλʼ ἐν δυνάμει θεοῦ	1corintios 2:3	C1	κἀγὼ ἐν ἀσθενείᾳ καὶ ἐν φόβῳ καὶ ἐν τρόμῳ πολλῷ ==ἐγενόμην== πρὸς ὑμᾶς	previous-verse-final-clause	low	suggested-cross-verse-candidate	context-sensitive function; keep as suggested; target finite clause found; source not available in verse; target clause found but source clause unresolved; possible cross-verse source; requires review
1corintios	2	6	cn1	δὲ	coordinating	coordination	C1	σοφίαν δὲ ==λαλοῦμεν== ἐν τοῖς τελείοις σοφίαν δὲ οὐ τοῦ αἰῶνος τούτου οὐδὲ τῶν ἀρχόντων τοῦ αἰῶνος τούτου τῶν καταργουμένων	1corintios 2:5	C1	ἵνα ἡ πίστις ὑμῶν μὴ ==ᾖ== ἐν σοφίᾳ ἀνθρώπων ἀλλʼ ἐν δυνάμει θεοῦ	previous-verse-final-clause	low	suggested-cross-verse-candidate	function follows connector inventory; connector before first finite clause or source outside verse; target clause found but source clause unresolved; coordinating connector may continue previous verse; keep low confidence
1corintios	2	7	cn1	ἀλλὰ	coordinating	contrast	C1	ἀλλὰ ==λαλοῦμεν== θεοῦ σοφίαν ἐν μυστηρίῳ τὴν ἀποκεκρυμμένην ἣν	1corintios 2:6	C1	σοφίαν δὲ ==λαλοῦμεν== ἐν τοῖς τελείοις σοφίαν δὲ οὐ τοῦ αἰῶνος τούτου οὐδὲ τῶν ἀρχόντων τοῦ αἰῶνος τούτου τῶν καταργουμένων	previous-verse-final-clause	medium	suggested-cross-verse-candidate	function follows connector inventory; connector before first finite clause or source outside verse; target clause found but source clause unresolved; strong backward-looking relation; previous verse final clause available
1corintios	2	9	cn1	ἀλλὰ	coordinating	contrast	C1	ἀλλὰ καθὼς ==γέγραπται== ἃ ὀφθαλμὸς	1corintios 2:8	C3	==ἐσταύρωσαν==	previous-verse-final-clause	medium	suggested-cross-verse-candidate	function follows connector inventory; connector before first finite clause or source outside verse; target clause found but source clause unresolved; strong backward-looking relation; previous verse final clause available
1corintios	2	9	cn2	καθὼς	subordinating	comparison/manner	C1	ἀλλὰ καθὼς ==γέγραπται== ἃ ὀφθαλμὸς	1corintios 2:8	C3	==ἐσταύρωσαν==	previous-verse-final-clause	low	suggested-cross-verse-candidate	context-sensitive function; keep as suggested; target finite clause found; source not available in verse; target clause found but source clause unresolved; possible cross-verse source; requires review
