BOOK	CH	VS	G_IDX	TYPE	ID	GREEK	LEMMA	RMAC	FINITE	CONNECTOR_KIND	DEFAULT_RELATION	CERTAINTY
1corintios	1	1	09	connector	cn1	καὶ	καί	CONJ		coordinating	coordination	certain
1corintios	1	2	05	verb	v1	ἡγιασμένοις	ἁγιάζω	V-XPP	NF			certain
1corintios	1	2	10	verb	v2	οὔσῃ	εἰμί	V-PAP	NF			certain
1corintios	1	2	18	verb	v3	ἐπικαλουμένοις	ἐπικαλέω	V-PMP	NF			certain
1corintios	1	2	30	connector	cn1	καὶ	καί	CONJ		coordinating	coordination	certain
1corintios	1	3	03	connector	cn1	καὶ	καί	CONJ		coordinating	coordination	certain
1corintios	1	3	09	connector	cn2	καὶ	καί	CONJ		coordinating	coordination	certain
1corintios	1	4	01	verb	v1	εὐχαριστῶ	εὐχαριστέω	V-PAI-1S	F			certain
1corintios	1	4	14	verb	v2	δοθείσῃ	δίδωμι	V-APP	NF			certain
1corintios	1	5	01	connector	cn1	ὅτι	ὅτι	CONJ		subordinating	content/cause	certain
1corintios	1	5	04	verb	v1	ἐπλουτίσθητε	πλουτίζω	V-API-2P	F			certain
1corintios	1	5	10	connector	cn2	καὶ	καί	CONJ		coordinating	coordination	certain
1corintios	1	6	01	connector	cn1	καθὼς	καθώς	CONJ		subordinating	comparison/manner	certain
1corintios	1	6	06	verb	v1	ἐβεβαιώθη	βεβαιόω	V-API-3S	F			certain
1corintios	1	7	01	connector	cn1	ὥστε	ὥστε	CONJ		subordinating	result/inference	certain
1corintios	1	7	03	connector	cn2	μὴ	μή	D---------		negation	negation	certain
1corintios	1	7	04	verb	v1	ὑστερεῖσθαι	ὑστερέω	V-PPN	NF			certain
1corintios	1	7	08	verb	v2	ἀπεκδεχομένους	ἀπεκδέχομαι	V-PMP	NF			certain
1corintios	1	8	02	connector	cn1	καὶ	καί	D---------		coordinating	coordination	certain
1corintios	1	8	03	verb	v1	βεβαιώσει	βεβαιόω	V-FAI-3S	F			certain
1corintios	1	8	05	connector	cn2	ἕως	ἕως	P---------		subordinating	temporal	certain
1corintios	1	9	06	verb	v1	ἐκλήθητε	καλέω	V-API-2P	F			certain
