BOOK	CH	VS	G_IDX	GREEK	NBLA_IDX	NBLA_TEXT	ALIGNMENT
1corintios	11	18	01	πρῶτον	01	pues	direct
1corintios	11	18	02	μὲν	02	en	direct
1corintios	11	18	03	γὰρ	03	primer	direct
1corintios	11	18	04	συνερχομένων	04	lugar	direct
1corintios	11	18	05	ὑμῶν	-	-	missing
1corintios	11	18	06	ἐν	05,06,07	oigo que cuando	expanded
1corintios	11	18	07	ἐκκλησίᾳ	08	se	direct
1corintios	11	18	08	ἀκούω	09	reúnen	direct
1corintios	11	18	09	σχίσματα	10	como	direct
1corintios	11	18	10	ἐν	11,12,13	iglesia hay divisiones	expanded
1corintios	11	18	11	ὑμῖν	15	ustedes	direct
1corintios	11	18	12	ὑπάρχειν	16	y	direct
1corintios	11	18	13	καὶ	17,18	en parte	expanded
1corintios	11	18	14	μέρος	19	lo	direct
1corintios	11	18	15	τι	20	creo	direct
1corintios	11	18	16	πιστεύω	-	-	missing
