BOOK	CH	VS	G_IDX	GREEK	NBLA_IDX	NBLA_TEXT	ALIGNMENT
1cor	2	2	01	οὐ	02	nada	expanded
1cor	2	2	02	γὰρ	01	porque	direct
1cor	2	2	03	ἔκρινά	03-04	me propuse	expanded
1cor	2	2	04	τι	02	nada	shared
1cor	2	2	05	εἰδέναι	05	saber	direct
1cor	2	2	06	ἐν	06	entre	direct
1cor	2	2	07	ὑμῖν	07	ustedes	direct
1cor	2	2	08	εἰ	08	excepto	direct
1cor	2	2	09	μὴ	08	excepto	shared
1cor	2	2	10	ἰησοῦν	09-10	a jesucristo	expanded
1cor	2	2	11	χριστὸν	10	jesucristo	shared
1cor	2	2	12	καὶ	11	y	direct
1cor	2	2	13	τοῦτον	12	este	direct
1cor	2	2	14	ἐσταυρωμένον	13	crucificado	direct
