BOOK	CH	VS	G_IDX	GREEK	NBLA_IDX	NBLA_TEXT	ALIGNMENT
filemon	1	1	01	Παῦλος	01	Pablo	direct
filemon	1	1	02	δέσμιος	02	,	direct
filemon	1	1	03	Χριστοῦ	03,04	prisionero de	expanded
filemon	1	1	04	Ἰησοῦ	05	Cristo	direct
filemon	1	1	05	καὶ	06,07	Jesús, y	expanded
filemon	1	1	06	Τιμόθεος	08	el	direct
filemon	1	1	07	ὁ	09	hermano	direct
filemon	1	1	08	ἀδελφὸς	10	Timoteo:	direct
filemon	1	1	09	Φιλήμονι	11	A	direct
filemon	1	1	10	τῷ	12	Filemón	direct
filemon	1	1	11	ἀγαπητῷ	13	nuestro	direct
filemon	1	1	12	καὶ	14,15	amado hermano	expanded
filemon	1	1	13	συνεργῷ	16	y	direct
filemon	1	1	14	ἡμῶν	17	colaborador,	direct
