BOOK	CH	VS	G_IDX	GREEK	NBLA_IDX	NBLA_TEXT	ALIGNMENT
filemon	1	1	01	Παῦλος	01,02	Pablo ,	expanded
filemon	1	1	02	δέσμιος	03	prisionero	direct
filemon	1	1	03	Χριστοῦ	04,05	de Cristo	expanded
filemon	1	1	04	Ἰησοῦ	06	Jesús,	direct
filemon	1	1	05	καὶ	07	y	direct
filemon	1	1	06	Τιμόθεος	10	Timoteo:	direct
filemon	1	1	07	ὁ	08	el	direct
filemon	1	1	08	ἀδελφὸς	09	hermano	direct
filemon	1	1	09	Φιλήμονι	11,12	A Filemón	expanded
filemon	1	1	10	τῷ	15	hermano	expanded
filemon	1	1	11	ἀγαπητῷ	14	amado	direct
filemon	1	1	12	καὶ	16	y	direct
filemon	1	1	13	συνεργῷ	17	colaborador,	direct
filemon	1	1	14	ἡμῶν	13	nuestro	direct
