BOOK	CH	VS	G_IDX	GREEK	NBLA_IDX	NBLA_TEXT	ALIGNMENT
filemon	1	19	01	ἐγὼ	01	Yo,	direct
filemon	1	19	02	Παῦλος	02	Pablo,	direct
filemon	1	19	03	ἔγραψα	03	escribo	direct
filemon	1	19	04	τῇ	04,05	esto con	expanded
filemon	1	19	05	ἐμῇ	06	mi	direct
filemon	1	19	06	χειρί,	07	propia	direct
filemon	1	19	07	ἐγὼ	08	mano.	direct
filemon	1	19	08	ἀποτίσω·	09	Yo	direct
filemon	1	19	09	ἵνα	10,11,12,13	lo pagaré (por no	expanded
filemon	1	19	10	μὴ	14	decirte	direct
filemon	1	19	11	λέγω	15	que	direct
filemon	1	19	12	σοι	16	aun	direct
filemon	1	19	13	ὅτι	17	tú	direct
filemon	1	19	14	καὶ	18,19	mismo te	expanded
filemon	1	19	15	σεαυτόν	20	me	direct
filemon	1	19	16	μοι	21	debes	direct
filemon	1	19	17	προσοφείλεις.	22	a	direct
