BOOK	CH	VS	G_IDX	GREEK	NBLA_IDX	NBLA_TEXT	ALIGNMENT
filemon	1	4	01	Εὐχαριστῶ	01,02	Doy gracias	expanded
filemon	1	4	02	τῷ	03	a	expanded
filemon	1	4	03	θεῷ	04,05	mi Dios	expanded
filemon	1	4	04	μου	04	mi	shared
filemon	1	4	05	πάντοτε	06	siempre,	direct
filemon	1	4	06	μνείαν	08	mención	direct
filemon	1	4	07	σου	09,10	de ti	expanded
filemon	1	4	08	ποιούμενος	07	haciendo	direct
filemon	1	4	09	ἐπὶ	11	en	direct
filemon	1	4	10	τῶν	12	mis	expanded
filemon	1	4	11	προσευχῶν	13	oraciones,	direct
filemon	1	4	12	μου,	12	mis	shared
