BOOK	CH	VS	G_IDX	GREEK	NBLA_IDX	NBLA_TEXT	ALIGNMENT
romanos	16	16	01	Ἀσπάσασθε	01	Salúdense	direct
romanos	16	16	02	ἀλλήλους	02,03,04,05	los unos a los	expanded
romanos	16	16	03	ἐν	06,07,08	otros con un	expanded
romanos	16	16	04	φιλήματι	09	beso	direct
romanos	16	16	05	ἁγίῳ.	10	santo.	direct
romanos	16	16	06	Ἀσπάζονται	11	Todas	direct
romanos	16	16	07	ὑμᾶς	16	los	direct
romanos	16	16	08	αἱ	17	saludan.	direct
romanos	16	16	09	ἐκκλησίαι	-	-	missing
romanos	16	16	10	⸀πᾶσαι	-	-	missing
romanos	16	16	11	τοῦ	-	-	missing
romanos	16	16	12	Χριστοῦ.	-	-	missing
