BOOK	CH	VS	G_IDX	GREEK	NBLA_IDX	NBLA_TEXT	ALIGNMENT
romanos	7	18	01	οἶδα	01	Porque	direct
romanos	7	18	02	γὰρ	02	yo	direct
romanos	7	18	03	ὅτι	04	que	direct
romanos	7	18	04	οὐκ	12	no	direct
romanos	7	18	05	οἰκεῖ	13	habita	direct
romanos	7	18	06	ἐν	14,15,16	nada bueno. Porque	expanded
romanos	7	18	07	ἐμοί,	17	el	direct
romanos	7	18	08	τοῦτʼ	18	querer	direct
romanos	7	18	09	ἔστιν	19	está	direct
romanos	7	18	10	ἐν	20,21,22	presente en mí,	expanded
romanos	7	18	11	τῇ	23,24	pero el	expanded
romanos	7	18	12	σαρκί	25	hacer	direct
romanos	7	18	13	μου,	26	el	direct
romanos	7	18	14	ἀγαθόν·	27	bien,	direct
romanos	7	18	15	τὸ	28	no.	direct
romanos	7	18	16	γὰρ	-	-	missing
romanos	7	18	17	θέλειν	-	-	missing
romanos	7	18	18	παράκειταί	-	-	missing
romanos	7	18	19	μοι,	-	-	missing
romanos	7	18	20	τὸ	-	-	missing
romanos	7	18	21	δὲ	-	-	missing
romanos	7	18	22	κατεργάζεσθαι	-	-	missing
romanos	7	18	23	τὸ	-	-	missing
romanos	7	18	24	καλὸν	-	-	missing
romanos	7	18	25	⸀οὔ·	-	-	missing
